tau,s_tmp,cash,delta,pv,r,q,PL,cash,asset,debt,PL,,,
486,166.864,-0.0375812,0.0033981,0.541007,0.0145044,0.192399,-0.0115671,-0.0375801,0.567020558,-0.541007,-1.1567%,,,
487,163.558,-0.0338523,0.00337709,0.530083,0.0144978,0.193104,-0.0115848,-0.0338511,0.552350086,-0.530083,-1.1584%,,,
488,165.305,-0.0357288,0.00339023,0.536281,0.0144912,0.193809,-0.0115873,-0.0357280,0.56042197,-0.536281,-1.1587%,,,
489,163.533,-0.0339055,0.00338088,0.530561,0.0144847,0.194514,-0.0115813,-0.0339049,0.552885449,-0.530561,-1.1580%,,,
490,164.717,-0.0357846,0.00339409,0.534856,0.0144781,0.195219,-0.0115766,-0.0357842,0.559064323,-0.534856,-1.1576%,,,
491,161.649,-0.0322254,0.00337388,0.524765,0.0144715,0.195923,-0.0116056,-0.0322241,0.545384328,-0.524765,-1.1605%,,,
492,163.859,-0.0340176,0.00338663,0.53252,0.0144649,0.196628,-0.0116076,-0.0340167,0.554929805,-0.53252,-1.1607%,,,
493,164.473,-0.0359079,0.00339995,0.534891,0.0144584,0.197333,-0.0115998,-0.0359076,0.559199976,-0.534891,-1.1599%,,,
494,162.366,-0.0323089,0.00337962,0.528038,0.0144518,0.198038,-0.0116119,-0.0323085,0.548735381,-0.528038,-1.1611%,,,
495,162.081,-0.0323248,0.00338155,0.52736,0.0144452,0.198743,-0.0115997,-0.0323243,0.548085006,-0.52736,-1.1599%,,,
496,160.831,-0.0306634,0.00337306,0.523424,0.0144386,0.199448,-0.0115945,-0.0306628,0.542492613,-0.523424,-1.1594%,,,
497,160.441,-0.0306767,0.00337499,0.522392,0.0144321,0.200152,-0.0115831,-0.0306769,0.541486771,-0.522392,-1.1582%,,,
498,160.459,-0.0306904,0.00337692,0.52274,0.0144255,0.200857,-0.0115729,-0.0306897,0.541857206,-0.52274,-1.1572%,,,
499,164.618,-0.0361484,0.00341193,0.537143,0.0144189,0.201562,-0.0116254,-0.0361471,0.561665093,-0.537143,-1.1625%,,,
500,162.232,-0.0325028,0.00339134,0.529323,0.0144123,0.202267,-0.0116407,-0.0325013,0.550183871,-0.529323,-1.1640%,,,
501,162.177,-0.0325206,0.00339333,0.52943,0.0144058,0.202972,-0.0116296,-0.0325194,0.550320079,-0.52943,-1.1629%,,,
502,162.685,-0.0325387,0.00339533,0.531452,0.0143992,0.203677,-0.0116215,-0.0325379,0.552369261,-0.531452,-1.1621%,,,
503,165.549,-0.0363299,0.00342013,0.541526,0.0143926,0.204382,-0.0116573,-0.0363300,0.566199101,-0.541526,-1.1657%,,,
504,166.426,-0.03839,0.00343442,0.544837,0.014386,0.205086,-0.0116503,-0.0383898,0.571576783,-0.544837,-1.1650%,,,
505,166.246,-0.038421,0.00343653,0.544527,0.0143795,0.205791,-0.011638,-0.0384200,0.571309366,-0.544527,-1.1638%,,,
506,164.993,-0.0364259,0.00342638,0.540534,0.0143729,0.206496,-0.0116322,-0.0364260,0.565328715,-0.540534,-1.1631%,,,
