tau,s_tmp,cash,delta,pv,r,q,PL,
313,235.636,0.849818,0.000832969,1.04848,0.0153559,0.0339399,-0.238%,
314,235.328,0.842573,0.000863985,1.04833,0.0153471,0.0339991,-0.244%,
315,233.912,0.835334,0.000895163,1.04722,0.0153384,0.0340584,-0.250%,
316,233.325,0.835305,0.000895523,1.04682,0.0153296,0.0341176,-0.257%,
317,230.021,0.821509,0.000955738,1.04386,0.0153208,0.0341769,-0.252%,
318,230.817,0.821461,0.000956182,1.04474,0.0153121,0.0342361,-0.257%,
319,232.236,0.828171,0.00092753,1.04618,0.0153033,0.0342954,-0.260%,
320,233.708,0.835363,0.000896991,1.04763,0.0152945,0.0343546,-0.263%,
321,231.897,0.828096,0.000928564,1.0461,0.0152858,0.0344139,-0.268%,
322,229.185,0.815083,0.000985582,1.04363,0.015277,0.0344731,-0.267%,
323,230.835,0.821292,0.000958924,1.04534,0.0152682,0.0345324,-0.269%,
324,227.234,0.808802,0.00101413,1.04191,0.0152595,0.0345916,-0.267%,
325,225.725,0.802584,0.00104193,1.04047,0.0152507,0.0346509,-0.270%,
326,228.124,0.814885,0.00098825,1.04304,0.0152419,0.0347101,-0.271%,
327,225.224,0.80248,0.00104357,1.04017,0.0152332,0.0347694,-0.265%,
328,218.971,0.773744,0.00117506,1.03333,0.0152244,0.0348286,-0.228%,
329,223.05,0.790773,0.00109897,1.03806,0.0152156,0.0348879,-0.216%,
330,222.561,0.790612,0.00109994,1.03763,0.0152068,0.0349471,-0.221%,
331,222.949,0.790369,0.00110119,1.03815,0.0151981,0.00195837,-0.227%,
332,218.209,0.773147,0.00118027,1.03282,0.0151893,0.00181854,-0.212%,
333,216.882,0.767481,0.00120655,1.03131,0.0151805,0.0016787,-0.215%,
334,217.268,0.767192,0.00120803,1.03186,0.0151718,0.00153887,-0.220%,
335,211.721,0.749884,0.00128993,1.02503,0.015163,0.00139903,-0.204%,
336,211.28,0.749569,0.00129158,1.02454,0.0151542,0.00125919,-0.209%,
337,212.88,0.753219,0.00127458,1.02666,0.0151455,0.00111936,-0.211%,
338,210.74,0.748973,0.00129488,1.02399,0.0151367,0.00097952,-0.213%,
339,206.221,0.738121,0.00134766,1.01806,0.0151279,0.000839683,-0.203%,
340,205.786,0.73466,0.00136463,1.01754,0.0151192,0.000699847,-0.206%,
341,207.078,0.737484,0.00135114,1.01935,0.0151104,0.000560011,-0.207%,
342,204.916,0.73403,0.00136814,1.01648,0.0151016,0.000420174,-0.209%,
343,207.829,0.740239,0.00133842,1.02049,0.0150929,0.000280338,-0.209%,
344,208.663,0.739905,0.00134016,1.02167,0.0150841,0.000140501,-0.212%,
345,207.269,0.736201,0.00135818,1.01986,0.0150753,6.65E-07,-0.215%,
346,208.872,0.742853,0.00132648,1.02208,0.0150666,-0.000139171,-0.217%,
347,208.394,0.738929,0.00134546,1.02151,0.0150578,-0.000279008,-0.220%,
348,209.618,0.742201,0.00132999,1.02321,0.015049,-0.000418844,-0.222%,
349,210.389,0.745681,0.00131359,1.0243,0.0150403,-0.00055868,-0.226%,
350,211.834,0.749375,0.0012963,1.02627,0.0150315,-0.000698517,-0.230%,
351,213.092,0.749037,0.00129802,1.02798,0.0150227,-0.000838353,-0.234%,
352,212.488,0.748699,0.00129975,1.02727,0.015014,-0.000978189,-0.239%,
353,208.234,0.736964,0.00135626,1.02169,0.0150052,-0.00111803,-0.231%,
354,206.286,0.733231,0.00137449,1.0191,0.0149964,-0.00125786,-0.233%,
355,206.896,0.732876,0.00137635,1.02,0.0149877,-0.0013977,-0.236%,
356,205.513,0.729354,0.00139363,1.01815,0.0149789,-0.00153753,-0.239%,
357,206.103,0.732174,0.00138008,1.01903,0.0149701,-0.00167737,-0.241%,
358,208.137,0.73524,0.00136549,1.02189,0.0149614,-0.00181721,-0.244%,
359,211.94,0.746584,0.0013121,1.02706,0.0149526,-0.00195704,-0.239%,
360,220.368,0.772274,0.00119567,1.03775,0.0149438,0.00177441,-0.199%,
361,222.619,0.784437,0.00114118,1.04047,0.0149351,0.00165608,-0.199%,
362,223.408,0.784158,0.00114257,1.04146,0.0149263,0.00153775,-0.204%,
363,220.779,0.777605,0.00117241,1.03851,0.0149175,0.00141942,-0.206%,
364,222.61,0.783653,0.00114538,1.04074,0.0149088,0.00130109,-0.211%,
365,220.957,0.777061,0.00117537,1.0389,0.0153,0.00118276,-0.213%,
366,220.508,0.770579,0.00120492,1.03845,0.0152934,0.00106443,-0.218%,
367,220.779,0.776475,0.00117836,1.03887,0.0152868,0.000946104,-0.224%,
368,221.908,0.776174,0.00117987,1.04029,0.0152803,0.000827775,-0.230%,
369,220.812,0.775873,0.00118138,1.03909,0.0152737,0.000709446,-0.235%,
370,215.257,0.752522,0.00129001,1.03226,0.0152671,0.000591117,-0.205%,
371,214.411,0.747561,0.0013133,1.03124,0.0152605,0.000472787,-0.209%,
372,211.639,0.738621,0.00135569,1.02764,0.015254,0.000354458,-0.210%,
373,206.59,0.72717,0.00141127,1.02074,0.0152474,0.000236129,-0.201%,
374,204.572,0.723569,0.00142902,1.01793,0.0152408,0.0001178,-0.202%,
375,207.366,0.729938,0.00139845,1.02196,0.0152342,-5.30E-07,-0.203%,
376,204.571,0.722868,0.00143316,1.01805,0.0152277,-0.000118859,-0.200%,
377,206.239,0.725727,0.00141945,1.0205,0.0152211,-0.000237188,-0.203%,
378,204.528,0.722097,0.00143734,1.01811,0.0152145,-0.000355517,-0.203%,
379,202.454,0.716038,0.00146741,1.01515,0.0152079,-0.000473846,-0.203%,
380,201.264,0.713343,0.00148095,1.01345,0.0152014,-0.000592176,-0.205%,
381,198.432,0.711069,0.00149256,1.00929,0.0151948,-0.000710505,-0.205%,
382,200.295,0.712546,0.00148532,1.01212,0.0151882,-0.000828834,-0.207%,
383,196.599,0.707372,0.00151179,1.00662,0.0151816,-0.000947163,-0.204%,
384,198.086,0.708285,0.00150733,1.00891,0.0151751,-0.00106549,-0.205%,
385,200.645,0.711398,0.00149195,1.0128,0.0151685,-0.00118382,-0.205%,
386,201.806,0.7133,0.00148267,1.01458,0.0151619,-0.00130215,-0.207%,
387,201.024,0.710568,0.0014964,1.01346,0.0151553,-0.00142048,-0.208%,
388,202.342,0.712484,0.00148707,1.01548,0.0151488,-0.00153881,-0.210%,
389,200.576,0.709747,0.00150086,1.0129,0.0151422,-0.00165714,-0.211%,
390,201.799,0.711692,0.00149147,1.0148,0.0151356,0.0267992,-0.213%,
391,200.277,0.708969,0.00150533,1.01259,0.015129,0.0268274,-0.214%,
392,198.452,0.706654,0.00151725,1.0099,0.0151225,0.0268556,-0.215%,
393,199.137,0.706252,0.00151953,1.01102,0.0151159,0.0268839,-0.217%,
