numMC,PL
195,2.21516
196,0.249459
197,0.73243
198,1.32748
199,0.467496
200,0.523478
201,0.123821
202,0.451315
203,-0.237756
204,0.306937
205,2.472
206,0.87295
207,0.725896
208,0.793364
209,0.439025
210,1.14801
211,1.99683
212,-1.75383
213,1.41138
214,0.287789
215,-0.844426
216,-1.15614
217,0.987108
218,0.712289
219,0.872382
220,1.9475
221,-1.40911
222,-0.337812
223,0.379922
224,1.64205
225,-1.15031
226,0.289141
227,0.110995
228,0.800894
229,-0.0603917
230,1.04122
231,2.26754
232,0.159777
233,-0.410611
234,-0.328194
235,0.149684
236,-0.479017
237,0.424113
238,2.61115
239,1.06423
240,-0.476233
241,0.326547
242,0.98701
243,-0.0385248
244,0.698305
245,0.890738
246,0.661655
247,-0.219189
248,1.5741
249,0.731895
250,-0.311149
251,0.761956
252,-0.169276
253,0.799561
254,0.406383
255,0.0147449
256,0.3633
257,-0.214633
258,0.723449
259,-0.680177
260,-0.124373
261,0.479176
262,1.61279
263,-0.967615
264,0.251708
265,1.98133
266,-1.27881
267,0.0788287
268,0.498912
269,-0.465506
270,1.17128
271,0.681157
272,-0.185542
273,1.22647
274,-1.82278
275,0.385705
276,1.40715
277,-0.825734
278,-1.06701
279,0.262611
280,-0.36682
281,1.98738
282,2.37898
283,0.812573
284,-0.15901
285,-0.640166
286,-0.642144
287,1.0671
288,1.20398
289,0.539614
290,0.749957
291,0.0949538
292,-1.20546
293,0.989507
294,1.24307
295,0.982431
296,1.77105
297,2.1771
298,0.636117
299,0.395309
300,0.69045
301,0.390277
302,-0.402074
303,1.58399
304,-0.280554
305,0.967025
306,1.07957
307,0.784877
308,-2.78616
309,0.554979
310,1.10589
311,0.483519
312,0.456692
313,-1.08139
314,-0.297843
315,-0.494438
316,1.7425
317,0.943263
318,0.702982
319,-0.161783
320,-1.09126
321,-1.02446
322,1.50315
323,0.533089
324,-0.170853
325,0.950581
326,-0.558726
327,-3.46859
328,-0.651481
329,0.635054
330,-0.55742
331,0.199615
332,0.470566
333,0.95047
334,-0.537111
335,0.858354
336,-0.390298
337,0.987529
338,0.966492
339,1.4546
340,0.130809
341,0.40602
342,-1.09062
343,-0.224236
344,0.913027
345,-1.04009
346,-0.348892
347,0.501523
348,-0.177932
349,0.826866
350,1.4409
351,-0.0967944
352,1.5046
353,-1.45643
354,1.1771
355,2.79504
356,-0.890532
357,0.152834
358,-0.948778
359,-2.35803
360,-0.168579
361,0.588753
362,1.08561
363,-0.0461132
364,-0.448071
365,0.282481
