tau,s_tmp,cash,delta,pv,r,q,PL
218,266.731,0.372909,0.00228614,0.984522,0.016011,0.0269723,-0.00182772
219,265.461,0.373753,0.00228319,0.981873,0.016,0.0269378,-0.00202118
220,266.751,0.374602,0.00228024,0.985053,0.015989,0.0269033,-0.00219461
221,263.934,0.350953,0.00237007,0.978764,0.0159781,0.0268688,-0.0022687
222,263.776,0.326498,0.00246302,0.978635,0.0159671,0.0268343,-0.00245207
223,262.024,0.301395,0.00255906,0.974563,0.0159562,0.0267998,-0.00263395
224,263.949,0.353607,0.00236148,0.979556,0.0159452,0.0267653,-0.00263788
225,262.084,0.303382,0.00255335,0.975228,0.0159342,0.0267308,-0.00265316
226,265.408,0.380508,0.00226299,0.983482,0.0159233,0.0266963,-0.00235704
227,265.019,0.356694,0.00235308,0.982832,0.0159123,0.0266618,-0.00252704
228,267.935,0.406389,0.00216784,0.989582,0.0159014,0.0266273,-0.00235467
229,269.988,0.453772,0.00199256,0.994073,0.0158904,0.0265928,-0.00233459
230,264.642,0.360088,0.00234678,0.98267,0.0158795,0.0265583,-0.00152588
231,263.977,0.360652,0.00234487,0.981321,0.0158685,0.0265238,-0.00167606
232,262.888,0.336132,0.00243837,0.978935,0.0158575,0.0264893,-0.0017831
233,262.064,0.311017,0.00253444,0.97712,0.0158466,0.0264548,-0.0019173
234,265.508,0.387702,0.00224585,0.985576,0.0158356,0.0264203,-0.00158183
235,263.945,0.363655,0.00233718,0.982171,0.0158247,0.0263858,-0.00162717
236,265.584,0.389061,0.00224175,0.986207,0.0158137,0.0263513,-0.00177278
237,264.309,0.364925,0.00233329,0.983501,0.0158027,0.0263168,-0.00186527
238,265.319,0.390369,0.00223762,0.98606,0.0157918,0.0262823,-0.00200711
239,265.255,0.366096,0.00232936,0.986144,0.0157808,0.0262478,-0.00217438
240,261.576,0.315346,0.00252346,0.977521,0.0157699,0.00337272,-0.00210039
241,261.785,0.315584,0.00252262,0.978234,0.0157589,0.00314789,-0.00226593
242,262.689,0.341838,0.00242275,0.980663,0.0157479,0.00292305,-0.00239607
243,265.925,0.392898,0.00223081,0.988437,0.015737,0.00269821,-0.00230988
244,267.334,0.417793,0.00213777,0.991711,0.015726,0.00247337,-0.00242036
245,268.103,0.418154,0.0021365,0.993523,0.0157151,0.00224854,-0.00256661
246,265.477,0.394063,0.00222733,0.987989,0.0157041,0.0020237,-0.00262215
247,266.095,0.394388,0.00222618,0.989577,0.0156932,0.00179886,-0.00281332
248,268.474,0.443597,0.00204296,0.99486,0.0156822,0.00157402,-0.0027807
249,267.102,0.419972,0.00213149,0.992148,0.0156712,0.00134919,-0.00285131
250,267.729,0.420323,0.00213025,0.99368,0.0156603,0.00112435,-0.00302657
251,270.373,0.468693,0.00195142,0.999252,0.0156493,0.000899511,-0.00294713
252,272.59,0.492282,0.00186497,1.00362,0.0156384,0.000674674,-0.00296624
253,269.573,0.446118,0.00203629,0.998026,0.0156274,0.000449836,-0.00297853
254,269.017,0.44649,0.00203498,0.997104,0.0156164,0.000224999,-0.00316916
255,270.223,0.470621,0.00194575,0.999688,0.0156055,1.61057e-07,-0.00327987
256,272.748,0.516914,0.0017761,1.00463,0.0155945,-0.000224676,-0.00328531
257,270.221,0.471844,0.00194296,1.00005,0.0155836,-0.000449514,-0.00317652
258,266.786,0.424464,0.00212063,0.993153,0.0155726,-0.000674351,-0.00293358
259,263.687,0.34883,0.00240753,0.986327,0.0155616,-0.000899189,-0.00266296
260,262.016,0.322557,0.00250785,0.982477,0.0155507,-0.00112403,-0.00282285
261,264.702,0.375707,0.0023071,0.989081,0.0155397,-0.00134886,-0.00267995
262,262.263,0.323443,0.00250643,0.983466,0.0155288,-0.0015737,-0.00267817
263,261.83,0.323637,0.00250573,0.982594,0.0155178,-0.00179854,-0.00288104
264,265.512,0.402759,0.00220777,0.991475,0.0155068,-0.00202338,-0.00252546
265,264.79,0.377441,0.00230344,0.990035,0.0154959,-0.00224821,-0.00266593
266,267.874,0.428857,0.00211154,0.99696,0.0154849,-0.00247305,-0.00247554
267,268.653,0.453816,0.00201869,0.998753,0.015474,-0.00269789,-0.00260936
268,267.346,0.42959,0.00210936,0.996226,0.015463,-0.00292273,-0.00270653
269,264.82,0.379138,0.00229993,0.990854,0.0154521,-0.00314756,-0.00264908
270,262.017,0.326449,0.00250106,0.984385,0.0154411,-0.0033724,-0.00261613
271,258.889,0.278553,0.00268613,0.976546,0.0154301,0.00251823,-0.00258223
272,259.328,0.302048,0.0025956,0.977907,0.0154192,0.00233836,-0.00274841
273,258.881,0.278976,0.00268478,0.97693,0.0154082,0.00215849,-0.00291434
274,255.034,0.231733,0.00287009,0.966412,0.0156978,0.00197862,-0.00270967
275,254.86,0.207405,0.0029656,0.966109,0.015689,0.00179875,-0.0028925
276,254.283,0.207505,0.00296525,0.964631,0.0156803,0.00161888,-0.00311293
277,252.9,0.182804,0.00306297,0.960684,0.0156715,0.00143901,-0.00325449
278,250.192,0.132363,0.00326462,0.95239,0.0156627,0.00125914,-0.00324455
279,249.047,0.132371,0.00326462,0.948852,0.015654,0.00107927,-0.0034369
280,251.526,0.158059,0.00316252,0.957048,0.0156452,0.000899399,-0.00353215
281,250.267,0.132517,0.00326462,0.953245,0.0156364,0.000719528,-0.00370285
282,252.875,0.183813,0.00306179,0.961631,0.0156277,0.000539658,-0.00356738
283,247.65,0.107774,0.00336887,0.944982,0.0156189,0.000359787,-0.00290808
284,243.205,0.035805,0.00366481,0.929376,0.0156101,0.000179916,-0.00227141
285,251.185,0.162128,0.00316191,0.957009,0.0156014,4.58268e-08,-0.000657369
286,250.539,0.162166,0.00316178,0.955141,0.0155926,-0.000179825,-0.000825389
287,249.854,0.136488,0.00326458,0.953144,0.0155838,-0.000359695,-0.00098819
288,249.303,0.136495,0.00326457,0.95154,0.0155751,-0.000539566,-0.00117828
289,248.069,0.110452,0.00336957,0.947639,0.0155663,-0.000719436,-0.00130173
290,248.218,0.110428,0.00336968,0.948348,0.0155575,-0.000899307,-0.00150611
291,250.345,0.136755,0.00326452,0.955535,0.0155488,-0.00107918,-0.00152335
292,248.919,0.110531,0.00336989,0.951079,0.01554,-0.00125905,-0.00171991
293,247.608,0.110507,0.00336999,0.946873,0.0155312,-0.00143892,-0.00193022
294,250.76,0.162983,0.00316072,0.957476,0.0155225,-0.00161879,-0.00191033
295,249.843,0.137075,0.00326443,0.954733,0.0155137,-0.00179866,-0.00206267
296,249.445,0.137082,0.00326441,0.953634,0.0155049,-0.00197853,-0.00226143
297,247.351,0.0841915,0.00347824,0.946802,0.0154962,-0.0021584,-0.0022641
298,248.404,0.110956,0.00337049,0.950585,0.0154874,-0.00233827,-0.00238665
299,248.31,0.110927,0.0033706,0.950475,0.0154786,-0.00251814,-0.00259451
300,251.031,0.163811,0.00315993,0.959559,0.0154699,-0.00269801,-0.00250801
