PX%,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,PX,델타(발행시),델타(6개월),델타(12개월),델타(18개월),델타(24개월),델타(30개월),델타(만기),감마(발행시),감마(6개월),감마(12개월),감마(18개월),감마(24개월),감마(30개월),감마(만기),,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,발행시 VEGA,6개월후VEGA,12개월후VEGA,18개월후VEGA,24개월후VEGA,30개월후VEGA,만기VEGA
18%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,52.0135,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955963,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
18%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,53.4996,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955964,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
19%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,54.9857,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955966,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
19%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,56.4718,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955967,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
20%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,57.9579,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955969,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
20%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,59.444,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955972,0.964376,0.971861,0.979089,0.986093,0.993078,1,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
21%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,60.9301,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955974,0.964376,0.971861,0.979089,0.986093,0.993078,1,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
21%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,62.4162,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955978,0.964376,0.971861,0.979089,0.986093,0.993078,1,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
22%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,63.9023,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955982,0.964376,0.971861,0.979089,0.986093,0.993078,1,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
22%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,65.3884,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955986,0.964377,0.971861,0.979089,0.986093,0.993078,1,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
