PX, vold, vold-volup,바닐라옵션 베가,바닐라옵션 vega(%),조기상환형 vega(%),헤지후 Net vega
224.401,50.7385,51.4322,0.6937,0.62%,-0.780%,-0.16%
225.887,49.5724,50.2807,0.7083,0.63%,-0.800%,-0.17%
227.373,48.4154,49.1383,0.7229,0.64%,-0.819%,-0.17%
228.859,47.2677,48.005,0.7373,0.66%,-0.837%,-0.18%
230.345,46.1293,46.8809,0.7516,0.67%,-0.855%,-0.18%
231.832,45.0003,45.7659,0.7656,0.68%,-0.872%,-0.19%
233.318,43.8823,44.6619,0.7796,0.70%,-0.888%,-0.19%
234.804,42.7755,43.5688,0.7933,0.71%,-0.903%,-0.20%
236.29,41.68,42.4866,0.8066,0.72%,-0.918%,-0.20%
237.776,40.5956,41.4153,0.8197,0.73%,-0.931%,-0.20%
239.262,39.5224,40.3549,0.8325,0.74%,-0.944%,-0.20%
240.748,38.4605,39.3054,0.8449,0.75%,-0.956%,-0.20%
242.234,37.4097,38.2668,0.8571,0.76%,-0.967%,-0.20%
243.72,36.3701,37.2391,0.869,0.77%,-0.977%,-0.20%
245.206,35.3417,36.2221,0.8804,0.78%,-0.987%,-0.20%
246.693,34.3244,35.216,0.8916,0.79%,-0.996%,-0.20%
248.179,33.3182,34.2206,0.9024,0.80%,-1.003%,-0.20%
249.665,32.3233,33.2359,0.9126,0.81%,-1.010%,-0.20%
251.151,31.3394,32.262,0.9226,0.82%,-1.017%,-0.19%
252.637,30.3666,31.2986,0.932,0.83%,-1.022%,-0.19%
254.123,29.4047,30.3458,0.9411,0.84%,-1.027%,-0.19%
255.609,28.4536,29.4034,0.9498,0.85%,-1.030%,-0.18%
257.095,27.5133,28.4713,0.958,0.85%,-1.033%,-0.18%
258.581,26.5837,27.5495,0.9658,0.86%,-1.036%,-0.17%
260.067,25.6646,26.6378,0.9732,0.87%,-1.037%,-0.17%
261.554,24.7559,25.7361,0.9802,0.87%,-1.038%,-0.16%
263.04,23.8606,24.8472,0.9866,0.88%,-1.038%,-0.16%
264.526,22.9785,23.9709,0.9924,0.88%,-1.036%,-0.15%
266.012,22.1094,23.107,0.9976,0.89%,-1.035%,-0.15%
267.498,21.6796,22.6796,1,0.89%,-1.032%,-0.14%
268.984,20.8296,21.8339,1.0043,0.90%,-1.028%,-0.13%
270.47,19.5779,20.5878,1.0099,0.90%,-1.023%,-0.12%
271.956,18.7587,19.7715,1.0128,0.90%,-1.018%,-0.12%
273.442,17.9513,18.9667,1.0154,0.91%,-1.012%,-0.11%
274.928,17.1556,18.173,1.0174,0.91%,-1.005%,-0.10%
276.415,16.3713,17.3903,1.019,0.91%,-0.998%,-0.09%
277.901,15.6086,16.6279,1.0193,0.91%,-0.989%,-0.08%
279.387,14.867,15.8854,1.0184,0.91%,-0.979%,-0.07%
280.873,14.1458,15.1622,1.0164,0.91%,-0.968%,-0.06%
