PX, vold,µ¨Å¸%,µ¨Å¸$,°¨¸¶$,°¨¸¶$2
204.316,61.5462,-0.900408163,-183.9677943,146.82%,197.05%
205.786,60.2264,-0.895136054,-184.2064681,154.82%,205.12%
207.256,58.9145,-0.889727891,-184.4014438,159.03%,213.36%
208.726,57.6106,-0.884183673,-184.5521214,167.34%,222.45%
210.196,56.315,-0.878469388,-184.6507514,173.79%,224.46%
211.666,55.0279,-0.872984008,-184.7810331,158.24%,231.80%
213.135,53.7493,-0.867063627,-184.8016062,205.46%,259.84%
214.605,52.4796,-0.86037415,-184.6405944,211.00%,281.81%
216.075,51.2198,-0.853571429,-184.4354464,218.22%,290.96%
217.545,49.9701,-0.846632653,-184.1807005,225.58%,300.77%
219.015,48.7307,-0.839557823,-183.8757566,233.08%,309.29%
220.485,47.5018,-0.832414966,-183.5350138,236.22%,317.21%
221.955,46.2834,-0.825170068,-183.1506224,246.22%,326.77%
223.425,45.0758,-0.817789116,-182.7145332,251.80%,334.96%
224.895,43.8791,-0.81037415,-182.2490944,255.12%,336.32%
226.365,42.6933,-0.803130316,-181.8005941,246.71%,344.74%
227.834,41.5187,-0.795542702,-181.2516759,285.94%,360.43%
229.304,40.3552,-0.787823129,-180.6509948,262.79%,358.46%
230.774,39.2025,-0.780510204,-180.1214618,263.71%,354.07%
232.244,38.0605,-0.773163265,-179.5625294,272.07%,361.10%
233.714,36.9294,-0.765748299,-178.966098,275.53%,368.21%
235.184,35.8092,-0.75829932,-178.3398672,281.56%,373.71%
236.654,34.7,-0.75085034,-177.6917364,282.50%,378.40%
238.124,33.6017,-0.743401361,-177.0217056,288.65%,383.99%
239.594,32.5144,-0.735918367,-176.3216253,292.22%,383.26%
241.064,31.4381,-0.728683226,-175.6592931,276.41%,388.05%
242.533,30.3728,-0.721197686,-174.9142384,319.28%,422.28%
244.003,29.3185,-0.712857143,-173.9392814,352.67%,462.15%
245.473,28.277,-0.704081633,-172.8330306,362.51%,479.62%
246.943,27.2485,-0.695306122,-171.7009798,361.22%,482.56%
248.413,26.2328,-0.686632653,-170.5684772,362.68%,483.57%
249.883,25.2298,-0.678027211,-169.4274735,364.09%,486.42%
251.353,24.2394,-0.669455782,-168.2697193,368.39%,490.21%
252.823,23.2616,-0.660918367,-167.0953644,369.75%,492.01%
254.293,22.2963,-0.652482993,-165.9218578,368.08%,485.45%
255.763,21.3433,-0.644368833,-164.8057058,350.05%,485.11%
257.232,20.4025,-0.63613474,-163.6342114,387.19%,578.29%
258.702,19.4737,-0.625102041,-161.7151482,613.24%,740.60%
260.172,18.5647,-0.611734694,-159.1562388,610.83%,813.40%
261.642,17.6752,-0.598605442,-156.6203251,605.08%,851.13%
263.112,16.8048,-0.588888889,-154.9437333,606.56%,846.19%
263.847,16.3767,-0.576145125,-152.0141627,597.07%,795.23%
265.317,15.5344,-0.56370068,-149.5593734,593.31%,674.10%
267.522,14.3051,-0.551510204,-147.5411128,583.79%,753.04%
268.992,13.5076,-0.536632653,-144.3498906,579.28%,862.03%
270.462,12.7274,-0.525246683,-142.0592683,547.91%,750.39%
271.931,11.9639,-0.514018374,-139.7775304,575.77%,917.60%
273.401,11.2167,-0.497891156,-136.1239401,1058.49%,1238.64%
274.871,10.5001,-0.477479592,-131.2452929,1028.30%,1374.56%
276.341,9.81291,-0.45777551,-126.5021423,1007.87%,1341.24%
277.811,9.15424,-0.438751701,-121.8900487,978.98%,1305.54%
279.281,8.52298,-0.42047619,-117.431011,950.02%,1266.46%
280.751,7.91804,-0.40294898,-113.128329,919.56%,1225.84%
282.221,7.33831,-0.386183673,-108.9891425,887.57%,1183.42%
283.691,6.78266,-0.370187075,-105.0187414,854.75%,1135.76%
285.161,6.24996,-0.355073154,-101.2530157,809.05%,1091.54%
286.63,5.7391,-0.340595441,-97.62487115,800.88%,1242.45%
288.1,5.24895,-0.321734694,-92.69176531,1321.33%,1564.86%
289.57,4.7932,-0.29902381,-86.58832452,1256.07%,1675.54%
291.04,4.36982,-0.277673469,-80.81408653,1191.64%,1589.50%
292.51,3.97684,-0.257646259,-75.36410707,1127.68%,1504.10%
293.98,3.61234,-0.238911565,-70.23522177,1063.86%,1419.81%
295.45,3.27444,-0.221421769,-65.41906156,1002.62%,1337.09%
296.92,2.96136,-0.205136054,-60.90899728,940.81%,1256.05%
298.39,2.67134,-0.190006803,-56.69612986,882.58%,1175.44%
299.86,2.40274,-0.176032664,-52.78515468,818.78%,1099.69%
301.329,2.15398,-0.163045253,-49.13026319,777.59%,1118.05%
302.799,1.92355,-0.148887755,-45.08306336,981.41%,1216.80%
304.269,1.71625,-0.133782313,-40.70581057,911.70%,1217.03%
305.739,1.53023,-0.119901361,-36.65852207,844.83%,1129.04%
307.209,1.36374,-0.10714966,-32.91733986,784.40%,1047.18%
308.679,1.21521,-0.095435374,-29.45889586,726.67%,970.80%
310.149,1.08316,-0.084683673,-26.26455664,673.51%,899.81%
311.619,0.96624,-0.074809184,-23.31196301,624.68%,834.47%
313.089,0.863221,-0.065735374,-20.58102256,579.56%,773.61%
314.559,0.772978,-0.057411364,-18.05926138,535.95%,718.50%
316.028,0.694489,-0.049727458,-15.7152692,503.14%,615.39%
317.498,0.626829,-0.043827891,-13.91526779,301.64%,463.26%
318.968,0.565635,-0.039594218,-12.62928843,281.60%,376.11%
320.438,0.510422,-0.035676531,-11.43211612,263.10%,351.30%
321.908,0.460746,-0.03205034,-10.31726089,245.72%,328.14%
323.378,0.416194,-0.028694218,-9.279078727,229.53%,306.56%
324.848,0.376385,-0.025586395,-8.311689099,214.58%,286.54%
326.318,0.34097,-0.022706803,-7.40963845,200.66%,268.00%
327.788,0.309627,-0.020036735,-6.567801192,187.85%,250.65%
329.258,0.282062,-0.017564137,-5.783132772,175.28%,234.89%
330.727,0.258006,-0.015260293,-5.046990796,166.00%,195.19%
332.197,0.237212,-0.013630272,-4.527935504,77.37%,131.44%
333.667,0.217933,-0.012634014,-4.215553418,72.85%,97.22%
335.137,0.200068,-0.011704762,-3.92269879,68.51%,91.44%
336.607,0.183521,-0.010838776,-3.648407708,64.39%,85.94%
338.077,0.168202,-0.010032313,-3.391694257,60.46%,80.71%
339.547,0.154026,-0.009281633,-3.151550522,56.77%,75.74%
341.017,0.140914,-0.008583673,-2.927178576,53.17%,70.98%
