numMC,PL ELS,,1.000,PL PUT,,,,,,total,,,
175,-0.00506743,1.01947,0.003430018,-0.001637412,,,,,,,,,
176,0.00195145,-0.750602,-0.002525409,-0.000573959,,,,,,,,,
177,-0.000958859,0.159768,0.000537541,-0.000421318,,,,,,,,,
178,0.000428112,-0.015583,-5.24292E-05,0.000375683,,,,,,,,,
179,-1.97E-05,-0.153035,-0.000514888,-0.000534565,,,,,,,,,
180,0.000113588,-0.189474,-0.000637487,-0.000523899,,,,,,,,,
181,0.00100387,0.54944,0.001848597,0.002852467,,,,,,,,,
182,0.00101433,-1.20614,-0.004058071,-0.003043741,,,,,,,,,
183,-0.0106604,0.91811,0.003088991,-0.007571409,,,,,,,,,
184,-0.00206108,-0.0699504,-0.000235349,-0.002296429,,,,,,,,,
185,-0.0028543,-0.949058,-0.003193116,-0.006047416,,,,,,,,,
186,0.00267593,-1.33535,-0.0044928,-0.00181687,,,,,,,,,
187,-0.000935913,0.947313,0.003187245,0.002251332,,,,,,,,,
188,0.000288609,-0.0897526,-0.000301974,-1.33646E-05,,,,,,,,,
189,0.000964309,-0.242996,-0.000817563,0.000146746,,,,,,,,,
190,0.0044952,-0.978634,-0.003292625,0.001202575,,,,,,,,,
191,0.00899918,0.602699,0.002027787,0.011026967,,,,,,,,,
192,-0.0145768,-0.209417,-0.000704586,-0.015281386,,,,,,,,,
193,0.00442489,-1.11872,-0.003763946,0.000660944,,,,,,,,,
194,0.00226597,-1.31328,-0.004418545,-0.002152575,,,,,,,,,
195,0.0010852,-0.661458,-0.002225483,-0.001140283,,,,,,,,,
196,0.000355734,-0.14056,-0.000472916,-0.000117182,,,,,,,,,
197,0.00288419,-1.28882,-0.004336249,-0.001452059,,,,,,,,,
198,-0.00508752,-0.803108,-0.002702066,-0.007789586,,,,,,,,,
199,-0.002088,0.199613,0.0006716,-0.0014164,,,,,,,,,
200,0.0128755,0.274992,0.000925214,0.013800714,,,,,,,,,
201,-0.00285599,2.06296,0.006940852,0.004084862,,,,,,,,,
202,-0.000641734,-0.236583,-0.000795986,-0.00143772,,,,,,,,,
203,0.00208674,-0.250316,-0.000842191,0.001244549,,,,,,,,,
204,0.00367831,-2.09918,-0.007062714,-0.003384404,,,,,,,,,
205,-0.00235815,1.53789,0.005174248,0.002816098,,,,,,,,,
206,-0.00819725,-0.153102,-0.000515113,-0.008712363,,,,,,,,,
207,-0.00280109,1.12823,0.003795942,0.000994852,,,,,,,,,
208,-0.0059258,0.765534,0.002575648,-0.003350152,,,,,,,,,
209,-0.000155923,-0.255582,-0.000859908,-0.001015831,,,,,,,,,
210,-0.0052302,-0.0805734,-0.00027109,-0.00550129,,,,,,,,,
211,0.0027439,-0.9836,-0.003309333,-0.000565433,,,,,,,,,
212,-0.00706537,0.058616,0.000197214,-0.006868156,,,,,,,,,
213,0.000626115,-0.947572,-0.003188117,-0.002562002,,,,,,,,,
214,-0.00359864,0.108342,0.000364518,-0.003234122,,,,,,,,,
215,-0.00717918,0.81817,0.002752742,-0.004426438,,,,,,,,,
216,-0.00176169,0.676093,0.002274722,0.000513032,,,,,,,,,
217,-0.00751354,1.4634,0.004923626,-0.002589914,,,,,,,,,
218,0.00306125,-1.45756,-0.004903977,-0.001842727,,,,,,,,,
219,-0.000523817,0.302105,0.001016436,0.000492619,,,,,,,,,
220,-0.00295346,2.19335,0.007379551,0.004426091,,,,,,,,,
221,0.000544786,-0.707936,-0.002381859,-0.001837073,,,,,,,,,
222,0.00157052,-0.650803,-0.002189634,-0.000619114,,,,,,,,,
223,8.12E-05,0.373203,0.001255646,0.001336854,,,,,,,,,
224,0.00563633,-0.00782616,-2.63312E-05,0.005609999,,,,,,,,,
225,0.0070441,0.0858461,0.00028883,0.00733293,,,,,,,,,
226,-0.0062638,0.802834,0.002701144,-0.003562656,,,,,,,,,
227,-0.000823881,0.289678,0.000974625,0.000150744,,,,,,,,,
228,-0.00251594,0.954382,0.003211029,0.000695089,,,,,,,,,
229,-0.00154525,1.00722,0.003388803,0.001843553,,,,,,,,,
230,-0.000131844,-0.495261,-0.001666311,-0.001798155,,,,,,,,,
231,0.0018186,-0.993441,-0.003342443,-0.001523843,,,,,,,,,
232,0.000864765,-0.509524,-0.001714299,-0.000849534,,,,,,,,,
233,-0.00153307,-0.37596,-0.001264922,-0.002797992,,,,,,,,,
234,-0.00113899,-0.421637,-0.001418602,-0.002557592,,,,,,,,,
235,0.0019208,0.00885058,2.97779E-05,0.001950578,,,,,,,,,
236,-0.00240264,1.7908,0.006025167,0.003622527,,,,,,,,,
237,-0.000573724,0.405783,0.001365261,0.000791537,,,,,,,,,
238,0.00283683,-0.801506,-0.002696676,0.000140154,,,,,,,,,
239,-0.000164084,0.391209,0.001316227,0.001152143,,,,,,,,,
240,0.0167865,0.615491,0.002070826,0.018857326,,,,,,,,,
241,0.00233191,-1.2278,-0.004130947,-0.001799037,,,,,,,,,
242,0.00161929,-1.10421,-0.003715127,-0.002095837,,,,,,,,,
243,0.0110763,0.077551,0.000260921,0.011337221,,,,,,,,,
244,0.000219043,0.105683,0.000355572,0.000574615,,,,,,,,,
245,0.000455504,0.0229383,7.71762E-05,0.00053268,,,,,,,,,
246,0.0133652,-1.10143,-0.003705774,0.009659426,,,,,,,,,
247,0.00457729,-0.0982995,-0.00033073,0.00424656,,,,,,,,,
248,-0.00122559,-0.390763,-0.001314726,-0.002540316,,,,,,,,,
249,-0.00306639,1.07461,0.003615537,0.000549147,,,,,,,,,
250,-0.0475939,0.30018,0.001009959,-0.046583941,,,,,,,,,
251,0.000359495,0.0716227,0.000240975,0.00060047,,,,,,,,,
252,0.00498913,-2.48634,-0.008365319,-0.003376189,,,,,,,,,
253,0.014737,0.127824,0.000430065,0.015167065,,,,,,,,,
254,-0.0018128,0.444176,0.001494435,-0.000318365,,,,,,,,,
255,0.00127164,-0.553315,-0.001861634,-0.000589994,,,,,,,,,
256,-0.00119421,0.243459,0.000819121,-0.000375089,,,,,,,,,
257,0.000538119,-0.16613,-0.000558946,-2.08272E-05,,,,,,,,,
258,0.00318758,0.494015,0.001662119,0.004849699,,,,,,,,,
259,-0.0066369,-0.437384,-0.001471583,-0.008108483,,,,,,,,,
260,-0.00113119,-0.134877,-0.000453795,-0.001584985,,,,,,,,,
261,-1.29E-05,-0.0263383,-8.86155E-05,-0.000101533,,,,,,,,,
262,-0.0143121,1.08691,0.003656921,-0.010655179,,,,,,,,,
263,-0.00245693,1.05534,0.003550703,0.001093773,,,,,,,,,
264,0.00116603,-1.93554,-0.006512146,-0.005346116,,,,,,,,,
265,0.00699117,-1.51037,-0.005081657,0.001909513,,,,,,,,,
266,0.000650853,-0.27917,-0.000939271,-0.000288418,,,,,,,,,
