tau,s_tmp,cash,delta,pv,r,q,PL,cash,asset,debt,PL
909,124.87,-0.00129148,0.00334372,0.41753,0.0137115,0.000342983,-0.1291%,-0.0012923,0.417530316,-0.41753,-0.1292%
910,123.819,-0.00129152,0.00334372,0.414016,0.0137082,0.000285922,-0.1292%,-0.0012912,0.414016067,-0.414016,-0.1291%
911,122.242,-0.00129156,0.00334372,0.408743,0.0137049,0.000228862,-0.1292%,-0.0012913,0.40874302,-0.408743,-0.1291%
912,122.945,-0.00129161,0.00334372,0.411094,0.0137016,0.000171801,-0.1292%,-0.0012914,0.411093655,-0.411094,-0.1292%
913,123.176,-0.00129166,0.00334372,0.411866,0.0141989,0.00011474,-0.1292%,-0.0012915,0.411866055,-0.411866,-0.1291%
914,124.737,-0.00129172,0.00334372,0.417086,0.0141967,5.77E-05,-0.1292%,-0.0012916,0.417085602,-0.417086,-0.1292%
915,125.247,-0.00129177,0.00334372,0.418791,0.0141945,6.18E-07,-0.1292%,-0.0012918,0.418790899,-0.418791,-0.1292%
916,124.627,-0.00129182,0.00334372,0.416718,0.0141923,-5.64E-05,-0.1292%,-0.0012919,0.416717792,-0.416718,-0.1292%
917,125.043,-0.00129186,0.00334372,0.418109,0.0141901,-0.000113504,-0.1292%,-0.0012920,0.41810878,-0.418109,-0.1292%
918,126.536,-0.00129192,0.00334372,0.423101,0.0141879,-0.000170565,-0.1292%,-0.0012921,0.423100954,-0.423101,-0.1292%
919,124.463,-0.00129196,0.00334372,0.416169,0.0141858,-0.000227626,-0.1292%,-0.0012922,0.416169422,-0.416169,-0.1292%
920,124.395,-0.00129201,0.00334372,0.415941,0.0141836,-0.000284687,-0.1292%,-0.0012923,0.415942049,-0.415941,-0.1291%
921,125.264,-0.00129206,0.00334371,0.418847,0.0141814,-0.000341748,-0.1292%,-0.0012912,0.418846489,-0.418847,-0.1292%
922,124.589,-0.00129211,0.00334371,0.416589,0.0141792,-0.000398809,-0.1292%,-0.0012926,0.416589485,-0.416589,-0.1292%
923,123.32,-0.00129216,0.0033437,0.412346,0.014177,-0.00045587,-0.1292%,-0.0012914,0.412345084,-0.412346,-0.1292%
924,122.993,-0.00129221,0.0033437,0.411252,0.0141748,-0.000512931,-0.1292%,-0.0012928,0.411251694,-0.411252,-0.1293%
925,123.701,-0.00129226,0.00334369,0.413618,0.0141726,-0.000569992,-0.1292%,-0.0012917,0.413617797,-0.413618,-0.1292%
926,123.65,-0.00129231,0.00334369,0.413447,0.0141704,-0.000627053,-0.1292%,-0.0012930,0.413447269,-0.413447,-0.1293%
927,124.237,-0.00129236,0.00334368,0.415409,0.0141682,-0.000684114,-0.1292%,-0.0012919,0.415408772,-0.415409,-0.1292%
928,124.793,-0.00129241,0.00334368,0.417267,0.014166,-0.000741175,-0.1292%,-0.0012933,0.417267858,-0.417267,-0.1292%
929,121.359,-0.00129246,0.00334367,0.405784,0.0141638,-0.000798236,-0.1292%,-0.0012921,0.405784448,-0.405784,-0.1292%
