PX, vold, vold-volup,바닐라옵션 베가,,바닐라옵션 vega(%),조기상환형 vega(%),노셔널,787.633
401.247,0.800679,1.08364,0.282961,,0.25%,-0.019%,,
402.733,0.76836,1.04302,0.27466,,0.24%,-0.019%,,
404.219,0.737387,1.00398,0.266593,,0.24%,-0.017%,,
405.705,0.707711,0.966442,0.258731,,0.23%,-0.016%,,
407.191,0.679285,0.93037,0.251085,,0.22%,-0.016%,,
408.678,0.652063,0.895711,0.243648,,0.22%,-0.015%,,
410.164,0.625891,0.862294,0.236403,,0.21%,-0.014%,,
411.65,0.60073,0.830075,0.229345,,0.20%,-0.013%,,
413.136,0.576544,0.799015,0.222471,,0.20%,-0.012%,,
414.622,0.553296,0.769074,0.215778,,0.19%,-0.012%,,
416.108,0.530952,0.740214,0.209262,,0.19%,-0.011%,,
417.594,0.509479,0.712397,0.202918,,0.18%,-0.010%,,
419.08,0.488844,0.685587,0.196743,,0.18%,-0.010%,,
420.566,0.469016,0.659751,0.190735,,0.17%,-0.009%,,
422.052,0.449964,0.634853,0.184889,,0.16%,-0.008%,,
423.539,0.431661,0.610863,0.179202,,0.16%,-0.009%,,
425.025,0.414077,0.587747,0.17367,,0.15%,-0.008%,,
426.511,0.397185,0.565476,0.168291,,0.15%,-0.007%,,
427.997,0.380961,0.54402,0.163059,,0.15%,-0.007%,,
429.483,0.365377,0.523351,0.157974,,0.14%,-0.006%,,
430.969,0.350411,0.503441,0.15303,,0.14%,-0.007%,,
432.455,0.336038,0.484263,0.148225,,0.13%,-0.006%,,
433.941,0.322237,0.465792,0.143555,,0.13%,-0.006%,,
435.427,0.308984,0.448002,0.139018,,0.12%,-0.005%,,
436.913,0.29626,0.43087,0.13461,,0.12%,-0.005%,,
438.4,0.284044,0.414372,0.130328,,0.12%,-0.004%,,
439.886,0.272316,0.398486,0.12617,,0.11%,-0.005%,,
441.372,0.261058,0.38319,0.122132,,0.11%,-0.005%,,
442.858,0.250252,0.368462,0.11821,,0.11%,-0.004%,,
444.344,0.239879,0.354283,0.114404,,0.10%,-0.004%,,
445.83,0.229925,0.340633,0.110708,,0.10%,-0.004%,,
447.316,0.220371,0.327493,0.107122,,0.10%,-0.003%,,
