numMC,PL,PL%,
499,0.0072,0.7200,
500,-0.0002,-0.0200,
501,-0.0036,-0.3600,
502,0.0073,0.7300,
503,0.0013,0.1300,
504,0.0007,0.0700,
505,0.0001,0.0100,
506,0.0033,0.3300,
507,-0.0159,-1.5900,
508,-0.0044,-0.4400,
509,-0.0037,-0.3700,
510,-0.0016,-0.1600,
511,0.0001,0.0100,
512,-0.0071,-0.7100,
513,-0.001,-0.1000,
514,0.0036,0.3600,
515,0.0019,0.1900,
516,0.0031,0.3100,
517,-0.0006,-0.0600,
518,-0.007,-0.7000,
519,0.002,0.2000,
520,-0.0001,-0.0100,
521,0.0069,0.6900,
522,0.0048,0.4800,
523,0.0043,0.4300,
524,-0.0025,-0.2500,
525,-0.0172,-1.7200,
526,-0.0025,-0.2500,
527,-0.0003,-0.0300,
528,-0.0035,-0.3500,
529,0.0016,0.1600,
530,0.0001,0.0100,
531,-0.0158,-1.5800,
532,0,0.0000,
533,0.0045,0.4500,
534,-0.0005,-0.0500,
535,-0.0004,-0.0400,
536,-0.003,-0.3000,
537,0.0091,0.9100,
538,-0.0019,-0.1900,
539,0.0032,0.3200,
540,-0.0007,-0.0700,
541,-0.0024,-0.2400,
542,-0.0014,-0.1400,
543,0.0101,1.0100,
544,0.0075,0.7500,
545,-0.0025,-0.2500,
546,-0.0003,-0.0300,
547,-0.0022,-0.2200,
548,-0.0043,-0.4300,
549,-0.0026,-0.2600,
550,0.0015,0.1500,
551,0.0067,0.6700,
552,0.0018,0.1800,
553,0.0392,3.9200,
554,0.0043,0.4300,
555,-0.001,-0.1000,
556,-0.004,-0.4000,
557,0,0.0000,
558,0.0005,0.0500,
559,0.0043,0.4300,
560,0.0002,0.0200,
561,-0.0033,-0.3300,
562,-0.012,-1.2000,
563,-0.0015,-0.1500,
564,0.0158,1.5800,
565,0.0014,0.1400,
566,0.0002,0.0200,
567,0.0006,0.0600,
568,-0.0019,-0.1900,
569,0.0006,0.0600,
570,-0.0006,-0.0600,
571,0.0048,0.4800,
572,-0.0065,-0.6500,
573,-0.0013,-0.1300,
574,-0.0029,-0.2900,
575,-0.005,-0.5000,
576,0.0024,0.2400,
577,-0.0009,-0.0900,
578,0.0046,0.4600,
579,-0.0013,-0.1300,
580,0.0015,0.1500,
581,0.0036,0.3600,
582,0.0016,0.1600,
583,-0.0028,-0.2800,
584,-0.0023,-0.2300,
585,-0.0013,-0.1300,
586,-0.0022,-0.2200,
587,0.0004,0.0400,
588,0.0022,0.2200,
589,0.0005,0.0500,
590,-0.0023,-0.2300,
591,-0.0004,-0.0400,
592,-0.0017,-0.1700,
593,0.0049,0.4900,
594,0.0006,0.0600,
595,0.0025,0.2500,
596,-0.0008,-0.0800,
597,-0.0001,-0.0100,
598,0.0007,0.0700,
599,-0.0055,-0.5500,
600,0.0043,0.4300,
601,-0.006,-0.6000,
602,0.0068,0.6800,
603,0.0033,0.3300,
604,-0.0117,-1.1700,
605,-0.0012,-0.1200,
606,-0.0131,-1.3100,
607,-0.0021,-0.2100,
608,0.0037,0.3700,
609,-0.0158,-1.5800,
610,-0.1249,-12.4900,
611,0.0019,0.1900,
612,-0.0013,-0.1300,
613,-0.0219,-2.1900,
614,0,0.0000,
615,-0.0366,-3.6600,
616,0.0005,0.0500,
617,-0.0025,-0.2500,
618,-0.0056,-0.5600,
619,0.0004,0.0400,
620,0.0015,0.1500,
621,0.0016,0.1600,
622,0.0153,1.5300,
623,-0.0028,-0.2800,
624,0.0034,0.3400,
625,0.0018,0.1800,
626,-0.0001,-0.0100,
627,0.0028,0.2800,
628,-0.0005,-0.0500,
629,-0.0104,-1.0400,
630,-0.0013,-0.1300,
631,-0.0005,-0.0500,
632,0.0009,0.0900,
633,-0.0003,-0.0300,
634,0.0009,0.0900,
635,-0.0025,-0.2500,
636,0.0034,0.3400,
637,0.0012,0.1200,
638,0.0048,0.4800,
639,-0.002,-0.2000,
640,0.0033,0.3300,
641,-0.0048,-0.4800,
642,-0.0001,-0.0100,
643,0.0004,0.0400,
644,0.0004,0.0400,
645,-0.0048,-0.4800,
646,0.0024,0.2400,
647,0.0002,0.0200,
648,0.0034,0.3400,
649,0.0021,0.2100,
650,0.001,0.1000,
651,0.0004,0.0400,
652,-0.0026,-0.2600,
653,-0.0032,-0.3200,
654,-0.0025,-0.2500,
655,-0.0041,-0.4100,
656,-0.0284,-2.8400,
657,0.0069,0.6900,
658,-0.0018,-0.1800,
659,0.0074,0.7400,
660,-0.0029,-0.2900,
661,-0.0001,-0.0100,
662,0.0034,0.3400,
663,0.0004,0.0400,
664,0.0099,0.9900,
665,-0.0009,-0.0900,
666,-0.0164,-1.6400,
667,0.0013,0.1300,
668,0.0017,0.1700,
669,-0.0011,-0.1100,
670,0.0016,0.1600,
671,-0.0064,-0.6400,
672,0.0024,0.2400,
673,0.0006,0.0600,
674,-0.0173,-1.7300,
675,0.0012,0.1200,
676,-0.0019,-0.1900,
677,0.0004,0.0400,
678,0.0006,0.0600,
679,0.0014,0.1400,
680,0.0028,0.2800,
681,0.0081,0.8100,
682,-0.0005,-0.0500,
683,-0.0025,-0.2500,
684,0.0014,0.1400,
685,-0.0012,-0.1200,
686,-0.0076,-0.7600,
687,-0.0131,-1.3100,
688,0.0006,0.0600,
689,0.0002,0.0200,
690,-0.0054,-0.5400,
691,-0.0011,-0.1100,
692,0.0199,1.9900,
693,0.0042,0.4200,
694,0.0069,0.6900,
695,-0.0048,-0.4800,
696,0.0042,0.4200,
697,0.0015,0.1500,
698,-0.0009,-0.0900,
699,-0.0085,-0.8500,
700,-0.0042,-0.4200,
701,-0.0053,-0.5300,
702,-0.0004,-0.0400,
703,0.003,0.3000,
704,0.0002,0.0200,
705,0.0008,0.0800,
706,0,0.0000,
707,0.0009,0.0900,
708,-0.0002,-0.0200,
709,-0.0017,-0.1700,
710,0.0072,0.7200,
711,-0.0036,-0.3600,
712,-0.0039,-0.3900,
713,0.0042,0.4200,
714,0.0025,0.2500,
715,-0.0016,-0.1600,
716,-0.0022,-0.2200,
717,0.0005,0.0500,
718,-0.0021,-0.2100,
719,-0.012,-1.2000,
720,0.0022,0.2200,
721,-0.0088,-0.8800,
722,-0.008,-0.8000,
723,-0.0017,-0.1700,
724,-0.0091,-0.9100,
725,-0.017,-1.7000,
726,-0.0039,-0.3900,
727,0.0054,0.5400,
728,-0.0177,-1.7700,
729,-0.0012,-0.1200,
730,0.006,0.6000,
731,-0.0012,-0.1200,
732,0,0.0000,
733,-0.0076,-0.7600,
734,0.0006,0.0600,
735,-0.0017,-0.1700,
736,0.01,1.0000,
737,0.0085,0.8500,
738,-0.0222,-2.2200,
739,-0.0033,-0.3300,
740,-0.0181,-1.8100,
741,-0.0024,-0.2400,
742,-0.0074,-0.7400,
743,0.0003,0.0300,
744,0.0175,1.7500,
745,-0.0008,-0.0800,
746,0.0195,1.9500,
747,-0.0011,-0.1100,
748,-0.0024,-0.2400,
749,-0.0018,-0.1800,
750,-0.0131,-1.3100,
751,-0.0042,-0.4200,
752,-0.0024,-0.2400,
753,-0.0013,-0.1300,
754,-0.0282,-2.8200,
755,-0.0058,-0.5800,
756,0,0.0000,
757,-0.0026,-0.2600,
758,-0.0009,-0.0900,
759,-0.0253,-2.5300,
760,-0.0008,-0.0800,
761,0.0026,0.2600,
762,0.0046,0.4600,
763,-0.0035,-0.3500,
764,-0.0025,-0.2500,
765,-0.0015,-0.1500,
766,0.0058,0.5800,
767,0.0002,0.0200,
768,0.0039,0.3900,
769,0,0.0000,
770,0.0008,0.0800,
771,-0.0006,-0.0600,
772,-0.001,-0.1000,
773,-0.0018,-0.1800,
774,-0.0011,-0.1100,
775,-0.0015,-0.1500,
776,-0.0094,-0.9400,
777,-0.0021,-0.2100,
778,0.0138,1.3800,
779,0.0295,2.9500,
780,0.001,0.1000,
781,0.008,0.8000,
782,0.0028,0.2800,
783,0.0104,1.0400,
784,0.0022,0.2200,
785,0.0267,2.6700,
786,-0.0006,-0.0600,
787,0.0087,0.8700,
788,0.0013,0.1300,
789,0.0057,0.5700,
790,-0.0012,-0.1200,
791,-0.0065,-0.6500,
792,-0.0038,-0.3800,
793,0.0133,1.3300,
794,0.0002,0.0200,
795,0.0008,0.0800,
796,-0.001,-0.1000,
797,-0.0039,-0.3900,
798,-0.0148,-1.4800,
799,0.0003,0.0300,
800,-0.0008,-0.0800,
801,-0.0013,-0.1300,
802,-0.0033,-0.3300,
803,-0.0005,-0.0500,
804,-0.0131,-1.3100,
805,0.0012,0.1200,
806,0.0053,0.5300,
807,-0.0014,-0.1400,
808,-0.0071,-0.7100,
809,0.0001,0.0100,
810,0.0007,0.0700,
811,-0.0003,-0.0300,
812,-0.0075,-0.7500,
813,-0.0004,-0.0400,
814,0.0077,0.7700,
815,-0.0017,-0.1700,
816,-0.0034,-0.3400,
817,-0.0009,-0.0900,
818,0.0126,1.2600,
819,-0.0028,-0.2800,
820,0.0048,0.4800,
821,-0.0205,-2.0500,
822,-0.0018,-0.1800,
823,-0.0148,-1.4800,
824,-0.0003,-0.0300,
825,0.0002,0.0200,
826,0.0022,0.2200,
827,-0.0068,-0.6800,
828,0,0.0000,
829,0.0007,0.0700,
830,0.0027,0.2700,
831,-0.004,-0.4000,
832,0.0001,0.0100,
833,0.0085,0.8500,
834,-0.0009,-0.0900,
835,-0.0203,-2.0300,
836,-0.0017,-0.1700,
837,-0.0055,-0.5500,
838,-0.0036,-0.3600,
839,-0.0017,-0.1700,
840,0.0017,0.1700,
841,0.0025,0.2500,
842,0.0037,0.3700,
843,0.0004,0.0400,
844,-0.0109,-1.0900,
845,-0.0001,-0.0100,
846,-0.001,-0.1000,
847,0.0022,0.2200,
848,-0.0037,-0.3700,
849,-0.0051,-0.5100,
850,-0.0036,-0.3600,
851,-0.0207,-2.0700,
852,-0.0039,-0.3900,
853,-0.001,-0.1000,
854,-0.0065,-0.6500,
855,-0.0005,-0.0500,
856,-0.0037,-0.3700,
857,-0.0019,-0.1900,
858,-0.0224,-2.2400,
859,-0.0026,-0.2600,
860,0.0006,0.0600,
861,0.0026,0.2600,
862,0.0014,0.1400,
863,0.019,1.9000,
864,0.002,0.2000,
865,0.0004,0.0400,
866,0.0051,0.5100,
867,0.0036,0.3600,
868,-0.001,-0.1000,
869,0.0006,0.0600,
870,0.0125,1.2500,
871,0.0003,0.0300,
872,0,0.0000,
