PX, vold, uold, vold vol up, uold vol up,vega
206.568,0.672749,0.701209,0.672183,0.696172,-0.504%
208.054,0.677861,0.707627,0.677244,0.702337,-0.529%
209.54,0.682971,0.714015,0.682301,0.708473,-0.554%
211.026,0.688076,0.72037,0.687353,0.714582,-0.579%
212.512,0.693179,0.726692,0.692401,0.72066,-0.603%
213.998,0.698277,0.732979,0.697444,0.726709,-0.627%
215.484,0.70337,0.739232,0.702481,0.732726,-0.651%
216.971,0.708459,0.745447,0.707512,0.738711,-0.674%
218.457,0.713542,0.751618,0.712535,0.744657,-0.696%
219.943,0.718618,0.757743,0.717551,0.750563,-0.718%
221.429,0.723687,0.763822,0.722559,0.756428,-0.739%
222.915,0.728749,0.769853,0.727558,0.762251,-0.760%
224.401,0.733802,0.775836,0.732549,0.768033,-0.780%
225.887,0.738847,0.781769,0.73753,0.773771,-0.800%
227.373,0.743883,0.787653,0.742501,0.779465,-0.819%
228.859,0.74891,0.793485,0.747462,0.785115,-0.837%
230.345,0.753927,0.799267,0.752412,0.790721,-0.855%
231.832,0.758934,0.804997,0.757351,0.796281,-0.872%
233.318,0.763928,0.810664,0.762277,0.801787,-0.888%
234.804,0.768909,0.816269,0.767189,0.807238,-0.903%
236.29,0.773876,0.82181,0.772087,0.812635,-0.918%
237.776,0.778829,0.827288,0.77697,0.817977,-0.931%
239.262,0.783768,0.832703,0.781837,0.823263,-0.944%
240.748,0.788691,0.838053,0.786689,0.828494,-0.956%
242.234,0.793599,0.84334,0.791525,0.833669,-0.967%
243.72,0.79849,0.848562,0.796345,0.838788,-0.977%
245.206,0.803365,0.85372,0.801147,0.843851,-0.987%
246.693,0.808222,0.858814,0.805932,0.848858,-0.996%
248.179,0.813062,0.863844,0.810699,0.85381,-1.003%
249.665,0.817884,0.86881,0.815448,0.858705,-1.010%
251.151,0.822687,0.873711,0.820179,0.863545,-1.017%
252.637,0.827471,0.878549,0.82489,0.868329,-1.022%
254.123,0.832236,0.883323,0.829581,0.873058,-1.027%
255.609,0.836981,0.888036,0.834254,0.877733,-1.030%
257.095,0.841705,0.892685,0.838905,0.882353,-1.033%
258.581,0.846409,0.897274,0.843537,0.886919,-1.036%
260.067,0.851092,0.901802,0.848148,0.891432,-1.037%
261.554,0.855754,0.906269,0.852737,0.895892,-1.038%
263.04,0.860388,0.91066,0.8573,0.900285,-1.038%
264.526,0.864993,0.914975,0.861834,0.904611,-1.036%
266.012,0.869569,0.919216,0.86634,0.908871,-1.035%
267.498,0.874117,0.923383,0.870818,0.913067,-1.032%
268.984,0.878635,0.927478,0.875266,0.9172,-1.028%
