PX%,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,PX,델타(발행시),델타(6개월),델타(12개월),델타(18개월),델타(24개월),델타(30개월),델타(만기),감마(발행시),감마(6개월),감마(12개월),감마(18개월),감마(24개월),감마(30개월),감마(만기),,발행시 volup,6개월후up,12개월후up,18개월후uip,24개월후up,30개월후up,만기up,발행시 VEGA,6개월후VEGA,12개월후VEGA,18개월후VEGA,24개월후VEGA,30개월후VEGA,만기VEGA
13%,12.11%,12.33%,12.39%,12.62%,12.68%,12.92%,13.00%,38.6386,12.11%,12.33%,12.39%,12.62%,12.68%,12.92%,13.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.121137,0.123317,0.123931,0.126186,0.126828,0.129197,0.13,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
14%,12.58%,12.81%,12.87%,13.10%,13.17%,13.42%,13.50%,40.1247,12.58%,12.81%,12.87%,13.10%,13.17%,13.42%,13.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.125797,0.12806,0.128698,0.13104,0.131706,0.134166,0.135,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
14%,13.05%,13.28%,13.35%,13.59%,13.66%,13.91%,14.00%,41.6108,13.05%,13.28%,13.35%,13.59%,13.66%,13.91%,14.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.130457,0.132803,0.133465,0.135893,0.136584,0.139135,0.14,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
15%,13.51%,13.75%,13.82%,14.07%,14.15%,14.41%,14.50%,43.0969,13.51%,13.75%,13.82%,14.08%,14.15%,14.41%,14.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.135116,0.137546,0.138231,0.140746,0.141462,0.144104,0.145,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
15%,13.98%,14.23%,14.30%,14.56%,14.63%,14.91%,15.00%,44.583,13.98%,14.23%,14.30%,14.56%,14.64%,14.91%,15.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.139777,0.142289,0.142998,0.1456,0.146341,0.149073,0.15,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
16%,14.44%,14.70%,14.78%,15.05%,15.12%,15.40%,15.50%,46.0691,14.45%,14.70%,14.78%,15.04%,15.12%,15.40%,15.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.144437,0.147032,0.147764,0.150453,0.151219,0.154042,0.155,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
16%,14.91%,15.18%,15.25%,15.53%,15.61%,15.90%,16.00%,47.5552,14.91%,15.18%,15.25%,15.53%,15.61%,15.90%,16.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.149098,0.151775,0.152531,0.155306,0.156097,0.159011,0.16,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
17%,15.38%,15.65%,15.73%,16.02%,16.10%,16.40%,16.50%,49.0413,15.38%,15.65%,15.73%,16.02%,16.10%,16.40%,16.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.153759,0.156518,0.157297,0.16016,0.160975,0.163981,0.165,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
17%,15.84%,16.13%,16.21%,16.50%,16.59%,16.90%,17.00%,50.5274,15.85%,16.13%,16.21%,16.50%,16.59%,16.89%,17.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.15842,0.161261,0.162064,0.165013,0.165853,0.16895,0.17,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
18%,16.31%,16.60%,16.68%,16.99%,17.07%,17.39%,17.50%,52.0135,16.32%,16.60%,16.68%,16.99%,17.07%,17.39%,17.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.163082,0.166004,0.166831,0.169866,0.170731,0.173919,0.175,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
