PX%,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,PX,델타(발행시),델타(6개월),델타(12개월),델타(18개월),델타(24개월),델타(30개월),델타(만기),감마(발행시),감마(6개월),감마(12개월),감마(18개월),감마(24개월),감마(30개월),감마(만기),,발행시 volup,6개월후up,12개월후up,18개월후uip,24개월후up,30개월후up,만기up,발행시 VEGA,6개월후VEGA,12개월후VEGA,18개월후VEGA,24개월후VEGA,30개월후VEGA,만기VEGA
70%,70.12%,73.99%,76.67%,82.00%,87.07%,99.24%,113.80%,206.568,89.43%,109.79%,127.21%,149.56%,172.93%,179.02%,,,,,,,,,,0.696172,0.732587,0.757875,0.808593,0.857751,0.97775,1.138,0.504%,0.731%,0.884%,1.145%,1.296%,1.460%,0.000%
70%,70.76%,74.78%,77.58%,83.07%,88.30%,100.48%,113.80%,208.054,89.65%,109.65%,126.64%,147.56%,169.09%,168.01%,,,,,,,,,,0.702337,0.740078,0.766547,0.818821,0.869656,0.990386,1.138,0.529%,0.768%,0.926%,1.187%,1.332%,1.439%,0.000%
70%,71.40%,75.56%,78.48%,84.11%,89.49%,101.64%,113.80%,209.54,89.84%,109.46%,126.00%,145.45%,165.10%,157.23%,,,,,,,,,,0.708473,0.747511,0.775127,0.828856,0.881239,1.00223,1.138,0.554%,0.805%,0.968%,1.227%,1.363%,1.412%,0.000%
71%,72.04%,76.33%,79.37%,85.13%,90.64%,102.71%,113.80%,211.026,90.01%,109.23%,125.29%,143.25%,160.99%,146.77%,,,,,,,,,,0.714582,0.754884,0.783611,0.838695,0.892496,1.0133,1.138,0.579%,0.840%,1.007%,1.263%,1.390%,1.378%,0.000%
71%,72.67%,77.09%,80.24%,86.13%,91.75%,103.70%,113.80%,212.512,90.16%,108.96%,124.50%,140.96%,156.78%,136.72%,0.00%,0.70%,1.50%,2.41%,4.73%,7.65%,15.49%,0.00%,,0.72066,0.762195,0.791995,0.848335,0.903424,1.02364,1.138,0.603%,0.875%,1.045%,1.296%,1.412%,1.338%,0.000%
72%,73.30%,77.85%,81.11%,87.10%,92.83%,104.62%,113.80%,213.998,90.29%,108.66%,123.66%,138.60%,152.48%,127.02%,0.00%,0.75%,1.58%,2.52%,4.86%,7.80%,14.96%,0.00%,,0.726709,0.769443,0.800278,0.857772,0.91402,1.03326,1.138,0.627%,0.908%,1.082%,1.327%,1.430%,1.294%,0.000%
72%,73.92%,78.60%,81.96%,88.05%,93.87%,105.47%,113.80%,215.484,90.37%,108.28%,122.72%,136.14%,148.06%,117.71%,0.00%,0.83%,1.72%,2.73%,5.07%,8.02%,14.53%,0.00%,,0.732726,0.776627,0.808457,0.867005,0.924283,1.0422,1.138,0.651%,0.941%,1.117%,1.354%,1.444%,1.246%,0.000%
73%,74.54%,79.35%,82.80%,88.98%,94.87%,106.24%,113.80%,216.971,90.39%,107.77%,121.59%,133.49%,143.47%,108.59%,0.00%,0.89%,1.90%,2.99%,5.34%,8.28%,14.20%,0.00%,,0.738711,0.783744,0.816529,0.876033,0.934213,1.05049,1.138,0.674%,0.972%,1.150%,1.379%,1.453%,1.195%,0.000%
74%,75.16%,80.08%,83.63%,89.88%,95.84%,106.95%,113.80%,218.457,90.38%,107.15%,120.29%,130.65%,138.69%,99.75%,0.00%,0.96%,2.04%,3.19%,5.55%,8.46%,13.69%,0.00%,,0.744657,0.79078,0.824475,0.884834,0.943788,1.05813,1.138,0.696%,1.002%,1.181%,1.400%,1.459%,1.141%,0.000%
74%,75.77%,80.80%,84.44%,90.76%,96.76%,107.60%,113.80%,219.943,90.32%,106.45%,118.89%,127.72%,133.84%,91.32%,0.00%,1.02%,2.13%,3.30%,5.64%,8.51%,13.03%,0.00%,,0.750563,0.797734,0.832291,0.893407,0.953011,1.06516,1.138,0.718%,1.031%,1.210%,1.419%,1.460%,1.085%,0.000%
75%,76.38%,81.52%,85.23%,91.61%,97.65%,108.19%,113.80%,221.429,90.23%,105.71%,117.44%,124.76%,129.00%,83.37%,0.00%,1.05%,2.18%,3.37%,5.68%,8.49%,12.21%,0.00%,,0.756428,0.804603,0.839978,0.901753,0.961885,1.0716,1.138,0.739%,1.058%,1.237%,1.434%,1.458%,1.028%,0.000%
75%,76.99%,82.22%,86.02%,92.43%,98.49%,108.72%,113.80%,222.915,90.11%,104.95%,115.94%,121.77%,124.17%,76.06%,0.00%,1.09%,2.21%,3.45%,5.72%,8.45%,11.36%,0.00%,,0.762251,0.811389,0.847532,0.909872,0.970413,1.0775,1.138,0.760%,1.084%,1.262%,1.447%,1.452%,0.970%,0.000%
75%,77.58%,82.92%,86.78%,93.23%,99.30%,109.20%,113.80%,224.401,89.97%,104.16%,114.39%,118.75%,119.39%,69.24%,0.00%,1.12%,2.26%,3.52%,5.75%,8.39%,10.72%,0.00%,,0.768033,0.818089,0.854953,0.917765,0.978599,1.08289,1.138,0.780%,1.109%,1.285%,1.456%,1.442%,0.913%,0.000%
76%,78.18%,83.60%,87.53%,94.01%,100.07%,109.64%,113.80%,225.887,89.82%,103.34%,112.80%,115.73%,114.64%,62.78%,0.00%,1.16%,2.29%,3.57%,5.77%,8.33%,10.05%,0.00%,,0.773771,0.824704,0.862241,0.925433,0.98645,1.08781,1.138,0.800%,1.132%,1.306%,1.463%,1.429%,0.856%,0.000%
76%,78.77%,84.28%,88.26%,94.76%,100.81%,110.03%,113.80%,227.373,89.63%,102.50%,111.18%,112.68%,109.94%,56.84%,0.00%,1.19%,2.32%,3.61%,5.78%,8.21%,9.19%,0.00%,,0.779465,0.831233,0.869393,0.932878,0.993972,1.09229,1.138,0.819%,1.154%,1.325%,1.468%,1.413%,0.799%,0.000%
77%,79.35%,84.94%,88.98%,95.48%,101.51%,110.38%,113.80%,228.859,89.43%,101.64%,109.53%,109.65%,105.34%,51.52%,0.00%,1.23%,2.39%,3.69%,5.79%,8.15%,8.49%,0.00%,,0.785115,0.837675,0.876411,0.940101,1.00117,1.09636,1.138,0.837%,1.175%,1.342%,1.470%,1.394%,0.744%,0.000%
77%,79.93%,85.60%,89.69%,96.18%,102.18%,110.70%,113.80%,230.345,89.19%,100.72%,107.81%,106.59%,100.72%,46.49%,0.00%,1.33%,2.54%,3.86%,5.89%,8.19%,8.06%,0.00%,,0.790721,0.844031,0.883293,0.947106,1.00805,1.10006,1.138,0.855%,1.194%,1.358%,1.469%,1.373%,0.691%,0.000%
78%,80.50%,86.24%,90.38%,96.86%,102.81%,110.98%,113.80%,231.832,88.87%,99.66%,105.94%,103.42%,96.07%,41.72%,0.00%,1.44%,2.80%,4.09%,6.07%,8.25%,7.53%,0.00%,,0.796281,0.850301,0.89004,0.953894,1.01463,1.10341,1.138,0.872%,1.212%,1.371%,1.466%,1.348%,0.639%,0.000%
79%,81.07%,86.88%,91.05%,97.51%,103.41%,111.23%,113.80%,233.318,88.49%,98.41%,103.93%,100.13%,91.38%,37.37%,0.00%,1.52%,2.99%,4.25%,6.15%,8.29%,6.95%,0.00%,,0.801787,0.856465,0.896635,0.960452,1.02088,1.10643,1.138,0.888%,1.229%,1.382%,1.460%,1.322%,0.589%,0.000%
79%,81.63%,87.50%,91.70%,98.13%,103.98%,111.46%,113.80%,234.804,88.06%,97.11%,101.85%,96.85%,86.67%,33.34%,0.00%,1.58%,3.02%,4.30%,6.12%,8.24%,6.43%,0.00%,,0.807238,0.862524,0.903078,0.966783,1.02681,1.10914,1.138,0.903%,1.243%,1.391%,1.453%,1.294%,0.542%,0.000%
80%,82.18%,88.10%,92.33%,98.73%,104.51%,111.65%,113.80%,236.29,87.61%,95.81%,99.77%,93.61%,82.05%,29.66%,0.00%,1.60%,3.03%,4.31%,6.07%,7.96%,5.88%,0.00%,,0.812635,0.868477,0.909369,0.972891,1.03243,1.11157,1.138,0.918%,1.256%,1.398%,1.442%,1.264%,0.497%,0.000%
80%,82.73%,88.70%,92.95%,99.31%,105.01%,111.83%,113.80%,237.776,87.15%,94.50%,97.69%,90.39%,77.69%,26.32%,0.00%,1.63%,3.05%,4.31%,5.99%,7.68%,5.31%,0.00%,,0.817977,0.874326,0.915511,0.97878,1.03776,1.11374,1.138,0.931%,1.268%,1.403%,1.430%,1.231%,0.455%,0.000%
80%,83.27%,89.29%,93.56%,99.86%,105.48%,111.98%,113.80%,239.262,86.66%,93.18%,95.60%,87.25%,73.42%,23.35%,0.00%,1.66%,3.06%,4.32%,5.97%,7.52%,4.80%,0.00%,,0.823263,0.880071,0.921504,0.984455,1.04279,1.11569,1.138,0.944%,1.278%,1.406%,1.416%,1.199%,0.414%,0.000%
81%,83.81%,89.86%,94.14%,100.39%,105.92%,112.12%,113.80%,240.748,86.17%,91.86%,93.51%,84.06%,69.26%,20.66%,0.00%,1.68%,3.06%,4.32%,5.89%,7.28%,4.33%,0.00%,,0.828494,0.885713,0.92735,0.989919,1.04755,1.11742,1.138,0.956%,1.287%,1.406%,1.400%,1.164%,0.377%,0.000%
81%,84.33%,90.42%,94.71%,100.90%,106.33%,112.24%,113.80%,242.234,85.65%,90.54%,91.42%,81.02%,65.29%,18.26%,0.00%,1.71%,3.06%,4.31%,5.69%,7.04%,3.79%,0.00%,,0.833669,0.891253,0.933049,0.995177,1.05205,1.11897,1.138,0.967%,1.294%,1.405%,1.381%,1.128%,0.341%,0.000%
82%,84.86%,90.97%,95.26%,101.39%,106.72%,112.34%,113.80%,243.72,85.12%,89.21%,89.34%,78.07%,61.42%,16.24%,0.00%,1.75%,3.08%,4.31%,5.74%,6.81%,3.43%,0.00%,,0.838788,0.896692,0.938605,1.00023,1.05629,1.12035,1.138,0.977%,1.300%,1.403%,1.363%,1.091%,0.308%,0.000%
82%,85.37%,91.51%,95.80%,101.85%,107.08%,112.44%,113.80%,245.206,84.56%,87.87%,87.25%,74.97%,57.73%,14.27%,0.00%,1.77%,3.28%,4.47%,5.80%,6.55%,3.20%,0.00%,,0.843851,0.902031,0.944018,1.0051,1.06028,1.12157,1.138,0.987%,1.304%,1.398%,1.341%,1.054%,0.279%,0.000%
83%,85.88%,92.03%,96.32%,102.30%,107.42%,112.52%,113.80%,246.693,84.01%,86.31%,84.98%,71.94%,54.18%,12.53%,0.00%,1.74%,3.64%,4.78%,5.83%,6.39%,2.89%,0.00%,,0.848858,0.907272,0.949292,1.00977,1.06404,1.12266,1.138,0.996%,1.307%,1.392%,1.318%,1.016%,0.250%,0.000%
84%,86.38%,92.55%,96.82%,102.72%,107.74%,112.59%,113.80%,248.179,83.47%,84.52%,82.52%,68.81%,50.69%,10.94%,0.00%,1.77%,3.83%,4.93%,5.98%,6.33%,2.65%,0.00%,,0.85381,0.912389,0.954403,1.01423,1.06756,1.12362,1.138,1.003%,1.309%,1.384%,1.295%,0.979%,0.225%,0.000%
84%,86.88%,93.05%,97.31%,103.12%,108.03%,112.65%,113.80%,249.665,82.89%,82.73%,80.07%,65.61%,47.21%,9.49%,0.00%,1.81%,3.82%,4.90%,5.86%,6.14%,2.33%,0.00%,,0.858705,0.917385,0.959356,1.01849,1.07086,1.12446,1.138,1.010%,1.308%,1.374%,1.270%,0.941%,0.201%,0.000%
85%,87.37%,93.53%,97.78%,103.50%,108.30%,112.70%,113.80%,251.151,82.30%,80.96%,77.64%,62.62%,43.94%,8.28%,0.00%,1.82%,3.80%,4.86%,5.64%,5.71%,2.00%,0.00%,,0.863545,0.922262,0.964153,1.02257,1.07395,1.1252,1.138,1.017%,1.306%,1.362%,1.242%,0.902%,0.180%,0.000%
85%,87.85%,94.00%,98.23%,103.86%,108.55%,112.75%,113.80%,252.637,81.71%,79.19%,75.24%,59.67%,40.97%,7.23%,0.00%,1.82%,3.78%,4.78%,5.56%,5.42%,1.81%,0.00%,,0.868329,0.927022,0.968797,1.02645,1.07683,1.12585,1.138,1.022%,1.302%,1.348%,1.215%,0.864%,0.160%,0.000%
85%,88.33%,94.46%,98.66%,104.20%,108.78%,112.79%,113.80%,254.123,81.12%,77.44%,72.89%,56.78%,38.05%,6.24%,0.00%,1.83%,3.73%,4.71%,5.34%,5.26%,1.61%,0.00%,,0.873058,0.931666,0.973291,1.03015,1.07952,1.12642,1.138,1.027%,1.297%,1.333%,1.186%,0.827%,0.143%,0.000%
86%,88.80%,94.91%,99.08%,104.52%,108.99%,112.82%,113.80%,255.609,80.52%,75.74%,70.58%,54.10%,35.26%,5.42%,0.00%,1.84%,3.68%,4.65%,5.18%,4.96%,1.33%,0.00%,,0.877733,0.936196,0.977639,1.03368,1.08203,1.12692,1.138,1.030%,1.291%,1.316%,1.156%,0.789%,0.126%,0.000%
86%,89.27%,95.34%,99.48%,104.83%,109.19%,112.85%,113.80%,257.095,79.91%,74.04%,68.31%,51.38%,32.70%,4.76%,0.00%,1.83%,3.66%,4.60%,5.16%,4.71%,1.27%,0.00%,,0.882353,0.940616,0.981844,1.03703,1.08437,1.12736,1.138,1.033%,1.283%,1.298%,1.127%,0.752%,0.112%,0.000%
87%,89.73%,95.77%,99.87%,105.12%,109.37%,112.87%,113.80%,258.581,79.32%,72.36%,66.05%,48.72%,30.19%,4.00%,0.00%,1.86%,3.62%,4.54%,5.01%,4.55%,1.14%,0.00%,,0.886919,0.944927,0.985909,1.04022,1.08654,1.12774,1.138,1.036%,1.274%,1.279%,1.096%,0.716%,0.099%,0.000%
87%,90.18%,96.18%,100.24%,105.39%,109.54%,112.89%,113.80%,260.067,78.68%,70.71%,63.86%,46.19%,27.82%,3.50%,0.00%,2.01%,3.80%,4.55%,4.91%,4.29%,0.92%,0.00%,,0.891432,0.949132,0.989838,1.04326,1.08856,1.12807,1.138,1.037%,1.263%,1.258%,1.064%,0.680%,0.087%,0.000%
88%,90.63%,96.57%,100.60%,105.65%,109.69%,112.91%,113.80%,261.554,77.93%,68.82%,61.58%,43.64%,25.60%,2.99%,0.00%,2.21%,4.18%,4.78%,4.94%,4.17%,0.85%,0.00%,,0.895892,0.953232,0.993635,1.04614,1.09044,1.12837,1.138,1.038%,1.251%,1.237%,1.032%,0.644%,0.076%,0.000%
89%,91.07%,96.96%,100.94%,105.89%,109.83%,112.93%,113.80%,263.04,77.05%,66.73%,59.12%,41.07%,23.37%,2.57%,0.00%,2.34%,4.35%,4.99%,4.84%,4.06%,0.70%,0.00%,,0.900285,0.957204,0.99728,1.04886,1.09217,1.12862,1.138,1.038%,1.238%,1.214%,1.000%,0.610%,0.066%,0.000%
89%,91.50%,97.33%,101.27%,106.11%,109.95%,112.94%,113.80%,264.526,76.15%,64.66%,56.61%,38.63%,21.27%,2.23%,0.00%,2.36%,4.30%,4.99%,4.59%,3.80%,0.63%,0.00%,,0.904611,0.961051,1.00078,1.05143,1.09376,1.12884,1.138,1.036%,1.223%,1.190%,0.967%,0.576%,0.058%,0.000%
90%,91.92%,97.68%,101.58%,106.32%,110.07%,112.95%,113.80%,266.012,75.26%,62.63%,54.15%,36.34%,19.33%,1.88%,0.00%,2.36%,4.21%,4.81%,4.49%,3.69%,0.56%,0.00%,,0.908871,0.964776,1.00413,1.05386,1.09521,1.12902,1.138,1.035%,1.207%,1.165%,0.934%,0.545%,0.051%,0.000%
90%,92.34%,98.03%,101.87%,106.52%,110.17%,112.96%,113.80%,267.498,74.36%,60.66%,51.84%,34.02%,17.37%,1.62%,0.00%,2.33%,4.12%,4.54%,4.37%,3.40%,0.57%,0.00%,,0.913067,0.968382,1.00735,1.05615,1.09655,1.12918,1.138,1.032%,1.190%,1.138%,0.901%,0.513%,0.045%,0.000%
90%,92.75%,98.36%,102.15%,106.70%,110.26%,112.97%,113.80%,268.984,73.49%,58.72%,49.69%,31.86%,15.75%,1.27%,0.00%,2.30%,4.05%,4.42%,4.18%,3.03%,0.49%,0.00%,,0.9172,0.971873,1.01044,1.0583,1.09777,1.12932,1.138,1.028%,1.172%,1.110%,0.868%,0.482%,0.039%,0.000%
91%,93.15%,98.68%,102.42%,106.87%,110.34%,112.98%,113.80%,270.47,72.63%,56.83%,47.51%,29.76%,14.20%,1.09%,0.00%,2.29%,3.95%,4.39%,4.06%,2.98%,0.25%,0.00%,,0.921269,0.975252,1.01339,1.06033,1.09889,1.12944,1.138,1.023%,1.152%,1.083%,0.835%,0.453%,0.033%,0.000%
91%,93.55%,98.98%,102.68%,107.03%,110.42%,112.98%,113.80%,271.956,71.78%,55.00%,45.39%,27.73%,12.63%,1.01%,0.00%,2.27%,3.84%,4.19%,3.77%,2.76%,0.25%,0.00%,,0.925278,0.978522,1.01622,1.06223,1.09991,1.12954,1.138,1.018%,1.131%,1.054%,0.802%,0.424%,0.029%,0.000%
92%,93.93%,99.28%,102.92%,107.17%,110.48%,112.99%,113.80%,273.442,70.94%,53.23%,43.43%,25.95%,11.32%,0.83%,0.00%,2.26%,3.77%,4.08%,3.56%,2.37%,0.25%,0.00%,,0.929226,0.981686,1.01893,1.06402,1.10084,1.12963,1.138,1.012%,1.110%,1.025%,0.769%,0.396%,0.025%,0.000%
92%,94.32%,99.56%,103.15%,107.31%,110.54%,112.99%,113.80%,274.928,70.10%,51.49%,41.43%,24.14%,10.17%,0.74%,0.00%,2.72%,3.99%,4.20%,3.60%,2.31%,0.26%,0.00%,,0.933115,0.984747,1.02152,1.0657,1.10168,1.1297,1.138,1.005%,1.087%,0.996%,0.737%,0.370%,0.022%,0.000%
93%,94.69%,99.83%,103.37%,107.43%,110.59%,113.00%,113.80%,276.415,68.75%,49.47%,39.33%,22.31%,8.93%,0.56%,0.00%,3.66%,4.37%,4.40%,3.45%,2.33%,0.26%,0.00%,,0.936946,0.98771,1.024,1.06727,1.10245,1.12977,1.138,0.998%,1.064%,0.966%,0.705%,0.345%,0.019%,0.000%
94%,95.06%,100.09%,103.57%,107.55%,110.63%,113.00%,113.80%,277.901,66.89%,47.32%,37.12%,20.66%,7.76%,0.47%,0.00%,4.12%,4.36%,4.36%,3.31%,2.01%,0.09%,0.00%,,0.94067,0.990548,1.02636,1.06874,1.10313,1.12982,1.138,0.989%,1.039%,0.935%,0.673%,0.321%,0.016%,0.000%
94%,95.41%,100.34%,103.76%,107.65%,110.67%,113.00%,113.80%,279.387,65.05%,45.31%,35.06%,18.99%,6.86%,0.47%,0.00%,4.07%,4.34%,4.07%,3.36%,1.86%,0.18%,0.00%,,0.944288,0.993267,1.02859,1.07011,1.10375,1.12987,1.138,0.979%,1.014%,0.904%,0.642%,0.298%,0.014%,0.000%
95%,95.75%,100.58%,103.94%,107.75%,110.71%,113.00%,113.80%,280.873,63.26%,43.19%,33.17%,17.29%,5.86%,0.28%,0.00%,3.96%,4.29%,3.84%,3.13%,1.88%,0.18%,0.00%,,0.947805,0.995871,1.03071,1.07137,1.1043,1.12991,1.138,0.968%,0.989%,0.873%,0.612%,0.277%,0.012%,0.000%
95%,96.08%,100.80%,104.11%,107.84%,110.74%,113.00%,113.80%,282.359,61.54%,41.23%,31.35%,15.87%,4.94%,0.29%,0.00%,3.86%,4.06%,3.79%,2.80%,1.62%,0.00%,0.00%,,0.951222,0.998364,1.03273,1.07255,1.10479,1.12994,1.138,0.955%,0.962%,0.841%,0.581%,0.256%,0.010%,0.000%
95%,96.40%,101.01%,104.27%,107.92%,110.76%,113.01%,113.80%,283.845,59.84%,39.35%,29.51%,14.52%,4.20%,0.29%,0.00%,3.78%,3.92%,3.74%,2.74%,1.37%,0.09%,0.00%,,0.954544,1.00075,1.03463,1.07364,1.10523,1.12997,1.138,0.942%,0.935%,0.811%,0.552%,0.236%,0.009%,0.000%
96%,96.70%,101.21%,104.42%,107.99%,110.78%,113.01%,113.80%,285.331,58.21%,37.54%,27.75%,13.15%,3.55%,0.19%,0.00%,3.67%,3.78%,3.59%,2.58%,1.20%,0.09%,0.00%,,0.957771,1.00303,1.03644,1.07465,1.10562,1.13,1.138,0.927%,0.907%,0.779%,0.523%,0.217%,0.007%,0.000%
96%,97.00%,101.40%,104.56%,108.05%,110.80%,113.01%,113.80%,286.817,56.63%,35.80%,26.06%,11.97%,2.99%,0.19%,0.00%,3.57%,3.73%,3.35%,2.33%,1.12%,0.09%,0.00%,,0.960908,1.00522,1.03814,1.07558,1.10596,1.13002,1.138,0.911%,0.879%,0.749%,0.495%,0.200%,0.006%,0.000%
97%,97.29%,101.58%,104.69%,108.11%,110.81%,113.01%,113.80%,288.303,55.10%,34.05%,24.54%,10.86%,2.43%,0.10%,0.00%,3.48%,3.49%,3.11%,2.26%,1.13%,0.09%,0.00%,,0.963957,1.00731,1.03976,1.07644,1.10626,1.13003,1.138,0.895%,0.850%,0.717%,0.468%,0.184%,0.006%,0.000%
97%,97.57%,101.75%,104.82%,108.17%,110.82%,113.01%,113.80%,289.789,53.61%,32.56%,23.10%,9.75%,1.85%,0.10%,0.00%,4.08%,3.53%,3.14%,2.19%,1.05%,0.00%,0.00%,,0.966922,1.00931,1.04129,1.07723,1.10653,1.13005,1.138,0.878%,0.821%,0.687%,0.442%,0.168%,0.004%,0.000%
98%,97.84%,101.92%,104.93%,108.21%,110.83%,113.01%,113.80%,291.276,51.47%,30.76%,21.55%,8.72%,1.37%,0.10%,0.00%,5.32%,3.93%,3.16%,2.01%,0.86%,0.00%,0.00%,,0.969805,1.01122,1.04274,1.07796,1.10676,1.13006,1.138,0.860%,0.793%,0.656%,0.416%,0.153%,0.004%,0.000%
99%,98.10%,102.07%,105.04%,108.25%,110.84%,113.01%,113.80%,292.762,48.70%,28.86%,20.10%,7.78%,0.99%,0.10%,0.00%,5.83%,3.87%,3.10%,1.84%,0.68%,0.00%,0.00%,,0.972543,1.01303,1.04409,1.07863,1.10696,1.13007,1.138,0.841%,0.763%,0.627%,0.391%,0.139%,0.003%,0.000%
99%,98.34%,102.21%,105.13%,108.29%,110.84%,113.01%,113.80%,294.248,46.04%,27.13%,18.61%,6.93%,0.69%,0.10%,0.00%,5.62%,3.72%,3.04%,1.67%,0.59%,0.10%,0.00%,,0.975144,1.01473,1.04537,1.07924,1.10713,1.13008,1.138,0.821%,0.735%,0.597%,0.367%,0.126%,0.003%,0.000%
100%,98.56%,102.34%,105.22%,108.32%,110.84%,113.01%,113.80%,295.734,43.49%,25.37%,17.21%,6.17%,0.40%,0.00%,0.00%,5.39%,3.56%,2.77%,1.68%,0.69%,0.10%,0.00%,,0.977612,1.01635,1.04656,1.0798,1.10727,1.13009,1.138,0.799%,0.705%,0.568%,0.344%,0.115%,0.002%,0.000%
100%,98.77%,102.46%,105.31%,108.35%,110.84%,113.01%,113.80%,297.22,41.06%,23.80%,16.00%,5.30%,0.00%,0.00%,0.00%,5.16%,3.40%,2.50%,1.60%,0.60%,-0.10%,0.00%,,0.979952,1.01787,1.04767,1.08031,1.10739,1.13009,1.138,0.777%,0.676%,0.540%,0.322%,0.104%,0.002%,0.000%
100%,98.97%,102.58%,105.38%,108.38%,110.84%,113.01%,113.80%,298.706,38.75%,22.21%,14.87%,4.62%,-0.20%,0.10%,0.00%,4.94%,3.33%,2.42%,1.31%,0.30%,-0.10%,0.00%,,0.982171,1.0193,1.04872,1.08077,1.10749,1.1301,1.138,0.754%,0.648%,0.512%,0.300%,0.093%,0.001%,0.000%
101%,99.16%,102.68%,105.46%,108.40%,110.84%,113.01%,113.80%,300.192,36.53%,20.71%,13.74%,4.04%,-0.30%,0.10%,0.00%,4.73%,3.06%,2.45%,1.22%,0.31%,0.10%,0.00%,,0.984274,1.02065,1.04969,1.08118,1.10757,1.1301,1.138,0.731%,0.619%,0.486%,0.281%,0.084%,0.002%,0.000%
101%,99.33%,102.78%,105.52%,108.42%,110.84%,113.01%,113.80%,301.678,34.42%,19.39%,12.59%,3.45%,-0.51%,0.00%,0.00%,4.51%,2.78%,2.27%,1.13%,0.41%,0.10%,0.00%,,0.986265,1.02192,1.05061,1.08156,1.10764,1.1301,1.138,0.706%,0.591%,0.459%,0.261%,0.075%,0.002%,0.000%
102%,99.50%,102.88%,105.58%,108.43%,110.84%,113.01%,113.80%,303.164,32.43%,18.16%,11.63%,2.96%,-0.71%,0.00%,0.00%,4.31%,2.71%,1.98%,1.04%,0.31%,0.00%,0.00%,,0.988149,1.02312,1.05146,1.0819,1.10769,1.13011,1.138,0.682%,0.563%,0.433%,0.243%,0.067%,0.001%,0.000%
102%,99.65%,102.96%,105.63%,108.45%,110.83%,113.01%,113.80%,304.65,30.52%,16.91%,10.76%,2.46%,-0.82%,0.00%,0.00%,4.32%,2.74%,1.89%,0.95%,0.10%,0.00%,0.00%,,0.989931,1.02425,1.05226,1.08221,1.10772,1.13011,1.138,0.658%,0.536%,0.408%,0.225%,0.060%,0.001%,0.000%
103%,99.79%,103.04%,105.68%,108.46%,110.83%,113.01%,113.80%,306.137,28.51%,15.65%,9.89%,2.06%,-0.82%,0.00%,0.00%,4.51%,2.75%,1.80%,0.85%,0.11%,0.00%,0.00%,,0.991616,1.02531,1.053,1.08249,1.10775,1.13011,1.138,0.633%,0.509%,0.384%,0.208%,0.053%,0.001%,0.000%
104%,99.93%,103.11%,105.73%,108.47%,110.82%,113.01%,113.80%,307.623,26.42%,14.39%,9.11%,1.66%,-0.93%,0.00%,0.00%,4.45%,2.67%,1.82%,0.75%,0.21%,0.00%,0.00%,,0.99319,1.0263,1.05369,1.08274,1.10777,1.13011,1.138,0.609%,0.483%,0.361%,0.192%,0.047%,0.001%,0.000%
104%,100.05%,103.18%,105.77%,108.47%,110.82%,113.01%,113.80%,309.109,24.47%,13.21%,8.22%,1.35%,-1.04%,0.00%,0.00%,4.24%,2.38%,1.84%,0.65%,0.11%,0.00%,0.00%,,0.994658,1.02722,1.05433,1.08296,1.10778,1.13012,1.138,0.584%,0.457%,0.339%,0.177%,0.041%,0.000%,0.000%
105%,100.16%,103.24%,105.81%,108.48%,110.81%,113.01%,113.80%,310.595,22.57%,12.23%,7.42%,1.05%,-1.05%,0.00%,0.00%,4.07%,2.29%,1.64%,0.66%,0.00%,0.00%,0.00%,,0.996026,1.02808,1.05491,1.08315,1.10778,1.13012,1.138,0.560%,0.432%,0.318%,0.164%,0.036%,0.000%,0.000%
105%,100.27%,103.30%,105.84%,108.48%,110.81%,113.01%,113.80%,312.081,20.79%,11.13%,6.72%,0.74%,-1.05%,0.00%,0.00%,3.86%,2.32%,1.43%,0.55%,0.00%,0.00%,0.00%,,0.997296,1.02888,1.05546,1.08333,1.10778,1.13012,1.138,0.536%,0.408%,0.297%,0.150%,0.031%,0.000%,0.000%
105%,100.36%,103.35%,105.87%,108.49%,110.80%,113.01%,113.80%,313.567,19.10%,10.13%,6.12%,0.53%,-1.06%,0.00%,0.00%,3.78%,2.00%,1.34%,0.45%,0.00%,0.00%,0.00%,,0.998475,1.02962,1.05596,1.08348,1.10777,1.13012,1.138,0.513%,0.384%,0.277%,0.138%,0.027%,0.000%,0.000%
106%,100.45%,103.39%,105.90%,108.49%,110.80%,113.01%,113.80%,315.053,17.39%,9.33%,5.51%,0.32%,-1.06%,0.00%,0.00%,3.48%,1.80%,1.24%,0.45%,0.00%,0.00%,0.00%,,0.999567,1.0303,1.05642,1.08361,1.10776,1.13012,1.138,0.490%,0.362%,0.259%,0.127%,0.023%,0.000%,0.000%
106%,100.53%,103.43%,105.93%,108.49%,110.79%,113.01%,113.80%,316.539,15.98%,8.52%,5.01%,0.11%,-1.07%,0.00%,0.00%,3.18%,1.70%,1.02%,0.45%,0.00%,0.00%,0.00%,,1.00057,1.03094,1.05684,1.08373,1.10774,1.13012,1.138,0.468%,0.340%,0.241%,0.116%,0.020%,0.000%,0.000%
107%,100.60%,103.47%,105.95%,108.49%,110.79%,113.01%,113.80%,318.025,14.55%,7.81%,4.60%,-0.11%,-1.07%,0.00%,0.00%,2.98%,1.61%,1.15%,0.34%,-0.11%,0.00%,0.00%,,1.0015,1.03153,1.05723,1.08384,1.10772,1.13012,1.138,0.447%,0.319%,0.225%,0.105%,0.017%,0.000%,0.000%
