PX%,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,PX,델타(발행시),델타(6개월),델타(12개월),델타(18개월),델타(24개월),델타(30개월),델타(만기),감마(발행시),감마(6개월),감마(12개월),감마(18개월),감마(24개월),감마(30개월),감마(만기)
19%,0.955964,0.964376,0.971861,0.979089,0.986093,0.993078,1,56.4718,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20%,0.955965,0.964376,0.971861,0.979089,0.986093,0.993078,1,57.9579,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20%,0.955967,0.964376,0.971861,0.979089,0.986093,0.993078,1,59.444,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
21%,0.955969,0.964376,0.971861,0.979089,0.986093,0.993078,1,60.9301,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
21%,0.955971,0.964376,0.971861,0.979089,0.986093,0.993078,1,62.4162,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
22%,0.955973,0.964376,0.971861,0.979089,0.986093,0.993078,1,63.9023,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
22%,0.955976,0.964376,0.971861,0.979089,0.986093,0.993078,1,65.3884,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
23%,0.95598,0.964376,0.971861,0.979089,0.986093,0.993078,1,66.8745,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
23%,0.955984,0.964376,0.971861,0.979089,0.986093,0.993078,1,68.3606,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
24%,0.955989,0.964377,0.971861,0.979089,0.986093,0.993078,1,69.8467,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
24%,0.955994,0.964377,0.971861,0.979089,0.986093,0.993078,1,71.3328,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
25%,0.956,0.964377,0.971861,0.979089,0.986093,0.993078,1,72.8189,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
25%,0.956008,0.964377,0.971861,0.979089,0.986093,0.993078,1,74.305,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
26%,0.956016,0.964378,0.971861,0.979089,0.986093,0.993078,1,75.7911,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
26%,0.956025,0.964378,0.971861,0.979089,0.986093,0.993078,1,77.2772,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
27%,0.956036,0.964378,0.971861,0.979089,0.986093,0.993078,1,78.7633,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
27%,0.956047,0.964379,0.971861,0.979089,0.986093,0.993078,1,80.2494,0.07%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
28%,0.956061,0.96438,0.971861,0.979089,0.986093,0.993078,1,81.7355,0.08%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
28%,0.956075,0.964381,0.971861,0.979089,0.986093,0.993078,1,83.2216,0.09%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
29%,0.956092,0.964382,0.971861,0.979089,0.986093,0.993078,1,84.7077,0.10%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
29%,0.95611,0.964383,0.971861,0.979089,0.986093,0.993078,1,86.1938,0.11%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
30%,0.95613,0.964385,0.971862,0.979089,0.986093,0.993078,1,87.6799,0.12%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
30%,0.956152,0.964387,0.971862,0.979089,0.986093,0.993078,1,89.166,0.14%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
31%,0.956176,0.964389,0.971862,0.979089,0.986093,0.993078,1,90.6521,0.15%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
31%,0.956202,0.964392,0.971862,0.979089,0.986093,0.993078,1,92.1382,0.17%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
32%,0.956231,0.964395,0.971862,0.979089,0.986093,0.993078,1,93.6243,0.19%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
32%,0.956262,0.964399,0.971862,0.979089,0.986093,0.993078,1,95.1104,0.21%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
33%,0.956296,0.964403,0.971863,0.979089,0.986093,0.993078,1,96.5965,0.23%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
33%,0.956333,0.964408,0.971863,0.979089,0.986093,0.993078,1,98.0826,0.25%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
34%,0.956373,0.964414,0.971864,0.979089,0.986093,0.993078,1,99.5687,0.28%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
34%,0.956416,0.96442,0.971864,0.979089,0.986093,0.993078,1,101.055,0.30%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
35%,0.956462,0.964427,0.971865,0.979089,0.986093,0.993078,1,102.541,0.33%,0.06%,0.01%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
35%,0.956511,0.964436,0.971866,0.979089,0.986093,0.993078,1,104.027,0.36%,0.06%,0.01%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
35%,0.956565,0.964445,0.971867,0.979089,0.986093,0.993078,1,105.513,0.39%,0.07%,0.01%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
36%,0.956621,0.964455,0.971868,0.979089,0.986093,0.993078,1,106.999,0.42%,0.08%,0.01%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
36%,0.956682,0.964467,0.97187,0.979089,0.986093,0.993078,1,108.485,0.46%,0.09%,0.01%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
37%,0.956747,0.96448,0.971872,0.979089,0.986093,0.993078,1,109.971,0.49%,0.10%,0.01%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
37%,0.956815,0.964495,0.971874,0.979089,0.986093,0.993078,1,111.457,0.53%,0.12%,0.01%,0.00%,0.00%,0.00%,0.00%,0.03%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
38%,0.956888,0.964512,0.971876,0.97909,0.986093,0.993078,1,112.944,0.57%,0.13%,0.02%,0.00%,0.00%,0.00%,0.00%,0.03%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
39%,0.956966,0.96453,0.971879,0.97909,0.986093,0.993078,1,114.43,0.61%,0.15%,0.02%,0.00%,0.00%,0.00%,0.00%,0.03%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
39%,0.957047,0.96455,0.971882,0.97909,0.986093,0.993078,1,115.916,0.66%,0.17%,0.03%,0.00%,0.00%,0.00%,0.00%,0.03%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
40%,0.957134,0.964573,0.971886,0.97909,0.986093,0.993078,1,117.402,0.70%,0.19%,0.04%,0.00%,0.00%,0.00%,0.00%,0.03%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
40%,0.957225,0.964597,0.971891,0.979091,0.986093,0.993078,1,118.888,0.75%,0.20%,0.04%,0.00%,0.00%,0.00%,0.00%,0.03%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%
40%,0.957321,0.964624,0.971896,0.979091,0.986093,0.993078,1,120.374,0.80%,0.23%,0.04%,0.00%,0.00%,0.00%,0.00%,0.03%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%
41%,0.957422,0.964654,0.971902,0.979092,0.986093,0.993078,1,121.86,0.85%,0.25%,0.05%,0.01%,0.00%,0.00%,0.00%,0.04%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%
41%,0.957529,0.964686,0.971909,0.979093,0.986093,0.993078,1,123.346,0.90%,0.28%,0.06%,0.00%,0.00%,0.00%,0.00%,0.03%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%
42%,0.95764,0.964722,0.971916,0.979093,0.986093,0.993078,1,124.832,0.96%,0.31%,0.07%,0.00%,0.00%,0.00%,0.00%,0.04%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%
42%,0.957757,0.96476,0.971925,0.979094,0.986093,0.993078,1,126.318,1.02%,0.34%,0.08%,0.01%,0.00%,0.00%,0.00%,0.04%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%
43%,0.95788,0.964802,0.971935,0.979096,0.986093,0.993078,1,127.805,1.07%,0.37%,0.09%,0.01%,0.00%,0.00%,0.00%,0.04%,0.03%,0.01%,0.00%,0.00%,0.00%,0.00%
44%,0.958007,0.964847,0.971946,0.979097,0.986093,0.993078,1,129.291,1.14%,0.41%,0.10%,0.01%,0.00%,0.00%,0.00%,0.04%,0.03%,0.01%,0.00%,0.00%,0.00%,0.00%
44%,0.958141,0.964896,0.971959,0.979099,0.986094,0.993078,1,130.777,1.20%,0.45%,0.12%,0.02%,0.00%,0.00%,0.00%,0.05%,0.03%,0.01%,0.00%,0.00%,0.00%,0.00%
45%,0.95828,0.964949,0.971973,0.979101,0.986094,0.993078,1,132.263,1.27%,0.49%,0.13%,0.02%,0.00%,0.00%,0.00%,0.05%,0.03%,0.01%,0.00%,0.00%,0.00%,0.00%
45%,0.958426,0.965006,0.971989,0.979104,0.986094,0.993078,1,133.749,1.34%,0.54%,0.15%,0.02%,0.00%,0.00%,0.00%,0.05%,0.04%,0.01%,0.00%,0.00%,0.00%,0.00%
45%,0.958577,0.965068,0.972006,0.979106,0.986094,0.993078,1,135.235,1.40%,0.58%,0.17%,0.03%,0.00%,0.00%,0.00%,0.05%,0.04%,0.02%,0.01%,0.00%,0.00%,0.00%
46%,0.958734,0.965134,0.972026,0.97911,0.986094,0.993078,1,136.721,1.47%,0.63%,0.19%,0.04%,0.00%,0.00%,0.00%,0.05%,0.04%,0.02%,0.00%,0.00%,0.00%,0.00%
46%,0.958897,0.965205,0.972048,0.979114,0.986094,0.993078,1,138.207,1.55%,0.68%,0.21%,0.04%,0.00%,0.00%,0.00%,0.05%,0.04%,0.02%,0.00%,0.00%,0.00%,0.00%
47%,0.959067,0.96528,0.972072,0.979118,0.986094,0.993078,1,139.693,1.62%,0.73%,0.24%,0.05%,0.00%,0.00%,0.00%,0.05%,0.05%,0.02%,0.01%,0.00%,0.00%,0.00%
47%,0.959242,0.965361,0.972099,0.979124,0.986095,0.993078,1,141.179,1.70%,0.79%,0.27%,0.06%,0.00%,0.00%,0.00%,0.06%,0.05%,0.02%,0.01%,0.00%,0.00%,0.00%
48%,0.959424,0.965447,0.972128,0.97913,0.986095,0.993078,1,142.666,1.78%,0.85%,0.30%,0.06%,0.00%,0.00%,0.00%,0.06%,0.05%,0.03%,0.01%,0.00%,0.00%,0.00%
49%,0.959613,0.965539,0.972161,0.979137,0.986095,0.993078,1,144.152,1.86%,0.92%,0.33%,0.07%,0.00%,0.00%,0.00%,0.06%,0.06%,0.03%,0.01%,0.00%,0.00%,0.00%
49%,0.959808,0.965637,0.972196,0.979145,0.986096,0.993078,1,145.638,1.94%,0.99%,0.36%,0.08%,0.00%,0.00%,0.00%,0.06%,0.06%,0.03%,0.01%,0.00%,0.00%,0.00%
50%,0.960009,0.965741,0.972235,0.979154,0.986096,0.993078,1,147.124,2.02%,1.06%,0.41%,0.10%,0.00%,0.00%,0.00%,0.06%,0.06%,0.04%,0.01%,0.00%,0.00%,0.00%
50%,0.960216,0.965851,0.972278,0.979165,0.986097,0.993078,1,148.61,2.11%,1.13%,0.45%,0.12%,0.01%,0.00%,0.00%,0.07%,0.07%,0.04%,0.02%,0.00%,0.00%,0.00%
50%,0.960431,0.965967,0.972324,0.979177,0.986098,0.993078,1,150.096,2.20%,1.21%,0.49%,0.13%,0.01%,0.00%,0.00%,0.07%,0.07%,0.04%,0.02%,0.00%,0.00%,0.00%
51%,0.960651,0.966091,0.972375,0.979191,0.986099,0.993078,1,151.582,2.28%,1.30%,0.54%,0.15%,0.02%,0.00%,0.00%,0.07%,0.07%,0.05%,0.02%,0.00%,0.00%,0.00%
51%,0.960879,0.966221,0.97243,0.979206,0.986101,0.993078,1,153.068,2.38%,1.38%,0.59%,0.16%,0.02%,0.00%,0.00%,0.07%,0.07%,0.05%,0.02%,0.00%,0.00%,0.00%
52%,0.961113,0.966358,0.97249,0.979223,0.986102,0.993078,1,154.554,2.46%,1.46%,0.64%,0.19%,0.02%,0.00%,0.00%,0.07%,0.08%,0.05%,0.03%,0.01%,0.00%,0.00%
52%,0.961353,0.966502,0.972554,0.979243,0.986104,0.993078,1,156.04,2.56%,1.55%,0.70%,0.22%,0.03%,0.00%,0.00%,0.08%,0.09%,0.06%,0.02%,0.01%,0.00%,0.00%
53%,0.961601,0.966654,0.972624,0.979265,0.986107,0.993078,1,157.527,2.66%,1.65%,0.77%,0.24%,0.03%,0.00%,0.00%,0.07%,0.09%,0.06%,0.03%,0.00%,0.00%,0.00%
54%,0.961855,0.966814,0.972699,0.979289,0.98611,0.993078,1,159.013,2.75%,1.75%,0.83%,0.27%,0.03%,0.00%,0.00%,0.07%,0.09%,0.06%,0.03%,0.00%,0.00%,0.00%
54%,0.962115,0.966981,0.97278,0.979316,0.986113,0.993078,1,160.499,2.85%,1.85%,0.90%,0.31%,0.04%,0.00%,0.00%,0.08%,0.10%,0.07%,0.04%,0.01%,0.00%,0.00%
55%,0.962382,0.967157,0.972866,0.979346,0.986117,0.993078,1,161.985,2.95%,1.96%,0.98%,0.35%,0.05%,0.00%,0.00%,0.08%,0.10%,0.08%,0.04%,0.01%,0.00%,0.00%
55%,0.962656,0.967341,0.97296,0.97938,0.986122,0.993078,1,163.471,3.05%,2.07%,1.06%,0.39%,0.06%,0.00%,0.00%,0.08%,0.10%,0.08%,0.04%,0.01%,0.00%,0.00%
55%,0.962937,0.967533,0.973059,0.979417,0.986127,0.993078,1,164.957,3.15%,2.18%,1.14%,0.43%,0.07%,0.00%,0.00%,0.08%,0.10%,0.09%,0.05%,0.01%,0.00%,0.00%
56%,0.963224,0.967733,0.973166,0.979458,0.986134,0.993078,1,166.443,3.25%,2.30%,1.24%,0.49%,0.08%,0.00%,0.00%,0.08%,0.11%,0.09%,0.05%,0.01%,0.00%,0.00%
56%,0.963518,0.967943,0.97328,0.979504,0.986141,0.993078,1,167.929,3.36%,2.42%,1.33%,0.54%,0.09%,0.00%,0.00%,0.08%,0.11%,0.10%,0.05%,0.02%,0.00%,0.00%
57%,0.963818,0.968161,0.973401,0.979553,0.98615,0.993078,1,169.415,3.46%,2.54%,1.43%,0.59%,0.11%,0.00%,0.00%,0.09%,0.11%,0.10%,0.06%,0.02%,0.00%,0.00%
57%,0.964125,0.968388,0.973531,0.979608,0.98616,0.993078,1,170.901,3.57%,2.66%,1.53%,0.66%,0.12%,0.00%,0.00%,0.09%,0.12%,0.11%,0.07%,0.02%,0.00%,0.00%
58%,0.964439,0.968624,0.973668,0.979668,0.986171,0.993078,1,172.388,3.68%,2.79%,1.64%,0.73%,0.14%,0.00%,0.00%,0.08%,0.13%,0.11%,0.07%,0.02%,0.00%,0.00%
59%,0.964759,0.96887,0.973814,0.979734,0.986184,0.993078,1,173.874,3.78%,2.93%,1.76%,0.80%,0.16%,0.00%,0.00%,0.09%,0.13%,0.12%,0.08%,0.03%,0.00%,0.00%
59%,0.965085,0.969125,0.973968,0.979805,0.986199,0.993078,1,175.36,3.89%,3.06%,1.88%,0.88%,0.19%,0.01%,0.00%,0.09%,0.13%,0.13%,0.09%,0.03%,0.00%,0.00%
60%,0.965418,0.969389,0.974132,0.979883,0.986217,0.993079,1,176.846,4.00%,3.20%,2.00%,0.97%,0.22%,0.01%,0.00%,0.09%,0.13%,0.13%,0.10%,0.03%,0.00%,0.00%
60%,0.965758,0.969663,0.974304,0.979968,0.986236,0.993079,1,178.332,4.11%,3.34%,2.13%,1.06%,0.25%,0.00%,0.00%,0.09%,0.14%,0.14%,0.10%,0.04%,0.00%,0.00%
