PX%,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,PX,델타(발행시),델타(6개월),델타(12개월),델타(18개월),델타(24개월),델타(30개월),델타(만기),감마(발행시),감마(6개월),감마(12개월),감마(18개월),감마(24개월),감마(30개월),감마(만기)
120%,1.0149,1.03833,1.06169,1.08473,1.10781,1.13012,1.138,358.15,-1.08%,-0.72%,-1.21%,-0.96%,-1.21%,0.00%,0.00%,0.00%,0.15%,0.15%,0.15%,0.15%,0.00%,0.00%
121%,1.01485,1.0383,1.06164,1.08469,1.10776,1.13012,1.138,359.636,-1.09%,-0.73%,-1.09%,-0.97%,-1.21%,0.00%,0.00%,0.15%,0.00%,0.29%,0.00%,0.00%,0.00%,0.00%
121%,1.01481,1.03827,1.0616,1.08465,1.10771,1.13012,1.138,361.122,-0.97%,-0.73%,-0.97%,-0.97%,-1.22%,0.00%,0.00%,0.15%,0.15%,0.15%,0.15%,0.15%,0.00%,0.00%
122%,1.01477,1.03824,1.06156,1.08461,1.10766,1.13012,1.138,362.608,-0.98%,-0.61%,-0.98%,-0.85%,-1.10%,0.00%,0.00%,0.00%,0.15%,0.15%,0.30%,0.30%,0.00%,0.00%
123%,1.01473,1.03822,1.06152,1.08458,1.10762,1.13012,1.138,364.095,-0.98%,-0.61%,-0.86%,-0.73%,-0.98%,0.00%,0.00%,0.15%,0.00%,0.30%,0.15%,0.30%,0.00%,0.00%
123%,1.01469,1.03819,1.06149,1.08455,1.10758,1.13012,1.138,365.581,-0.86%,-0.62%,-0.74%,-0.74%,-0.86%,0.00%,0.00%,0.30%,0.15%,0.15%,0.15%,0.30%,0.00%,0.00%
124%,1.01466,1.03817,1.06146,1.08452,1.10755,1.13012,1.138,367.067,-0.74%,-0.49%,-0.74%,-0.62%,-0.74%,0.00%,0.00%,0.00%,0.31%,0.00%,0.15%,0.00%,0.00%,0.00%
124%,1.01463,1.03815,1.06143,1.0845,1.10752,1.13012,1.138,368.553,-0.87%,-0.37%,-0.74%,-0.62%,-0.87%,0.00%,0.00%,0.00%,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%
125%,1.01459,1.03814,1.0614,1.08447,1.10748,1.13012,1.138,370.039,-0.75%,-0.37%,-0.75%,-0.62%,-0.75%,0.00%,0.00%,0.31%,-0.16%,0.16%,0.16%,0.31%,0.00%,0.00%
125%,1.01457,1.03812,1.06137,1.08445,1.10746,1.13012,1.138,371.525,-0.63%,-0.50%,-0.63%,-0.50%,-0.63%,0.00%,0.00%,0.00%,0.00%,0.31%,0.16%,0.16%,0.00%,0.00%
125%,1.01454,1.0381,1.06135,1.08443,1.10743,1.13012,1.138,373.011,-0.75%,-0.38%,-0.50%,-0.50%,-0.63%,0.00%,0.00%,0.00%,0.32%,0.16%,0.16%,0.00%,0.00%,0.00%
126%,1.01451,1.03809,1.06133,1.08441,1.10741,1.13012,1.138,374.497,-0.63%,-0.25%,-0.50%,-0.38%,-0.63%,0.00%,0.00%,0.32%,0.16%,0.00%,0.16%,0.00%,0.00%,0.00%
126%,1.01449,1.03808,1.06131,1.0844,1.10738,1.13012,1.138,375.983,-0.51%,-0.25%,-0.51%,-0.38%,-0.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%
127%,1.01447,1.03807,1.06129,1.08438,1.10736,1.13012,1.138,377.469,-0.63%,-0.25%,-0.51%,-0.38%,-0.51%,0.00%,0.00%,-0.16%,0.00%,0.16%,0.00%,0.32%,0.00%,0.00%
128%,1.01444,1.03806,1.06127,1.08437,1.10734,1.13012,1.138,378.956,-0.64%,-0.25%,-0.38%,-0.38%,-0.38%,0.00%,0.00%,0.16%,0.00%,0.32%,0.00%,0.16%,0.00%,0.00%
128%,1.01442,1.03805,1.06126,1.08435,1.10733,1.13012,1.138,380.442,-0.51%,-0.26%,-0.26%,-0.38%,-0.38%,0.00%,0.00%,0.33%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%
129%,1.0144,1.03804,1.06125,1.08434,1.10731,1.13012,1.138,381.928,-0.39%,-0.26%,-0.39%,-0.26%,-0.39%,0.00%,0.00%,0.17%,0.00%,-0.17%,0.17%,0.00%,0.00%,0.00%
129%,1.01439,1.03803,1.06123,1.08433,1.1073,1.13012,1.138,383.414,-0.39%,-0.26%,-0.39%,-0.26%,-0.39%,0.00%,0.00%,-0.17%,0.00%,0.17%,0.00%,0.00%,0.00%,0.00%
130%,1.01437,1.03802,1.06122,1.08432,1.10728,1.13012,1.138,384.9,-0.52%,-0.26%,-0.26%,-0.26%,-0.39%,0.00%,0.00%,0.00%,0.17%,0.17%,0.17%,0.17%,0.00%,0.00%
130%,1.01435,1.03801,1.06121,1.08431,1.10727,1.13012,1.138,386.386,-0.39%,-0.13%,-0.26%,-0.13%,-0.26%,0.00%,0.00%,0.17%,0.17%,0.00%,0.17%,0.17%,0.00%,0.00%
130%,1.01434,1.03801,1.0612,1.08431,1.10726,1.13012,1.138,387.872,-0.39%,-0.13%,-0.26%,-0.13%,-0.26%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.17%,0.00%,0.00%,0.00%
131%,1.01432,1.038,1.06119,1.0843,1.10725,1.13012,1.138,389.358,-0.39%,-0.13%,-0.26%,-0.26%,-0.26%,0.00%,0.00%,0.00%,0.00%,0.17%,0.00%,0.00%,0.00%,0.00%
131%,1.01431,1.038,1.06118,1.08429,1.10724,1.13012,1.138,390.844,-0.39%,-0.13%,-0.13%,-0.13%,-0.26%,0.00%,0.00%,0.00%,0.00%,0.17%,0.17%,0.17%,0.00%,0.00%
132%,1.01429,1.03799,1.06118,1.08429,1.10723,1.13012,1.138,392.33,-0.40%,-0.13%,-0.13%,-0.13%,-0.13%,0.00%,0.00%,0.17%,0.00%,-0.17%,0.00%,0.17%,0.00%,0.00%
133%,1.01428,1.03799,1.06117,1.08428,1.10723,1.13012,1.138,393.817,-0.26%,-0.13%,-0.26%,-0.13%,-0.13%,0.00%,0.00%,0.18%,0.00%,0.00%,0.18%,-0.18%,0.00%,0.00%
133%,1.01427,1.03798,1.06116,1.08428,1.10722,1.13012,1.138,395.303,-0.27%,-0.13%,-0.13%,0.00%,-0.27%,0.00%,0.00%,0.00%,0.18%,0.18%,0.00%,0.00%,0.00%,0.00%
134%,1.01426,1.03798,1.06116,1.08428,1.10721,1.13012,1.138,396.789,-0.27%,0.00%,-0.13%,-0.13%,-0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.18%,0.18%,0.00%,0.00%
134%,1.01425,1.03798,1.06115,1.08427,1.10721,1.13012,1.138,398.275,-0.27%,-0.13%,-0.13%,-0.13%,-0.13%,0.00%,0.00%,0.00%,-0.18%,0.00%,0.18%,0.00%,0.00%,0.00%
135%,1.01424,1.03797,1.06115,1.08427,1.1072,1.13012,1.138,399.761,-0.27%,-0.13%,-0.13%,0.00%,-0.13%,0.00%,0.00%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%
135%,1.01423,1.03797,1.06114,1.08427,1.1072,1.13012,1.138,401.247,-0.27%,0.00%,-0.14%,-0.14%,-0.14%,0.00%,0.00%,0.00%,0.18%,0.18%,-0.18%,0.00%,0.00%,0.00%
135%,1.01422,1.03797,1.06114,1.08426,1.10719,1.13012,1.138,402.733,-0.27%,0.00%,0.00%,-0.14%,-0.14%,0.00%,0.00%,0.00%,-0.18%,0.18%,0.18%,0.18%,0.00%,0.00%
136%,1.01421,1.03797,1.06114,1.08426,1.10719,1.13012,1.138,404.219,-0.27%,-0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.18%,-0.18%,-0.18%,0.18%,0.00%,0.00%,0.00%
136%,1.0142,1.03796,1.06114,1.08426,1.10719,1.13012,1.138,405.705,-0.14%,-0.14%,-0.14%,0.00%,-0.14%,0.00%,0.00%,0.19%,0.19%,-0.19%,0.00%,-0.19%,0.00%,0.00%
137%,1.0142,1.03796,1.06113,1.08426,1.10718,1.13012,1.138,407.191,-0.14%,0.00%,-0.14%,0.00%,-0.14%,0.00%,0.00%,-0.19%,0.19%,0.19%,-0.19%,0.19%,0.00%,0.00%
138%,1.01419,1.03796,1.06113,1.08426,1.10718,1.13012,1.138,408.678,-0.27%,0.00%,0.00%,-0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.19%,-0.19%,0.19%,0.00%,0.00%
138%,1.01418,1.03796,1.06113,1.08425,1.10718,1.13012,1.138,410.164,-0.14%,0.00%,0.00%,-0.14%,0.00%,0.00%,0.00%,0.19%,0.00%,-0.19%,0.19%,-0.19%,0.00%,0.00%
139%,1.01418,1.03796,1.06113,1.08425,1.10718,1.13012,1.138,411.65,-0.14%,0.00%,-0.14%,0.00%,-0.14%,0.00%,0.00%,0.00%,0.00%,-0.19%,0.19%,-0.19%,0.00%,0.00%
139%,1.01417,1.03796,1.06112,1.08425,1.10717,1.13012,1.138,413.136,-0.14%,0.00%,-0.14%,0.00%,-0.14%,0.00%,0.00%,0.00%,-0.19%,0.19%,0.00%,0.19%,0.00%,0.00%
140%,1.01417,1.03796,1.06112,1.08425,1.10717,1.13012,1.138,414.622,-0.14%,-0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.19%,-0.19%,0.19%,0.00%,0.19%,0.00%,0.00%
140%,1.01416,1.03795,1.06112,1.08425,1.10717,1.13012,1.138,416.108,-0.28%,-0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%
140%,1.01415,1.03795,1.06112,1.08425,1.10717,1.13012,1.138,417.594,-0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%
141%,1.01415,1.03795,1.06112,1.08425,1.10717,1.13012,1.138,419.08,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
141%,1.01415,1.03795,1.06112,1.08425,1.10717,1.13012,1.138,420.566,-0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.20%,0.00%,0.00%,0.00%,-0.20%,0.00%,0.00%
142%,1.01414,1.03795,1.06112,1.08425,1.10717,1.13012,1.138,422.052,-0.14%,0.00%,0.00%,0.00%,-0.14%,0.00%,0.00%,0.00%,0.00%,-0.20%,0.00%,-0.20%,0.00%,0.00%
143%,1.01414,1.03795,1.06112,1.08425,1.10716,1.13012,1.138,423.539,-0.14%,0.00%,-0.14%,0.00%,-0.14%,0.00%,0.00%,0.00%,0.00%,-0.20%,0.00%,0.20%,0.00%,0.00%
143%,1.01413,1.03795,1.06111,1.08425,1.10716,1.13012,1.138,425.025,-0.14%,0.00%,-0.14%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.20%,0.00%,0.20%,0.00%,0.00%
144%,1.01413,1.03795,1.06111,1.08425,1.10716,1.13012,1.138,426.511,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%
144%,1.01413,1.03795,1.06111,1.08425,1.10716,1.13012,1.138,427.997,-0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.21%,0.00%,0.00%,-0.21%,0.00%,0.00%,0.00%
145%,1.01412,1.03795,1.06111,1.08425,1.10716,1.13012,1.138,429.483,-0.14%,0.00%,0.00%,-0.14%,0.00%,0.00%,0.00%,0.21%,0.00%,0.00%,-0.21%,0.00%,0.00%,0.00%
145%,1.01412,1.03795,1.06111,1.08424,1.10716,1.13012,1.138,430.969,0.00%,0.00%,0.00%,-0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,0.00%,0.00%
145%,1.01412,1.03795,1.06111,1.08424,1.10716,1.13012,1.138,432.455,-0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.21%,0.00%,0.00%,0.21%,0.00%,0.00%,0.00%
146%,1.01411,1.03795,1.06111,1.08424,1.10716,1.13012,1.138,433.941,-0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
146%,1.01411,1.03795,1.06111,1.08424,1.10716,1.13012,1.138,435.427,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
147%,1.01411,1.03795,1.06111,1.08424,1.10716,1.13012,1.138,436.913,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
148%,1.01411,1.03795,1.06111,1.08424,1.10716,1.13012,1.138,438.4,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
148%,1.01411,1.03795,1.06111,1.08424,1.10716,1.13012,1.138,439.886,-0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
149%,1.0141,1.03795,1.06111,1.08424,1.10716,1.13012,1.138,441.372,-0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
149%,1.0141,1.03795,1.06111,1.08424,1.10716,1.13012,1.138,442.858,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
150%,1.0141,1.03795,1.06111,1.08424,1.10716,1.13012,1.138,444.344,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.22%,0.00%,0.00%,0.00%,0.00%,0.00%
150%,1.0141,1.03795,1.06111,1.08424,1.10716,1.13012,1.138,445.83,0.00%,-0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.23%,0.00%,0.00%,0.00%,0.00%,0.00%
150%,1.0141,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,447.316,0.00%,-0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.23%,0.23%,0.00%,0.00%,0.00%,0.00%,0.00%
151%,1.0141,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,448.802,-0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.23%,0.23%,0.00%,0.00%,0.00%,0.00%,0.00%
151%,1.01409,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,450.288,-0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
152%,1.01409,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,451.774,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
153%,1.01409,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,453.261,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
153%,1.01409,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,454.747,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
154%,1.01409,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,456.233,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
154%,1.01409,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,457.719,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
155%,1.01409,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,459.205,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
155%,1.01409,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,460.691,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
155%,1.01409,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,462.177,-0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
156%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,463.663,-0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
156%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,465.149,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
157%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,466.635,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
158%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,468.122,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
158%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,469.608,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
159%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,471.094,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
159%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,472.58,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
160%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,474.066,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
160%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,475.552,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
160%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,477.038,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
161%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,478.524,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
161%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,480.01,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
162%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,481.496,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
163%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,482.983,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
163%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,484.469,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
164%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,485.955,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
164%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,487.441,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
165%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,488.927,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
165%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,490.413,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
165%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,491.899,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
166%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,493.385,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
166%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,494.871,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
167%,1.01408,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,496.357,-0.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
168%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,497.844,-0.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
168%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,499.33,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
169%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,500.816,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
169%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,502.302,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
170%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,503.788,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
170%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,505.274,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
170%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,506.76,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
171%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,508.246,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
171%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,509.732,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
172%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,511.218,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
173%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,512.705,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
173%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,514.191,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
174%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,515.677,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
174%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,517.163,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
175%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,518.649,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
175%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,520.135,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
175%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,521.621,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
176%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,523.107,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
176%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,524.593,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
177%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,526.079,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
178%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,527.566,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
178%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,529.052,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
179%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,530.538,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
179%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,532.024,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
180%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,533.51,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
180%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,534.996,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
180%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,536.482,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
181%,1.01407,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,537.968,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
