PX, uold4
383.644,1.08807
385.114,1.08807
386.584,1.08807
388.054,1.08807
389.523,1.08807
390.993,1.08807
392.463,1.08807
393.933,1.08807
395.403,1.08807
396.873,1.08807
398.343,1.08807
399.813,1.08807
401.283,1.08807
402.753,1.08807
404.222,1.08807
405.692,1.08807
407.162,1.08807
408.632,1.08807
410.102,1.08807
411.572,1.08807
413.042,1.08807
414.512,1.08807
415.982,1.08807
417.452,1.08807
418.921,1.08807
420.391,1.08807
421.861,1.08807
423.331,1.08807
424.801,1.08807
426.271,1.08807
427.741,1.08807
429.211,1.08807
430.681,1.08807
432.151,1.08807
433.62,1.08807
435.09,1.08807
436.56,1.08807
438.03,1.08807
439.5,1.08807
440.97,1.08807
442.44,1.08807
443.91,1.08807
445.38,1.08807
446.85,1.08807
448.319,1.08807
449.789,1.08807
451.259,1.08807
452.729,1.08807
454.199,1.08807
455.669,1.08807
457.139,1.08807
458.609,1.08807
460.079,1.08807
461.549,1.08807
463.018,1.08807
464.488,1.08807
465.958,1.08807
467.428,1.08807
468.898,1.08807
470.368,1.08807
471.838,1.08807
473.308,1.08807
474.778,1.08807
476.248,1.08807
477.717,1.08807
479.187,1.08807
480.657,1.08807
482.127,1.08807
483.597,1.08807
485.067,1.08807
486.537,1.08807
488.007,1.08807
489.477,1.08807
490.947,1.08807
492.416,1.08807
493.886,1.08807
495.356,1.08807
496.826,1.08807
498.296,1.08807
499.766,1.08807
501.236,1.08807
502.706,1.08807
504.176,1.08807
505.646,1.08807
507.115,1.08807
508.585,1.08807
510.055,1.08807
511.525,1.08807
512.995,1.08807
514.465,1.08807
515.935,1.08807
517.405,1.08807
518.875,1.08807
520.345,1.08807
521.814,1.08807
523.284,1.08807
524.754,1.08807
526.224,1.08807
527.694,1.08807
529.164,1.08807
530.634,1.08807
532.104,1.08807
533.574,1.08807
535.044,1.08807
536.513,1.08807
537.983,1.08807
539.453,1.08807
540.923,1.08807
542.393,1.08807
543.863,1.08807
545.333,1.08807
546.803,1.08807
548.273,1.08807
549.743,1.08807
551.213,1.08807
552.682,1.08807
554.152,1.08807
555.622,1.08807
557.092,1.08807
558.562,1.08807
560.032,1.08807
561.502,1.08807
562.972,1.08807
564.442,1.08807
565.912,1.08807
567.381,1.08807
568.851,1.08807
570.321,1.08807
571.791,1.08807
573.261,1.08807
574.731,1.08807
576.201,1.08807
577.671,1.08807
579.141,1.08807
580.611,1.08807
582.08,1.08807
583.55,1.08807
585.02,1.08807
586.49,1.08807
587.96,1.08807
