tau,s_tmp,cash,delta,pv,r,q,PL,cash,asset,debt,PL,,,,,
624,140.797,-0.0139585,0.00328811,0.460989,0.0143647,-0.000757643,-1.1992%,-0.0139590,0.462956024,-0.460989,-1.1992%,,,,,
625,143.846,-0.014617,0.00329267,0.471016,0.0143603,-0.000841725,-1.1996%,-0.0146161,0.473637409,-0.471016,-1.1995%,,,,,
626,142.937,-0.0142334,0.00328998,0.468021,0.0143559,-0.000925807,-1.1995%,-0.0142343,0.470259871,-0.468021,-1.1995%,,,,,
627,145.63,-0.0149672,0.003295,0.476884,0.0143515,-0.00100989,-1.2000%,-0.0149663,0.47985085,-0.476884,-1.1999%,,,,,
628,146.708,-0.0153817,0.00329781,0.480434,0.0143471,-0.00109397,-1.2000%,-0.0153815,0.483815109,-0.480434,-1.2000%,,,,,
629,146.073,-0.014905,0.00329453,0.478336,0.0143427,-0.00117805,-1.1999%,-0.0149047,0.481241881,-0.478336,-1.1999%,,,,,
630,147.222,-0.0153143,0.0032973,0.482119,0.0143384,-0.00126213,-1.1998%,-0.0153151,0.485435101,-0.482119,-1.1999%,,,,,
631,147.104,-0.0152793,0.00329707,0.481728,0.014334,0.00107018,-1.1996%,-0.0152796,0.485012185,-0.481728,-1.1995%,,,,,
632,146.922,-0.0152446,0.00329684,0.481127,0.0143296,0.000993745,-1.1994%,-0.0152448,0.484378326,-0.481127,-1.1993%,,,,,
633,146.624,-0.0152101,0.00329661,0.480144,0.0143252,0.00091731,-1.1993%,-0.0152103,0.483362145,-0.480144,-1.1992%,,,,,
634,145.447,-0.0147535,0.00329347,0.476265,0.0143208,0.000840875,-1.1993%,-0.0147529,0.479025331,-0.476265,-1.1993%,,,,,
635,142.463,-0.0140281,0.00328838,0.466445,0.0143164,0.00076444,-1.2001%,-0.0140280,0.46847248,-0.466445,-1.2000%,,,,,
636,143.386,-0.0140041,0.00328822,0.46948,0.0143121,0.000688005,-1.2000%,-0.0140048,0.471484713,-0.46948,-1.2000%,,,,,
637,143.774,-0.0143054,0.00329031,0.470755,0.0143077,0.00061157,-1.1999%,-0.0143043,0.47306103,-0.470755,-1.1998%,,,,,
638,140.087,-0.0134397,0.00328413,0.458634,0.0143033,0.000535135,-1.2010%,-0.0134395,0.460063919,-0.458634,-1.2010%,,,,,
639,141.577,-0.0136703,0.00328576,0.463529,0.0142989,0.0004587,-1.2011%,-0.0136704,0.465188044,-0.463529,-1.2011%,,,,,
640,141.814,-0.0136517,0.00328563,0.464307,0.0142945,0.000382265,-1.2010%,-0.0136519,0.465948333,-0.464307,-1.2011%,,,,,
641,142.68,-0.01391,0.00328744,0.467152,0.0142901,0.00030583,-1.2010%,-0.0139101,0.469051939,-0.467152,-1.2010%,,,,,
642,144.353,-0.0142022,0.00328946,0.472652,0.0142858,0.000229395,-1.2011%,-0.0142018,0.474843419,-0.472652,-1.2010%,,,,,
643,143.544,-0.0141788,0.0032893,0.46999,0.0142814,0.00015296,-1.2010%,-0.0141796,0.472159279,-0.46999,-1.2010%,,,,,
644,142.762,-0.0138509,0.003287,0.467417,0.014277,7.65E-05,-1.2010%,-0.0138509,0.469258694,-0.467417,-1.2009%,,,,,
645,141.673,-0.0135647,0.00328497,0.463837,0.0142726,8.98E-08,-1.2010%,-0.0135638,0.465391555,-0.463837,-1.2009%,,,,,
646,144.881,-0.0141201,0.0032888,0.474382,0.0142682,-7.63E-05,-1.2017%,-0.0141202,0.476484633,-0.474382,-1.2018%,,,,,
647,146.124,-0.0144392,0.00329098,0.478471,0.0142638,-0.00015278,-1.2019%,-0.0144394,0.480891162,-0.478471,-1.2019%,,,,,
648,147.088,-0.0147966,0.00329341,0.481642,0.0142595,-0.000229215,-1.2018%,-0.0147975,0.48442109,-0.481642,-1.2018%,,,,,
649,147.306,-0.0147676,0.0032932,0.482357,0.0142551,-0.00030565,-1.2017%,-0.0147666,0.485108119,-0.482357,-1.2016%,,,,,
650,149.294,-0.015167,0.00329587,0.488906,0.0142507,-0.000382085,-1.2019%,-0.0151673,0.492053616,-0.488906,-1.2020%,,,,,
651,152.47,-0.0167537,0.00330627,0.499385,0.0142463,-0.00045852,-1.2032%,-0.0167539,0.504106987,-0.499385,-1.2032%,,,,,
652,154.035,-0.0173706,0.00331026,0.504556,0.0142419,-0.000534955,-1.2030%,-0.0173697,0.509895899,-0.504556,-1.2030%,,,,,
653,152.768,-0.0166706,0.00330567,0.500361,0.0142375,-0.00061139,-1.2031%,-0.0166709,0.505000595,-0.500361,-1.2031%,,,,,
654,150.127,-0.0155328,0.00329808,0.491638,0.0142332,-0.000687825,-1.2040%,-0.0155327,0.495130856,-0.491638,-1.2040%,,,,,
655,150.855,-0.0160152,0.00330127,0.494036,0.0142288,-0.00076426,-1.2039%,-0.0160157,0.498013086,-0.494036,-1.2039%,,,,,
656,152.148,-0.0159759,0.003301,0.4983,0.0142244,-0.000840695,-1.2036%,-0.0159759,0.502240548,-0.4983,-1.2035%,,,,,
657,151.331,-0.0159369,0.00330073,0.495598,0.01422,-0.00091713,-1.2033%,-0.0159369,0.499502772,-0.495598,-1.2032%,,,,,
658,151.798,-0.015898,0.00330046,0.497135,0.0142156,-0.000993565,-1.2030%,-0.0158979,0.501003227,-0.497135,-1.2030%,,,,,
659,151.151,-0.0158595,0.00330019,0.494996,0.0142112,-0.00107,-1.2028%,-0.0158593,0.498827019,-0.494996,-1.2028%,,,,,
660,150.341,-0.0153237,0.00329661,0.49232,0.0142068,-0.00114644,-1.2027%,-0.0153235,0.495615644,-0.49232,-1.2028%,,,,,
661,149.161,-0.0148542,0.00329378,0.488475,0.0142025,0.0348326,-1.2027%,-0.0148552,0.491303519,-0.488475,-1.2027%,,,,,
662,147.453,-0.0144418,0.00329129,0.482895,0.0141981,0.0348651,-1.2026%,-0.0144412,0.485310584,-0.482895,-1.2026%,,,,,
663,147.275,-0.0144185,0.00329144,0.482353,0.0141937,0.0348976,-1.2024%,-0.0144181,0.484746826,-0.482353,-1.2024%,,,,,
664,146.317,-0.0140589,0.0032893,0.479245,0.0141893,0.0349301,-1.2024%,-0.0140599,0.481280508,-0.479245,-1.2024%,,,,,
665,145.432,-0.0140385,0.00328947,0.476377,0.0141849,0.0349626,-1.2022%,-0.0140383,0.478394201,-0.476377,-1.2021%,,,,,
666,140.467,-0.0132684,0.0032843,0.460105,0.0141805,0.0349951,-1.2038%,-0.0132685,0.461335768,-0.460105,-1.2038%,,,,,
667,141.755,-0.0132547,0.00328451,0.464379,0.0141762,0.0350276,-1.2038%,-0.0132540,0.465595715,-0.464379,-1.2037%,,,,,
668,143.168,-0.0134608,0.00328626,0.469066,0.0141718,0.0350601,-1.2039%,-0.0134606,0.470487272,-0.469066,-1.2039%,,,,,
669,144.297,-0.0136951,0.0032882,0.472821,0.0141674,0.0350926,-1.2039%,-0.0136957,0.474477395,-0.472821,-1.2039%,,,,,
670,146.237,-0.0139624,0.00329034,0.479248,0.014163,0.0351251,-1.2041%,-0.0139623,0.481169451,-0.479248,-1.2041%,,,,,
671,144.093,-0.0136642,0.00328858,0.472239,0.0141586,0.0351576,-1.2041%,-0.0136637,0.473861358,-0.472239,-1.2041%,,,,,
672,143.551,-0.013647,0.00328878,0.470501,0.0141542,0.0351901,-1.2041%,-0.0136479,0.472107658,-0.470501,-1.2041%,,,,,
673,142.288,-0.0133914,0.00328729,0.466393,0.0141499,0.0352225,-1.2042%,-0.0133904,0.46774192,-0.466393,-1.2041%,,,,,
674,139.313,-0.0129961,0.00328477,0.456662,0.0141455,0.035255,-1.2047%,-0.0129966,0.457611163,-0.456662,-1.2047%,,,,,
675,139.008,-0.012985,0.003285,0.455704,0.0141411,0.0352875,-1.2047%,-0.0129844,0.45664128,-0.455704,-1.2047%,,,,,
676,140.53,-0.0131497,0.00328649,0.460747,0.0141367,0.03532,-1.2046%,-0.0131502,0.46185044,-0.460747,-1.2047%,,,,,
677,139.566,-0.012964,0.00328548,0.457623,0.0141323,0.0353525,-1.2047%,-0.0129648,0.458541302,-0.457623,-1.2047%,,,,,
678,138.296,-0.0128056,0.00328464,0.453495,0.0141279,0.035385,-1.2047%,-0.0128043,0.454252573,-0.453495,-1.2047%,,,,,
679,138.355,-0.0127963,0.00328489,0.453732,0.0141236,0.0354175,-1.2047%,-0.0127966,0.454480956,-0.453732,-1.2048%,,,,,
680,137.33,-0.0126628,0.00328424,0.450409,0.0141192,0.03545,-1.2047%,-0.0126637,0.451024679,-0.450409,-1.2048%,,,,,
681,138.594,-0.0127791,0.00328539,0.454604,0.0141148,0.0354825,-1.2048%,-0.0127784,0.455335342,-0.454604,-1.2047%,,,,,
682,137.016,-0.0126485,0.00328475,0.449463,0.0141104,0.035515,-1.2048%,-0.0126481,0.450063306,-0.449463,-1.2048%,,,,,
683,135.945,-0.0125383,0.00328426,0.445989,0.014106,0.0355475,-1.2048%,-0.0125389,0.446478726,-0.445989,-1.2049%,,,,,
684,135.759,-0.0125318,0.00328453,0.445421,0.0141016,0.03558,-1.2048%,-0.0125320,0.445904508,-0.445421,-1.2048%,,,,,
685,138.838,-0.0127472,0.0032864,0.455581,0.0140973,0.0356125,-1.2051%,-0.0127474,0.456277203,-0.455581,-1.2051%,,,,,
686,137.019,-0.0126219,0.0032858,0.449647,0.0140929,0.035645,-1.2052%,-0.0126215,0.45021703,-0.449647,-1.2051%,,,,,
687,137.972,-0.0127306,0.0032869,0.452822,0.0140885,0.0356775,-1.2052%,-0.0127298,0.453500167,-0.452822,-1.2052%,,,,,
688,137.649,-0.0127219,0.00328716,0.451804,0.0140841,0.03571,-1.2052%,-0.0127226,0.452474287,-0.451804,-1.2052%,,,,,
689,137.909,-0.0127133,0.00328742,0.452702,0.0140797,0.0357425,-1.2052%,-0.0127139,0.453364805,-0.452702,-1.2051%,,,,,
690,136.61,-0.0125925,0.00328654,0.448434,0.0140753,0.00102348,-1.2052%,-0.0125923,0.448974229,-0.448434,-1.2052%,,,,,
691,134.723,-0.0124917,0.00328579,0.442234,0.014071,0.000955243,-1.2053%,-0.0124908,0.442671486,-0.442234,-1.2053%,,,,,
692,137.218,-0.0125783,0.00328643,0.450433,0.0140666,0.000887008,-1.2054%,-0.0125789,0.450957352,-0.450433,-1.2055%,,,,,
693,136.189,-0.0125704,0.00328638,0.447052,0.0140622,0.000818774,-1.2054%,-0.0125710,0.447568806,-0.447052,-1.2054%,,,,,
694,135.38,-0.0124729,0.00328566,0.444394,0.0140578,0.000750539,-1.2054%,-0.0124725,0.444812651,-0.444394,-1.2054%,,,,,
695,135.977,-0.0124663,0.00328561,0.446356,0.0140534,0.000682304,-1.2055%,-0.0124657,0.446767391,-0.446356,-1.2054%,,,,,
696,133.837,-0.0123865,0.00328502,0.439325,0.014049,0.000614069,-1.2055%,-0.0123871,0.439657222,-0.439325,-1.2055%,,,,,
697,133.129,-0.0123812,0.00328498,0.437,0.0140447,0.000545834,-1.2055%,-0.0123810,0.437326102,-0.437,-1.2055%,,,,,
698,134.956,-0.0124481,0.00328548,0.443002,0.0140403,0.0004776,-1.2056%,-0.0124486,0.443395239,-0.443002,-1.2055%,,,,,
699,135.435,-0.0124418,0.00328543,0.444576,0.0140359,0.000409365,-1.2056%,-0.0124413,0.444962212,-0.444576,-1.2055%,,,,,
700,134.348,-0.0123659,0.00328486,0.441005,0.0140315,0.00034113,-1.2056%,-0.0123653,0.441314371,-0.441005,-1.2056%,,,,,
701,134.471,-0.0123608,0.00328483,0.441409,0.0140271,0.000272895,-1.2056%,-0.0123620,0.441714375,-0.441409,-1.2057%,,,,,
702,135.081,-0.0124241,0.00328529,0.443413,0.0140227,0.00020466,-1.2056%,-0.0124232,0.443780258,-0.443413,-1.2056%,,,,,
703,133.856,-0.0123515,0.00328475,0.439388,0.0140184,0.000136425,-1.2057%,-0.0123521,0.439683496,-0.439388,-1.2057%,,,,,
704,131.283,-0.0122469,0.00328395,0.430938,0.014014,6.82E-05,-1.2058%,-0.0122469,0.431126808,-0.430938,-1.2058%,,,,,
705,128.84,-0.0122071,0.00328364,0.422915,0.0140096,-4.42E-08,-1.2059%,-0.0122074,0.423064178,-0.422915,-1.2058%,,,,,
706,130.52,-0.0122412,0.00328389,0.428431,0.0140052,-6.83E-05,-1.2059%,-0.0122403,0.428613323,-0.428431,-1.2058%,,,,,
707,129.394,-0.0122025,0.00328359,0.424734,0.0140008,-0.000136514,-1.2060%,-0.0122030,0.424876844,-0.424734,-1.2060%,,,,,
708,127.339,-0.0121716,0.00328334,0.417986,0.0139964,-0.000204749,-1.2060%,-0.0121714,0.418097232,-0.417986,-1.2060%,,,,,
709,128.381,-0.0121697,0.00328332,0.421407,0.0139921,-0.000272983,-1.2061%,-0.0121698,0.421515905,-0.421407,-1.2061%,,,,,
710,128.473,-0.0121678,0.0032833,0.421708,0.0139877,-0.000341218,-1.2061%,-0.0121680,0.421815401,-0.421708,-1.2061%,,,,,
711,128.083,-0.012166,0.00328328,0.420427,0.0139833,-0.000409453,-1.2061%,-0.0121662,0.420532352,-0.420427,-1.2061%,,,,,
712,130.412,-0.0122246,0.00328372,0.428074,0.0139789,-0.000477688,-1.2062%,-0.0122244,0.428236493,-0.428074,-1.2062%,,,,,
713,129.468,-0.0121895,0.00328344,0.424973,0.0139745,-0.000545923,-1.2062%,-0.0121895,0.42510041,-0.424973,-1.2062%,,,,,
714,130.059,-0.0122192,0.00328366,0.426913,0.0139701,-0.000614157,-1.2063%,-0.0122193,0.427069536,-0.426913,-1.2063%,,,,,
715,129.173,-0.0121854,0.00328339,0.424003,0.0139658,-0.000682392,-1.2063%,-0.0121856,0.424125336,-0.424003,-1.2063%,,,,,
716,128.705,-0.0121833,0.00328336,0.422465,0.0139614,-0.000750627,-1.2064%,-0.0121829,0.422584849,-0.422465,-1.2063%,,,,,
717,131.331,-0.0122117,0.00328356,0.431086,0.013957,-0.000818862,-1.2064%,-0.0122110,0.431233218,-0.431086,-1.2064%,,,,,
718,131.845,-0.0122456,0.00328381,0.432773,0.0139526,-0.000887097,-1.2065%,-0.0122462,0.432953929,-0.432773,-1.2065%,,,,,
719,130.103,-0.012207,0.0032835,0.427052,0.0139482,-0.000955332,-1.2065%,-0.0122069,0.427193201,-0.427052,-1.2066%,,,,,
720,129.8,-0.0121759,0.00328327,0.426058,0.0139438,0.000942079,-1.2066%,-0.0121765,0.426168446,-0.426058,-1.2066%,,,,,
721,127.728,-0.0121513,0.00328308,0.419256,0.0139395,0.000879304,-1.2066%,-0.0121511,0.419341242,-0.419256,-1.2066%,,,,,
722,126.793,-0.0121318,0.00328293,0.416187,0.0139351,0.00081653,-1.2067%,-0.0121318,0.416252543,-0.416187,-1.2066%,,,,,
723,127.022,-0.0121307,0.00328292,0.41694,0.0139307,0.000753755,-1.2067%,-0.0121301,0.417003064,-0.41694,-1.2067%,,,,,
724,128.065,-0.0121472,0.00328305,0.420365,0.0139263,0.00069098,-1.2068%,-0.0121470,0.420443798,-0.420365,-1.2068%,,,,,
725,128.808,-0.0121671,0.00328321,0.422805,0.0139219,0.000628206,-1.2068%,-0.0121675,0.422903714,-0.422805,-1.2069%,,,,,
726,129.54,-0.0121654,0.0032832,0.425208,0.0139175,0.000565431,-1.2068%,-0.0121656,0.425305728,-0.425208,-1.2068%,,,,,
727,129.664,-0.0121637,0.00328319,0.425616,0.0139132,0.000502656,-1.2069%,-0.0121640,0.425711548,-0.425616,-1.2068%,,,,,
728,130.585,-0.0121869,0.00328337,0.42864,0.0139088,0.000439881,-1.2069%,-0.0121872,0.428758871,-0.42864,-1.2068%,,,,,
729,129.306,-0.0121606,0.00328316,0.424441,0.0139044,0.000377107,-1.2070%,-0.0121598,0.424532287,-0.424441,-1.2068%,,,,,
730,128.968,-0.012159,0.00328315,0.423332,0.0143,0.000314332,-1.2070%,-0.0121594,0.423421289,-0.423332,-1.2070%,,,,,
731,130.877,-0.012181,0.00328331,0.4296,0.0142967,0.000251557,-1.2070%,-0.0121801,0.429709763,-0.4296,-1.2070%,,,,,
732,131.46,-0.012179,0.0032833,0.431514,0.0142934,0.000188783,-1.2071%,-0.0121799,0.431622618,-0.431514,-1.2071%,,,,,
733,130.908,-0.012177,0.00328328,0.429702,0.0142901,0.000126008,-1.2071%,-0.0121767,0.429807618,-0.429702,-1.2071%,,,,,
734,133.345,-0.0122367,0.00328372,0.437703,0.0142868,6.32E-05,-1.2072%,-0.0122361,0.437867643,-0.437703,-1.2071%,,,,,
735,133.475,-0.0122336,0.0032837,0.43813,0.0142836,4.59E-07,-1.2072%,-0.0122345,0.438291858,-0.43813,-1.2073%,,,,,
736,133.37,-0.0122306,0.00328367,0.437785,0.0142803,-6.23E-05,-1.2072%,-0.0122302,0.437943068,-0.437785,-1.2072%,,,,,
737,133.154,-0.0122277,0.00328364,0.437075,0.014277,-0.000125091,-1.2073%,-0.0122272,0.437229801,-0.437075,-1.2072%,,,,,
738,135.019,-0.0122633,0.0032839,0.443199,0.0142737,-0.000187866,-1.2073%,-0.0122635,0.443388894,-0.443199,-1.2074%,,,,,
739,132.889,-0.0121917,0.00328336,0.436205,0.0142704,-0.00025064,-1.2074%,-0.0121923,0.436322427,-0.436205,-1.2075%,,,,,
740,133.224,-0.0122198,0.00328356,0.437304,0.0142671,-0.000313415,-1.2074%,-0.0122192,0.437448997,-0.437304,-1.2074%,,,,,
741,134.765,-0.0122535,0.00328381,0.442363,0.0142638,-0.00037619,-1.2075%,-0.0122544,0.442542655,-0.442363,-1.2075%,,,,,
742,135.354,-0.01225,0.00328377,0.444297,0.0142605,-0.000438964,-1.2075%,-0.0122491,0.444471405,-0.444297,-1.2075%,,,,,
743,135.881,-0.0122467,0.00328374,0.446026,0.0142573,-0.000501739,-1.2075%,-0.0122470,0.446197875,-0.446026,-1.2075%,,,,,
744,136.734,-0.0122857,0.00328402,0.448827,0.014254,-0.000564514,-1.2076%,-0.0122862,0.449037191,-0.448827,-1.2076%,,,,,
745,138.152,-0.0123322,0.00328434,0.453483,0.0142507,-0.000627288,-1.2076%,-0.0123312,0.45373814,-0.453483,-1.2076%,,,,,
746,139.257,-0.0123874,0.00328473,0.457111,0.0142474,-0.000690063,-1.2076%,-0.0123879,0.457421646,-0.457111,-1.2077%,,,,,
747,139.9,-0.0123815,0.00328468,0.459222,0.0142441,-0.000752838,-1.2077%,-0.0123818,0.459526732,-0.459222,-1.2077%,,,,,
748,140.19,-0.0123757,0.00328463,0.460173,0.0142408,-0.000815612,-1.2077%,-0.0123760,0.46047228,-0.460173,-1.2077%,,,,,
749,141.908,-0.0124393,0.00328506,0.465815,0.0142375,-0.000878387,-1.2078%,-0.0124383,0.466176294,-0.465815,-1.2077%,,,,,
750,142.478,-0.0125147,0.00328583,0.467722,0.0142342,0.027159,-1.2078%,-0.0125147,0.468158487,-0.467722,-1.2078%,,,,,
751,142.52,-0.0125072,0.00328602,0.467894,0.014231,0.0271711,-1.2078%,-0.0125074,0.46832357,-0.467894,-1.2078%,,,,,
752,142.145,-0.0124999,0.00328621,0.466697,0.0142277,0.0271833,-1.2078%,-0.0124999,0.46711832,-0.466697,-1.2079%,,,,,
753,142.292,-0.0124926,0.0032864,0.467214,0.0142244,0.0271954,-1.2078%,-0.0124926,0.467628429,-0.467214,-1.2078%,,,,,
754,143.313,-0.0124854,0.00328659,0.470604,0.0142211,0.0272076,-1.2078%,-0.0124852,0.471011073,-0.470604,-1.2078%,,,,,
755,144.824,-0.0125696,0.00328742,0.475606,0.0142178,0.0272197,-1.2079%,-0.0125706,0.476097314,-0.475606,-1.2079%,,,,,
756,143.588,-0.0125612,0.0032876,0.471577,0.0142145,0.0272319,-1.2079%,-0.0125607,0.472059909,-0.471577,-1.2078%,,,,,
757,140.52,-0.0123944,0.00328666,0.461528,0.0142112,0.0272441,-1.2081%,-0.0123951,0.461841463,-0.461528,-1.2082%,,,,,
758,139.397,-0.0123295,0.00328643,0.457871,0.0142079,0.0272562,-1.2082%,-0.0123286,0.458118483,-0.457871,-1.2081%,,,,,
759,141.842,-0.0123843,0.00328706,0.465942,0.0142047,0.0272684,-1.2083%,-0.0123845,0.466243165,-0.465942,-1.2083%,,,,,
760,139.721,-0.0123212,0.00328685,0.459004,0.0142014,0.0272805,-1.2083%,-0.0123211,0.459241969,-0.459004,-1.2083%,,,,,
761,139.567,-0.0123168,0.00328706,0.458532,0.0141981,0.0272927,-1.2083%,-0.0123167,0.458765103,-0.458532,-1.2084%,,,,,
762,138.458,-0.0122666,0.00328694,0.454921,0.0141948,0.0273049,-1.2084%,-0.0122666,0.455103139,-0.454921,-1.2084%,,,,,
763,136.279,-0.0122266,0.00328689,0.447792,0.0141915,0.027317,-1.2085%,-0.0122267,0.447934082,-0.447792,-1.2085%,,,,,
764,136.527,-0.0122239,0.00328711,0.448641,0.0141882,0.0273292,-1.2085%,-0.0122235,0.448779267,-0.448641,-1.2085%,,,,,
765,135.466,-0.0121925,0.00328712,0.445186,0.0141849,0.0273413,-1.2085%,-0.0121924,0.445292998,-0.445186,-1.2085%,,,,,
766,136.929,-0.0122189,0.00328756,0.450029,0.0141816,0.0273535,-1.2086%,-0.0122195,0.450162303,-0.450029,-1.2086%,,,,,
767,138.217,-0.0122508,0.00328803,0.454298,0.0141784,0.0273657,-1.2086%,-0.0122503,0.454461643,-0.454298,-1.2087%,,,,,
768,137.195,-0.012214,0.00328801,0.450971,0.0141751,0.0273778,-1.2087%,-0.0122147,0.451098532,-0.450971,-1.2087%,,,,,
769,135.037,-0.012185,0.00328804,0.443909,0.0141718,0.02739,-1.2087%,-0.0121852,0.444007057,-0.443909,-1.2087%,,,,,
770,137.313,-0.0122096,0.00328846,0.451426,0.0141685,0.0274021,-1.2088%,-0.0122092,0.451548308,-0.451426,-1.2087%,,,,,
771,136.92,-0.0122072,0.00328869,0.450168,0.0141652,0.0274143,-1.2088%,-0.0122077,0.450287435,-0.450168,-1.2088%,,,,,
772,136.077,-0.0122049,0.00328891,0.447429,0.0141619,0.0274264,-1.2088%,-0.0122040,0.447545006,-0.447429,-1.2088%,,,,,
773,133.848,-0.0121586,0.00328881,0.440131,0.0141586,0.0274386,-1.2089%,-0.0121589,0.440200641,-0.440131,-1.2089%,,,,,
774,136.314,-0.0122012,0.00328937,0.448275,0.0141553,0.0274508,-1.2090%,-0.0122017,0.448387182,-0.448275,-1.2090%,,,,,
775,138.143,-0.0122285,0.00328981,0.454326,0.0141521,0.0274629,-1.2090%,-0.0122283,0.454464223,-0.454326,-1.2090%,,,,,
776,136.253,-0.0121972,0.00328982,0.448142,0.0141488,0.0274751,-1.2091%,-0.0121966,0.448247844,-0.448142,-1.2091%,,,,,
777,137.618,-0.0122234,0.00329026,0.452667,0.0141455,0.0274872,-1.2091%,-0.0122241,0.452799001,-0.452667,-1.2092%,,,,,
778,136.307,-0.0121932,0.00329028,0.448387,0.0141422,0.0274994,-1.2092%,-0.0121928,0.448488196,-0.448387,-1.2092%,,,,,
779,138.452,-0.0122186,0.00329071,0.455479,0.0141389,0.0275116,-1.2092%,-0.0122189,0.455605381,-0.455479,-1.2092%,,,,,
780,137.801,-0.012216,0.00329093,0.453371,0.0141356,0.0275237,-1.2093%,-0.0122152,0.453493445,-0.453371,-1.2093%,,,,,
781,140.254,-0.0122459,0.00329115,0.461445,0.0141323,0.000786308,-1.2093%,-0.0122463,0.461596952,-0.461445,-1.2094%,,,,,
782,141.551,-0.0122818,0.00329141,0.465714,0.014129,0.000730054,-1.2094%,-0.0122822,0.465902377,-0.465714,-1.2094%,,,,,
783,144.023,-0.012383,0.00329211,0.473852,0.0141258,0.000673799,-1.2095%,-0.0123822,0.474139559,-0.473852,-1.2095%,,,,,
784,142.538,-0.0123208,0.00329168,0.468964,0.0141225,0.000617544,-1.2096%,-0.0123214,0.469189484,-0.468964,-1.2096%,,,,,
785,141.784,-0.0122707,0.00329133,0.466483,0.0141192,0.00056129,-1.2096%,-0.0122709,0.466657933,-0.466483,-1.2096%,,,,,
786,140.373,-0.0122309,0.00329105,0.461839,0.0141159,0.000505035,-1.2096%,-0.0122312,0.461974562,-0.461839,-1.2096%,,,,,
787,139.849,-0.0122278,0.00329102,0.460115,0.0141126,0.000448781,-1.2096%,-0.0122266,0.460245856,-0.460115,-1.2096%,,,,,
788,141.404,-0.0122594,0.00329125,0.465233,0.0141093,0.000392526,-1.2097%,-0.0122603,0.465395915,-0.465233,-1.2097%,,,,,
789,140.385,-0.012222,0.00329098,0.46188,0.014106,0.000336272,-1.2097%,-0.0122215,0.462004227,-0.46188,-1.2097%,,,,,
790,139.898,-0.0122191,0.00329096,0.460277,0.0141027,0.000280017,-1.2098%,-0.0122193,0.460398722,-0.460277,-1.2098%,,,,,
791,141.829,-0.0122488,0.00329117,0.466632,0.0140995,0.000223763,-1.2098%,-0.0122491,0.46678335,-0.466632,-1.2098%,,,,,
792,141.624,-0.0122453,0.00329114,0.465958,0.0140962,0.000167508,-1.2098%,-0.0122448,0.466104411,-0.465958,-1.2098%,,,,,
793,140.942,-0.0122419,0.00329111,0.463713,0.0140929,0.000111253,-1.2099%,-0.0122414,0.463855626,-0.463713,-1.2099%,,,,,
794,141.11,-0.0122385,0.00329109,0.464266,0.0140896,5.50E-05,-1.2099%,-0.0122395,0.46440571,-0.464266,-1.2100%,,,,,
795,142.006,-0.0122717,0.00329132,0.467214,0.0140863,-1.26E-06,-1.2099%,-0.0122716,0.467387188,-0.467214,-1.2098%,,,,,
796,142.273,-0.0122677,0.00329129,0.468093,0.014083,-5.75E-05,-1.2100%,-0.0122680,0.468261702,-0.468093,-1.2099%,,,,,
797,141.62,-0.0122289,0.00329101,0.465944,0.0140797,-0.000113765,-1.2100%,-0.0122287,0.466072836,-0.465944,-1.2100%,,,,,
798,141.28,-0.0122258,0.00329098,0.464824,0.0140764,-0.000170019,-1.2100%,-0.0122253,0.464949654,-0.464824,-1.2100%,,,,,
799,142.38,-0.0122562,0.00329119,0.468444,0.0140732,-0.000226274,-1.2101%,-0.0122565,0.468599632,-0.468444,-1.2101%,,,,,
800,139.921,-0.0121943,0.00329074,0.460351,0.0140699,-0.000282528,-1.2102%,-0.0121941,0.460443632,-0.460351,-1.2101%,,,,,
801,141.207,-0.0122177,0.0032909,0.464582,0.0140666,-0.000338783,-1.2102%,-0.0122178,0.464698116,-0.464582,-1.2102%,,,,,
802,140.041,-0.0121901,0.0032907,0.460745,0.0140633,-0.000395038,-1.2102%,-0.0121907,0.460832919,-0.460745,-1.2103%,,,,,
803,141.226,-0.0122124,0.00329085,0.464644,0.01406,-0.000451292,-1.2103%,-0.0122123,0.464753582,-0.464644,-1.2103%,,,,,
804,140.501,-0.0122097,0.00329082,0.462257,0.0140567,-0.000507547,-1.2103%,-0.0122093,0.462363501,-0.462257,-1.2103%,,,,,
805,141.928,-0.012236,0.003291,0.466952,0.0140534,-0.000563801,-1.2104%,-0.0122364,0.467085048,-0.466952,-1.2103%,,,,,
806,142.956,-0.0122327,0.00329096,0.470334,0.0140501,-0.000620056,-1.2104%,-0.0122316,0.470462478,-0.470334,-1.2103%,,,,,
807,144.2,-0.012264,0.00329117,0.474427,0.0140468,-0.00067631,-1.2104%,-0.0122643,0.474586714,-0.474427,-1.2105%,,,,,
808,142.018,-0.0122269,0.0032909,0.467245,0.0140436,-0.000732565,-1.2105%,-0.0122271,0.467367036,-0.467245,-1.2105%,,,,,
809,141.548,-0.0121977,0.00329068,0.465697,0.0140403,-0.000788819,-1.2105%,-0.0121972,0.465789173,-0.465697,-1.2105%,,,,,
810,140.025,-0.0121751,0.00329051,0.460685,0.014037,-0.000845074,-1.2106%,-0.0121754,0.460753663,-0.460685,-1.2107%,,,,,
811,140.51,-0.0121932,0.00329064,0.462281,0.0140337,0.000733532,-1.2106%,-0.0121929,0.462367826,-0.462281,-1.2106%,,,,,
