tau,s_tmp,cash,delta,pv,r,q,PL,cash,asset,debt,PL,,,,,
382,200.295,-0.57877,0.00651811,0.728739,0.0151882,-0.000828834,-0.1964%,-0.5787704,1.305544842,-0.728739,-0.1965%,,,,,
383,196.599,-0.607896,0.00666612,0.704441,0.0151816,-0.000947163,-0.1785%,-0.6078960,1.310552526,-0.704441,-0.1784%,,,,,
384,198.086,-0.600706,0.00662968,0.714375,0.0151751,-0.00106549,-0.1836%,-0.6007069,1.313246792,-0.714375,-0.1835%,,,,,
385,200.645,-0.582362,0.0065381,0.731297,0.0151685,-0.00118382,-0.1821%,-0.5823602,1.311837075,-0.731297,-0.1820%,,,,,
386,201.806,-0.572003,0.00648663,0.738954,0.0151619,-0.00130215,-0.1916%,-0.5720039,1.309040854,-0.738954,-0.1917%,,,,,
387,201.024,-0.585079,0.00655153,0.733948,0.0151553,-0.00142048,-0.2011%,-0.5850783,1.317014767,-0.733948,-0.2012%,,,,,
388,202.342,-0.574644,0.00649982,0.742633,0.0151488,-0.00153881,-0.2092%,-0.5746458,1.315186578,-0.742633,-0.2092%,,,,,
389,200.576,-0.587751,0.00656501,0.731199,0.0151422,-0.00165714,-0.2166%,-0.5877493,1.316783446,-0.731199,-0.2165%,,,,,
390,201.799,-0.577165,0.00651292,0.739397,0.0151356,0.0267992,-0.2262%,-0.5771664,1.314300743,-0.739397,-0.2263%,,,,,
391,200.277,-0.590203,0.00657837,0.729606,0.015129,0.0268274,-0.2312%,-0.5902012,1.317496208,-0.729606,-0.2311%,,,,,
392,198.452,-0.601801,0.00663718,0.717695,0.0151225,0.0268556,-0.2335%,-0.6018024,1.317161645,-0.717695,-0.2336%,,,,,
393,199.137,-0.603097,0.00664405,0.722442,0.0151159,0.0268839,-0.2462%,-0.6030966,1.323076185,-0.722442,-0.2462%,,,,,
394,198.474,-0.60439,0.00665093,0.718199,0.0151093,0.0269121,-0.2552%,-0.6043902,1.320036681,-0.718199,-0.2553%,,,,,
395,200.787,-0.59513,0.00660518,0.733744,0.0151027,0.0269403,-0.2640%,-0.5951304,1.326234277,-0.733744,-0.2640%,,,,,
396,197.97,-0.616559,0.00671378,0.715186,0.0150962,0.0269685,-0.2617%,-0.6165575,1.329127027,-0.715186,-0.2617%,,,,,
397,193.598,-0.641709,0.00684406,0.685738,0.0150896,0.0269967,-0.2451%,-0.6417103,1.324996328,-0.685738,-0.2452%,,,,,
398,195.465,-0.627823,0.00677339,0.698612,0.015083,0.0270249,-0.2475%,-0.6278230,1.323960676,-0.698612,-0.2474%,,,,,
399,195.305,-0.637269,0.00682212,0.697684,0.0150764,0.0270531,-0.2559%,-0.6372681,1.332394147,-0.697684,-0.2558%,,,,,
400,196.012,-0.630473,0.00678782,0.702658,0.0150699,0.0270813,-0.2636%,-0.6304729,1.330494174,-0.702658,-0.2637%,,,,,
401,201.213,-0.601758,0.00664549,0.737745,0.0150633,0.0271095,-0.2345%,-0.6017589,1.337158979,-0.737745,-0.2345%,,,,,
402,202.449,-0.590716,0.00659132,0.746112,0.0150567,0.0271377,-0.2423%,-0.5907161,1.334406143,-0.746112,-0.2422%,,,,,
403,199.544,-0.614893,0.00671285,0.727022,0.0150501,0.0271659,-0.2406%,-0.6148930,1.33950894,-0.727022,-0.2406%,,,,,
404,199.179,-0.616185,0.00671971,0.72477,0.0150436,0.0271941,-0.2531%,-0.6161851,1.338425118,-0.72477,-0.2530%,,,,,
405,199.473,-0.617479,0.00672657,0.72693,0.015037,0.0272223,-0.2640%,-0.6174788,1.341769098,-0.72693,-0.2640%,,,,,
406,198.003,-0.62878,0.00678402,0.717202,0.0150304,0.0272506,-0.2727%,-0.6287803,1.343256312,-0.717202,-0.2726%,,,,,
407,196.059,-0.639259,0.00683784,0.704148,0.0150238,0.0272788,-0.2787%,-0.6392584,1.340620073,-0.704148,-0.2786%,,,,,
408,202.084,-0.597378,0.00663097,0.744972,0.0150173,0.027307,-0.2336%,-0.5973768,1.340012941,-0.744972,-0.2336%,,,,,
409,203.767,-0.58459,0.00656859,0.756287,0.0150107,0.0273352,-0.2414%,-0.5845904,1.338461879,-0.756287,-0.2416%,,,,,
410,205.021,-0.570933,0.00650236,0.76471,0.0150041,0.0273634,-0.2524%,-0.5709345,1.33312035,-0.76471,-0.2524%,,,,,
411,204.961,-0.572186,0.00650884,0.764548,0.0149975,0.0273916,-0.2675%,-0.5721846,1.334058355,-0.764548,-0.2674%,,,,,
412,206.252,-0.557654,0.00643876,0.773151,0.014991,0.0274198,-0.2798%,-0.5576545,1.328007128,-0.773151,-0.2798%,,,,,
413,208.717,-0.542189,0.00636504,0.789153,0.0149844,0.027448,-0.2849%,-0.5421892,1.328492054,-0.789153,-0.2850%,,,,,
414,210.914,-0.507586,0.00620135,0.803199,0.0149778,0.0274762,-0.2834%,-0.5075857,1.307951534,-0.803199,-0.2833%,,,,,
415,211.632,-0.508742,0.00620718,0.807904,0.0149712,0.0275044,-0.3008%,-0.5087417,1.313637918,-0.807904,-0.3008%,,,,,
416,211.732,-0.509908,0.00621306,0.808796,0.0149647,0.0275326,-0.3201%,-0.5099087,1.31550362,-0.808796,-0.3201%,,,,,
417,212.656,-0.491945,0.00612896,0.814765,0.0149581,0.0275608,-0.3350%,-0.4919448,1.303360118,-0.814765,-0.3350%,,,,,
418,212.339,-0.493071,0.00613463,0.813101,0.0149515,0.027589,-0.3551%,-0.4930707,1.3026212,-0.813101,-0.3551%,,,,,
419,212.619,-0.494207,0.00614035,0.815105,0.0149449,0.0276172,-0.3758%,-0.4942087,1.305555077,-0.815105,-0.3759%,,,,,
420,213.776,-0.475579,0.00605313,0.822354,0.0149384,0.00144764,-0.3918%,-0.4755765,1.294013919,-0.822354,-0.3917%,,,,,
421,210.661,-0.515822,0.0062441,0.803325,0.0149318,0.0013511,-0.3759%,-0.5158237,1.31538835,-0.803325,-0.3760%,,,,,
422,205.983,-0.569868,0.0065064,0.773522,0.0149252,0.00125455,-0.3183%,-0.5698680,1.340207791,-0.773522,-0.3182%,,,,,
423,199.603,-0.639038,0.00685284,0.73092,0.0149186,0.00115801,-0.2111%,-0.6390376,1.367847423,-0.73092,-0.2110%,,,,,
424,202.173,-0.617028,0.00674386,0.748489,0.0149121,0.00106147,-0.2090%,-0.6170273,1.363426408,-0.748489,-0.2090%,,,,,
425,204.035,-0.604328,0.00668152,0.761081,0.0149055,0.000964922,-0.2146%,-0.6043300,1.363263933,-0.761081,-0.2147%,,,,,
426,204.533,-0.590711,0.00661483,0.764524,0.0148989,0.000868378,-0.2283%,-0.5907091,1.352951024,-0.764524,-0.2282%,,,,,
427,201.893,-0.621509,0.00676727,0.746934,0.0148923,0.000771835,-0.2178%,-0.6215088,1.366264442,-0.746934,-0.2178%,,,,,
428,198.058,-0.655876,0.00694068,0.720733,0.0148858,0.000675291,-0.1952%,-0.6558771,1.374657199,-0.720733,-0.1953%,,,,,
429,194.496,-0.673983,0.00703365,0.695921,0.0148792,0.000578747,-0.1888%,-0.6739829,1.36801679,-0.695921,-0.1887%,,,,,
430,198.051,-0.658678,0.00695624,0.720846,0.0148726,0.000482204,-0.1833%,-0.6586775,1.377690288,-0.720846,-0.1833%,,,,,
431,197.988,-0.660271,0.00696416,0.720488,0.014866,0.00038566,-0.1939%,-0.6602714,1.37882011,-0.720488,-0.1939%,,,,,
432,197.452,-0.66188,0.00697218,0.716832,0.0148595,0.000289116,-0.2042%,-0.6618804,1.376670885,-0.716832,-0.2041%,,,,,
433,197.211,-0.663508,0.0069803,0.715217,0.0148529,0.000192573,-0.2133%,-0.6635076,1.376591943,-0.715217,-0.2133%,,,,,
434,193.773,-0.687598,0.00710448,0.69105,0.0148463,9.60E-05,-0.1991%,-0.6875974,1.376656403,-0.69105,-0.1991%,,,,,
435,192.611,-0.689003,0.00711163,0.682828,0.0148397,-5.15E-07,-0.2052%,-0.6890031,1.369778166,-0.682828,-0.2053%,,,,,
436,193.998,-0.684047,0.00708594,0.69273,0.0148332,-9.71E-05,-0.2119%,-0.6840476,1.374658188,-0.69273,-0.2119%,,,,,
437,193.012,-0.691836,0.00712615,0.685754,0.0148266,-0.000193602,-0.2158%,-0.6918365,1.375432464,-0.685754,-0.2158%,,,,,
