PX, uold, uold- volp,조기상환형 vega(%)
411.65,1.01401,1.01388,-1.30E-04
413.136,1.01401,1.01389,-1.20E-04
414.622,1.01402,1.0139,-1.20E-04
416.108,1.01402,1.01391,-1.10E-04
417.594,1.01402,1.01392,-1.00E-04
419.08,1.01403,1.01393,-1.00E-04
420.566,1.01403,1.01394,-9.00E-05
422.052,1.01403,1.01395,-8.00E-05
423.539,1.01404,1.01395,-9.00E-05
425.025,1.01404,1.01396,-8.00E-05
426.511,1.01404,1.01397,-7.00E-05
427.997,1.01404,1.01397,-7.00E-05
429.483,1.01404,1.01398,-6.00E-05
430.969,1.01405,1.01398,-7.00E-05
432.455,1.01405,1.01399,-6.00E-05
433.941,1.01405,1.01399,-6.00E-05
435.427,1.01405,1.014,-5.00E-05
436.913,1.01405,1.014,-5.00E-05
438.4,1.01405,1.01401,-4.00E-05
439.886,1.01406,1.01401,-5.00E-05
441.372,1.01406,1.01401,-5.00E-05
442.858,1.01406,1.01402,-4.00E-05
444.344,1.01406,1.01402,-4.00E-05
445.83,1.01406,1.01402,-4.00E-05
447.316,1.01406,1.01403,-3.00E-05
448.802,1.01406,1.01403,-3.00E-05
450.288,1.01406,1.01403,-3.00E-05
451.774,1.01406,1.01403,-3.00E-05
453.261,1.01406,1.01404,-2.00E-05
454.747,1.01406,1.01404,-2.00E-05
456.233,1.01406,1.01404,-2.00E-05
457.719,1.01406,1.01404,-2.00E-05
459.205,1.01407,1.01404,-3.00E-05
460.691,1.01407,1.01405,-2.00E-05
462.177,1.01407,1.01405,-2.00E-05
463.663,1.01407,1.01405,-2.00E-05
465.149,1.01407,1.01405,-2.00E-05
466.635,1.01407,1.01405,-2.00E-05
468.122,1.01407,1.01405,-2.00E-05
469.608,1.01407,1.01405,-2.00E-05
471.094,1.01407,1.01406,-1.00E-05
472.58,1.01407,1.01406,-1.00E-05
474.066,1.01407,1.01406,-1.00E-05
475.552,1.01407,1.01406,-1.00E-05
477.038,1.01407,1.01406,-1.00E-05
478.524,1.01407,1.01406,-1.00E-05
480.01,1.01407,1.01406,-1.00E-05
481.496,1.01407,1.01406,-1.00E-05
482.983,1.01407,1.01406,-1.00E-05
484.469,1.01407,1.01406,-1.00E-05
485.955,1.01407,1.01406,-1.00E-05
487.441,1.01407,1.01406,-1.00E-05
488.927,1.01407,1.01406,-1.00E-05
490.413,1.01407,1.01406,-1.00E-05
491.899,1.01407,1.01406,-1.00E-05
493.385,1.01407,1.01407,0.00E+00
494.871,1.01407,1.01407,0.00E+00
496.357,1.01407,1.01407,0.00E+00
497.844,1.01407,1.01407,0.00E+00
499.33,1.01407,1.01407,0.00E+00
500.816,1.01407,1.01407,0.00E+00
502.302,1.01407,1.01407,0.00E+00
503.788,1.01407,1.01407,0.00E+00
505.274,1.01407,1.01407,0.00E+00
506.76,1.01407,1.01407,0.00E+00
508.246,1.01407,1.01407,0.00E+00
509.732,1.01407,1.01407,0.00E+00
511.218,1.01407,1.01407,0.00E+00
512.705,1.01407,1.01407,0.00E+00
514.191,1.01407,1.01407,0.00E+00
515.677,1.01407,1.01407,0.00E+00
517.163,1.01407,1.01407,0.00E+00
518.649,1.01407,1.01407,0.00E+00
520.135,1.01407,1.01407,0.00E+00
521.621,1.01407,1.01407,0.00E+00
523.107,1.01407,1.01407,0.00E+00
524.593,1.01407,1.01407,0.00E+00
526.079,1.01407,1.01407,0.00E+00
527.566,1.01407,1.01407,0.00E+00
529.052,1.01407,1.01407,0.00E+00
530.538,1.01407,1.01407,0.00E+00
532.024,1.01407,1.01407,0.00E+00
533.51,1.01407,1.01407,0.00E+00
534.996,1.01407,1.01407,0.00E+00
536.482,1.01407,1.01407,0.00E+00
537.968,1.01407,1.01407,0.00E+00
539.454,1.01407,1.01407,0.00E+00
540.94,1.01407,1.01407,0.00E+00
542.427,1.01407,1.01407,0.00E+00
543.913,1.01407,1.01407,0.00E+00
545.399,1.01407,1.01407,0.00E+00
546.885,1.01407,1.01407,0.00E+00
548.371,1.01407,1.01407,0.00E+00
549.857,1.01407,1.01407,0.00E+00
551.343,1.01407,1.01407,0.00E+00
552.829,1.01407,1.01407,0.00E+00
554.315,1.01407,1.01407,0.00E+00
555.801,1.01407,1.01407,0.00E+00
557.288,1.01407,1.01407,0.00E+00
558.774,1.01407,1.01407,0.00E+00
560.26,1.01407,1.01407,0.00E+00
561.746,1.01407,1.01407,0.00E+00
563.232,1.01407,1.01407,0.00E+00
564.718,1.01407,1.01407,0.00E+00
566.204,1.01407,1.01407,0.00E+00
567.69,1.01407,1.01407,0.00E+00
569.176,1.01407,1.01407,0.00E+00
570.662,1.01407,1.01407,0.00E+00
572.149,1.01407,1.01407,0.00E+00
573.635,1.01407,1.01407,0.00E+00
575.121,1.01407,1.01407,0.00E+00
576.607,1.01407,1.01407,0.00E+00
578.093,1.01407,1.01407,0.00E+00
579.579,1.01407,1.01407,0.00E+00
581.065,1.01407,1.01407,0.00E+00
582.551,1.01407,1.01407,0.00E+00
584.037,1.01407,1.01407,0.00E+00
585.523,1.01407,1.01407,0.00E+00
587.01,1.01407,1.01407,0.00E+00
588.496,1.01407,1.01407,0.00E+00
589.982,1.01407,1.01407,0.00E+00
591.468,1.01407,1.01407,0.00E+00
592.954,1.01407,1.01407,0.00E+00
594.44,1.01407,1.01407,0.00E+00
