tau,s_tmp,cash,delta,pv,r_for,q,PL
120,326.257,0.148601,-0.000363742,0.00186906,0.0138427,-0.00219366,0.0280583
121,328.922,0.0892539,-0.000183294,0.00100819,0.0138361,-0.00234494,0.0279564
122,331.888,0.0579709,-8.90266e-05,0.000515799,0.0138295,0.00140582,0.0279082
123,331.48,0.0549437,-7.98879e-05,0.000493736,0.0138229,0.00131798,0.0279687
124,332.29,0.0521473,-7.14662e-05,0.000372495,0.0138163,0.00123014,0.0280272
125,330.804,0.0573773,-8.72705e-05,0.000432933,0.0138097,0.0011423,0.0280749
126,328.077,0.0783027,-0.000151046,0.000670009,0.0138031,0.00105446,0.0280779
127,327.972,0.0732288,-0.000135567,0.000603446,0.0137965,0.000966626,0.0281632
128,329.904,0.0572242,-8.70461e-05,0.000353177,0.0137899,0.000878787,0.0281541
129,331.421,0.0463265,-5.41582e-05,0.000223794,0.0137834,0.000790948,0.0281535
130,330.722,0.0441521,-4.75784e-05,0.000219827,0.0137768,0.00070311,0.0281971
131,331.976,0.0381414,-2.94676e-05,0.000146162,0.0137702,0.000615271,0.0282128
132,331.399,0.0403736,-3.6199e-05,0.000140941,0.0137636,0.000527432,0.0282364
133,328.88,0.0434911,-4.56733e-05,0.000211477,0.013757,0.000439594,0.0282585
134,332.745,0.0345495,-1.87964e-05,7.40187e-05,0.0137504,0.000351755,0.0282211
135,329.096,0.0395764,-3.40671e-05,0.000143122,0.0137438,0.000263916,0.0282219
136,328.697,0.0379768,-2.91963e-05,0.000133849,0.0137372,0.000176077,0.0282462
137,332.537,0.032151,-1.16726e-05,4.20521e-05,0.0137306,8.82387e-05,0.0282274
138,333.844,0.0305078,-6.74685e-06,2.46265e-05,0.013724,4e-07,0.0282307
139,336.345,0.0291171,-2.6088e-06,1.04331e-05,0.0137175,-8.74387e-05,0.0282292
140,336.862,0.0289529,-2.11801e-06,7.25574e-06,0.0137109,-0.000175277,0.0282321
141,334.377,0.029495,-3.7362e-06,1.1396e-05,0.0137043,-0.000263116,0.0282343
142,335.345,0.0289255,-2.03445e-06,6.86778e-06,0.0136977,-0.000350955,0.0282364
143,338.565,0.0284814,-7.19538e-07,2.19987e-06,0.0136911,-0.000438794,0.0282356
144,340.1,0.0283637,-3.70276e-07,1.08772e-06,0.0136845,-0.000526632,0.0282366
145,340.028,0.0283356,-2.84722e-07,8.37731e-07,0.0136779,-0.000614471,0.028238
146,338.827,0.0283137,-2.16758e-07,8.97852e-07,0.0136713,-0.00070231,0.0282393
147,339.938,0.0282965,-1.63287e-07,4.75079e-07,0.0136647,-0.000790148,0.0282406
148,335.823,0.0283966,-4.58121e-07,1.22449e-06,0.0136581,-0.000877987,0.0282415
149,339.938,0.0282724,-8.95573e-08,2.51342e-07,0.0136516,-0.000965826,0.0282417
150,343.226,0.0282482,-1.60865e-08,6.38498e-08,0.013645,-0.00105366,0.0282426
151,343.252,0.0282476,-1.12844e-08,4.38624e-08,0.0136384,-0.0011415,0.0282437
152,343.905,0.0282475,-7.80092e-09,2.36248e-08,0.0136318,-0.00122934,0.0282448
153,342.662,0.0282489,-8.69815e-09,2.40159e-08,0.0136252,0.0313086,0.0282458
154,345.721,0.0282476,-2.09754e-09,5.67958e-09,0.0136186,0.0316445,0.0282469
155,351.679,0.028248,-1.93725e-10,5.17397e-10,0.013612,0.0319804,0.0282479
156,348.676,0.0282491,-3.10609e-10,8.31789e-10,0.0136054,0.0323163,0.028249
157,347.989,0.0282501,-1.87798e-10,6.25578e-10,0.0135988,0.0326521,0.02825
158,349.53,0.0282511,-6.7225e-11,2.14476e-10,0.0135922,0.032988,0.0282511
159,351.326,0.0282522,-2.30526e-11,6.32257e-11,0.0135857,0.0333239,0.0282521
160,353.686,0.0282532,-4.49533e-12,1.53251e-11,0.0135791,0.0336598,0.0282532
161,350.225,0.0282543,-1.1501e-11,2.72863e-11,0.0135725,0.0339956,0.0282542
162,348.529,0.0282553,-1.02758e-11,2.56146e-11,0.0135659,0.0343315,0.0282553
163,347.458,0.0282564,-9.04081e-12,1.94591e-11,0.0135593,0.0346674,0.0282563
164,347.491,0.0282574,-4.48734e-12,9.34251e-12,0.0135527,0.0350033,0.0282574
165,347.963,0.0282584,-1.21592e-12,3.62524e-12,0.0135461,0.0353391,0.0282584
166,345.006,0.0282595,-1.81418e-12,5.20353e-12,0.0135395,0.035675,0.0282595
167,344.242,0.0282605,-1.51816e-12,3.05832e-12,0.0135329,0.0360109,0.0282605
168,341.747,0.0282616,-2.32574e-12,3.81661e-12,0.0135263,0.0363467,0.0282616
169,337.363,0.0282626,-3.5259e-12,1.06991e-11,0.0135198,0.0366826,0.0282626
170,336.655,0.0282637,-2.71566e-12,5.46809e-12,0.0135132,0.0370185,0.0282637
171,334.721,0.0282647,-2.00568e-12,5.11335e-12,0.0135066,0.0373544,0.0282647
172,333.73,0.0282658,-1.40952e-12,2.68427e-12,0.0135,0.0376902,0.0282658
173,337.346,0.0282668,-5.38521e-14,1.55505e-13,0.0134934,0.0380261,0.0282668
174,338.909,0.0282679,-7.24012e-15,1.97288e-14,0.0134868,0.038362,0.0282679
175,341.486,0.0282689,-8.3118e-16,1.26539e-15,0.0134802,0.0386979,0.0282689
176,341.128,0.02827,-1.68378e-16,2.88029e-16,0.0134736,0.0390337,0.02827
177,339.839,0.028271,-6.06074e-17,9.37669e-17,0.013467,0.0393696,0.028271
178,337.359,0.028272,-1.74106e-17,4.64832e-17,0.0134605,0.0397055,0.028272
179,342.097,0.0282731,-1.40681e-19,3.09572e-19,0.0134539,0.0400414,0.0282731
180,344.186,0.0282741,-2.74344e-21,4.10141e-21,0.0134473,0.0403772,0.0282741
expired,344.186,0.0282741,-2.74344e-21,0,,,0.0282741
0,293.98,73.8517,-0.238926,3.61234,,,0
1,296.783,63.4951,-0.20402,2.96377,0.0132822,0,-0.0185425
2,297.194,63.1595,-0.202883,2.85491,0.0133058,0,0.0088344
3,299.43,54.1465,-0.172775,2.41029,0.0133293,0,0.002185
4,300.013,53.8249,-0.171697,2.28469,0.0133528,0,0.0289293
5,297.526,62.0798,-0.199435,2.71308,0.0133764,0,0.0295191
6,298.908,57.2706,-0.183338,2.43167,0.0133999,0,0.0375935
7,297.497,61.3683,-0.197105,2.6675,0.0134235,0,0.0625604
8,298.275,56.5882,-0.181072,2.49565,0.013447,0,0.0833907
9,302.388,44.1649,-0.139981,1.80478,0.0134706,0,0.0316571
10,301.957,47.9687,-0.152573,1.84787,0.0134941,0,0.0504556
11,303.29,43.5444,-0.137979,1.64096,0.0135176,0,0.0557868
12,303.17,43.242,-0.136976,1.63763,0.0135412,0,0.0773548
13,305.376,34.5762,-0.108593,1.3503,0.0135647,0,0.0641177
14,300.52,50.2383,-0.160706,1.98125,0.0135883,0,-0.038214
15,300.196,49.9052,-0.15959,2.00919,0.0136118,0,-0.0123427
16,298.368,53.5588,-0.171829,2.28479,0.0136353,0,0.00570549
17,298.657,53.2107,-0.170657,2.21339,0.0136589,0,0.0294898
18,302.691,41.1929,-0.130947,1.58594,0.0136824,0,-0.0295013
19,299.955,48.4411,-0.155106,1.95829,0.013706,0,-0.042076
20,299.536,48.106,-0.153981,2.00262,0.0137295,0,-0.0194836
21,302.078,40.2397,-0.127934,1.61232,0.0137531,0,-0.0188706
22,305.364,31.9604,-0.100817,1.20335,0.0137766,0,-0.0288266
23,305.707,31.7004,-0.0999622,1.15103,0.0138001,0,-0.00986259
24,304.399,35.1909,-0.111425,1.27279,0.0138237,0,0.000395547
25,303.842,34.9124,-0.110504,1.31954,0.0138472,0,0.0170285
26,305.633,30.9128,-0.0974137,1.11214,0.0138708,0,0.0278749
27,306.357,30.6555,-0.0965698,1.02968,0.0138943,0,0.0409128
28,306.457,30.3989,-0.0957289,1.006,0.0139179,0,0.0561691
29,308.78,23.7151,-0.0740793,0.801463,0.0139414,0,0.0394454
30,310.424,20.7103,-0.0643968,0.678192,0.0139649,0,0.0418487
31,308.593,23.2639,-0.072669,0.789632,0.0139885,0,0.0491303
32,308.372,23.0481,-0.0719665,0.793837,0.014012,0,0.0618564
33,305.072,29.0293,-0.0915692,1.0605,0.0140356,0,0.0335597
34,305.991,28.7783,-0.0907453,0.95949,0.0140591,0,0.0515044
35,303.748,32.0396,-0.101479,1.1627,0.0140826,0,0.0530059
36,307.969,22.0885,-0.0691624,0.772896,0.0141062,0,0.0157052
37,311.161,16.7932,-0.0521419,0.557795,0.0141297,0,0.0108924
38,315.183,12.3996,-0.0381999,0.368975,0.0141533,0,-0.0093583
39,315.816,10.4349,-0.0319774,0.338577,0.0141768,0,-0.00265013
40,312.443,14.0535,-0.0435578,0.463143,0.0142004,0,-0.0189501
41,312.439,13.8978,-0.0430578,0.453803,0.0142239,0,-0.00889216
42,314.734,11.8311,-0.0364893,0.350865,0.0142474,0,-0.00425888
43,313.266,13.5796,-0.0420696,0.398829,0.014271,0,0.00180293
44,314.719,11.5887,-0.0357419,0.335098,0.0142945,0,0.00497687
45,317.305,8.48248,-0.025951,0.249052,0.0143181,0,-0.000954875
46,315.847,9.84141,-0.0302525,0.282953,0.0143416,0,0.00329468
47,316.08,9.69496,-0.0297879,0.270146,0.0143652,0,0.00946001
48,314.811,11.0263,-0.0340158,0.304478,0.0143887,0,0.0133105
49,317.748,8.08998,-0.0247733,0.215758,0.0144122,0,0.00255324
50,314.879,10.6799,-0.0329973,0.290474,0.0144358,0,-0.000767238
51,314.518,10.5207,-0.0324899,0.295695,0.0144593,0,0.00635733
52,314.03,10.3622,-0.0319839,0.306503,0.0144829,0,0.0118057
53,316.455,8.79583,-0.0270328,0.22903,0.0145064,0,0.0121288
54,313.008,11.6112,-0.0360262,0.328766,0.0145299,0,0.0059347
55,313.636,11.4378,-0.0354719,0.30115,0.0145535,0,0.0113768
56,313.218,11.265,-0.0349188,0.308488,0.014577,0,0.0193468
57,312.619,11.093,-0.0343672,0.323628,0.0146006,0,0.0255662
58,315.282,9.39551,-0.0289817,0.234665,0.0146241,0,0.0234368
59,316.078,7.93027,-0.0243448,0.208796,0.0146477,0,0.0266291
60,313.454,10.5564,-0.0327219,0.276422,0.0146712,0,0.0231986
61,313.13,10.3857,-0.032177,0.280083,0.0146947,0.0181544,0.0300461
62,314.309,8.75024,-0.0269739,0.239207,0.0147183,0.01874,0.0328757
63,314.838,8.58323,-0.0264438,0.219486,0.0147418,0.0193257,0.0382508
64,314.037,8.41739,-0.025916,0.235281,0.0147654,0.0199113,0.043532
65,314.25,8.25221,-0.0253908,0.223601,0.0147889,0.0204969,0.0495698
66,310.563,12.8184,-0.0400942,0.33463,0.0148125,0.0210825,0.03204
67,310.469,12.5931,-0.0393692,0.330208,0.014836,0.0216682,0.0400188
68,311.765,10.5993,-0.0329747,0.276981,0.0148595,0.0222538,0.0419546
69,312.555,8.88466,-0.0274895,0.246633,0.0148831,0.0228394,0.0460494
70,310.17,11.9015,-0.0372165,0.317216,0.0149066,0.023425,0.0408392
71,305.914,18.3538,-0.0583091,0.505722,0.0149302,0.0240107,0.0104613
72,309.787,11.3832,-0.0358095,0.316496,0.0149537,0.0245963,-0.0265609
73,309.857,11.1685,-0.0351176,0.305942,0.0149772,0.0251819,-0.0188373
74,309.801,10.9565,-0.0344342,0.300327,0.0150008,0.0257675,-0.011537
75,310.167,10.7469,-0.0337594,0.27936,0.0150243,0.0263532,-0.00350587
76,312.825,7.56233,-0.0235804,0.197033,0.0150479,0.0269388,-0.0112514
77,314.232,6.20019,-0.0192464,0.160009,0.0150714,0.0275244,-0.00764739
78,315.186,6.03382,-0.0187192,0.137102,0.015095,0.02811,-0.0033202
79,317.397,4.08838,-0.0125905,0.0994659,0.0151185,0.0286957,-0.00727793
80,319.431,3.32109,-0.0101889,0.0736146,0.015142,0.0292813,-0.00719324
81,317.802,3.83378,-0.0118026,0.0872216,0.0151656,0.0298669,-0.00432665
82,317.635,3.71081,-0.0114159,0.0853916,0.0151891,0.0304525,-0.000685947
83,315.617,4.31594,-0.0133337,0.106943,0.0152127,0.0310382,0.000646933
84,316.26,4.17856,-0.0128999,0.0941496,0.0152362,0.0316238,0.00468768
85,314.552,4.88766,-0.0151548,0.113109,0.0152598,0.0322094,0.00758322
86,314.754,4.73356,-0.0146659,0.105842,0.0152833,0.032795,0.0115628
87,316.342,3.77346,-0.0116316,0.0818701,0.0153068,0.0333807,0.0120144
88,317.334,3.00405,-0.00920762,0.0682782,0.0153304,0.0339663,0.0138822
89,314.712,4.27118,-0.0132344,0.0935234,0.0153539,0.0345519,0.0126303
90,314.446,4.12481,-0.0127696,0.0927936,0.0153775,0.0351375,0.0166672
91,310.958,5.8374,-0.0182778,0.144619,0.015401,0.0357232,0.00916796
92,311.467,5.64899,-0.0176723,0.128839,0.0140272,0.00204237,0.0158337
93,309.565,6.621,-0.0208116,0.162016,0.0140206,0.00189108,0.0164585
94,309.625,6.43351,-0.0202053,0.154729,0.014014,0.0017398,0.0227236
95,309.653,6.24779,-0.0196048,0.148322,0.0140074,0.00158851,0.0287847
96,310.385,6.06348,-0.0190103,0.128246,0.0140008,0.00143722,0.0347216
97,311.069,4.83531,-0.0150614,0.111784,0.0139942,0.00128594,0.0383876
98,310.315,5.6977,-0.01784,0.119256,0.0139876,0.00113465,0.042438
99,308.805,6.7054,-0.0211025,0.142464,0.013981,0.000983363,0.0463713
100,312.9,3.53811,-0.0109794,0.0744309,0.0139745,0.000832077,0.0282488
101,312.751,3.4093,-0.0105671,0.0727324,0.0139679,0.00068079,0.031709
102,314.96,2.64631,-0.00814417,0.0493061,0.0139613,0.000529503,0.0319193
103,314.478,2.54074,-0.00780815,0.0502815,0.0139547,0.000378217,0.034967
104,318.215,1.55712,-0.00471681,0.0265908,0.0139481,0.00022693,0.0295743
105,318.325,1.19792,-0.00358821,0.0246246,0.0139415,7.56433e-05,0.0310784
106,321.204,0.73305,-0.00214079,0.0144719,0.0139349,-7.56433e-05,0.0309468
107,319.551,1.08131,-0.00323055,0.0178137,0.0139283,-0.00022693,0.0311725
108,320.333,0.821316,-0.00241878,0.0145816,0.0139217,-0.000378217,0.0319213
109,319.538,0.973419,-0.00289468,0.0156605,0.0139152,-0.000529503,0.0327975
110,317.674,1.15445,-0.00346441,0.0199717,0.0139086,-0.00068079,0.033921
111,316.793,1.09509,-0.00327691,0.0217907,0.013902,-0.000832077,0.0352007
112,316.693,1.31437,-0.00396916,0.0207517,0.0138954,-0.000983363,0.0366119
113,316.43,1.24642,-0.00375426,0.0202686,0.0138888,-0.00113465,0.0381926
114,321.22,0.45807,-0.00129986,0.00817305,0.0138822,-0.00128594,0.0323571
115,324.835,0.269244,-0.000718498,0.00387768,0.0138756,-0.00143722,0.0319727
116,322.875,0.318055,-0.00086964,0.00514983,0.013869,-0.00158851,0.0321196
117,321.55,0.376699,-0.00105198,0.00604165,0.0138624,-0.0017398,0.0323934
118,321.007,0.447501,-0.00127249,0.006157,0.0138558,-0.00189108,0.0328662
119,321.921,0.329535,-0.000905986,0.00472093,0.0138493,-0.00204237,0.0331579
120,320.595,0.391183,-0.00109824,0.00557963,0.0138427,-0.00219366,0.0335149
121,320.246,0.365373,-0.00101759,0.00547061,0.0138361,-0.00234494,0.0340245
122,322.549,0.267591,-0.000714392,0.00320911,0.0138295,0.00140582,0.0339552
123,320.46,0.316896,-0.000868223,0.0043585,0.0138229,0.00131798,0.0343072
124,323.783,0.18247,-0.000453015,0.00204968,0.0138163,0.00123014,0.0337423
125,325.378,0.135323,-0.000308094,0.00132881,0.0138097,0.0011423,0.0337468
126,327.742,0.0838563,-0.000151046,0.000714757,0.0138031,0.00105446,0.0336373
127,326.696,0.0952516,-0.000185918,0.00079603,0.0137965,0.000966626,0.0337171
128,326.155,0.0891003,-0.000167047,0.000788015,0.0137899,0.000878787,0.0338292
129,325.821,0.0834146,-0.000149587,0.000752589,0.0137834,0.000790948,0.0339237
130,326.169,0.0781574,-0.000133459,0.000607612,0.0137768,0.00070311,0.0340196
131,330.873,0.0477676,-4.16028e-05,0.000183429,0.0137702,0.000615271,0.0338189
132,327.779,0.0585909,-7.46175e-05,0.000315616,0.0137636,0.000527432,0.0338172
133,331.173,0.0442601,-3.1338e-05,0.000124879,0.013757,0.000439594,0.0337569
134,329.318,0.046966,-3.95498e-05,0.000160136,0.0137504,0.000351755,0.0337814
135,327.478,0.0501244,-4.9189e-05,0.000213957,0.0137438,0.000263916,0.0338021
136,328.353,0.0478642,-4.22998e-05,0.000145764,0.0137372,0.000176077,0.0338291
137,331.839,0.0377027,-1.16726e-05,5.02428e-05,0.0137306,8.82387e-05,0.033779
138,328.957,0.0407937,-2.10646e-05,8.69574e-05,0.013724,4e-07,0.0337774
139,327.32,0.0424197,-2.60278e-05,0.000111299,0.0137175,-8.74387e-05,0.033789
140,327.513,0.0410669,-2.18922e-05,8.73034e-05,0.0137109,-0.000175277,0.0338096
141,324.09,0.0528524,-5.82523e-05,0.000181265,0.0137043,-0.000263116,0.0337921
142,324.787,0.0447966,-3.34428e-05,0.000122655,0.0136977,-0.000350955,0.0338122
143,332.101,0.0348946,-3.62157e-06,1.3217e-05,0.0136911,-0.000438794,0.0336787
144,335.138,0.0341127,-1.28466e-06,4.40755e-06,0.0136845,-0.000526632,0.0336778
145,340.48,0.0337399,-1.85779e-07,7.35925e-07,0.0136779,-0.000614471,0.0336759
146,340.078,0.0337517,-2.16758e-07,6.1802e-07,0.0136713,-0.00070231,0.0336773
147,340.109,0.0337347,-1.63287e-07,4.53182e-07,0.0136647,-0.000790148,0.0336788
148,340.367,0.0337069,-7.77588e-08,3.06894e-07,0.0136581,-0.000877987,0.0336801
149,339.188,0.0337122,-8.95573e-08,3.17806e-07,0.0136516,-0.000965826,0.0336815
150,334.593,0.0337692,-2.56422e-07,9.65871e-07,0.013645,-0.00105366,0.0336825
151,337.488,0.0337091,-7.45408e-08,2.78831e-07,0.0136384,-0.0011415,0.0336837
152,337.555,0.0337032,-5.31565e-08,1.91799e-07,0.0136318,-0.00122934,0.033685
153,338.572,0.0336991,-3.73522e-08,9.46546e-08,0.0136252,0.0313086,0.0336863
154,338.957,0.0336929,-1.55705e-08,5.57619e-08,0.0136186,0.0316445,0.0336876
155,341.217,0.033691,-6.25077e-09,1.64991e-08,0.013612,0.0319804,0.0336889
156,345.75,0.0336904,-8.45421e-10,2.18396e-09,0.0136054,0.0323163,0.0336901
157,341.776,0.0336919,-1.50977e-09,5.40615e-09,0.0135988,0.0326521,0.0336914
