tau,s_tmp,cash,delta,pv,r,q,PL
496,160.831,-0.0308499,0.00337627,0.523448,0.0144386,0.199448,-0.0112888
497,160.441,-0.0308554,0.00337815,0.522415,0.0144321,0.200152,-0.0112767
498,160.459,-0.0308614,0.00338004,0.522762,0.0144255,0.200857,-0.0112659
499,164.618,-0.0366874,0.00341729,0.537181,0.0144189,0.201562,-0.0113215
500,162.232,-0.0327651,0.003395,0.52935,0.0144123,0.202267,-0.0113382
501,162.177,-0.0327742,0.00339693,0.529456,0.0144058,0.202972,-0.0113263
502,162.685,-0.0327841,0.00339888,0.531481,0.0143992,0.203677,-0.0113177
503,165.549,-0.0368216,0.00342517,0.541567,0.0143926,0.204382,-0.0113556
504,166.426,-0.0390312,0.00344036,0.544882,0.014386,0.205086,-0.0113478
505,166.246,-0.0390478,0.00344239,0.54457,0.0143795,0.205791,-0.0113345
506,164.993,-0.0368841,0.00343121,0.540571,0.0143729,0.206496,-0.0113283
507,168.692,-0.0439595,0.0034751,0.553642,0.0143663,0.207201,-0.0113804
508,169.274,-0.0439815,0.0034772,0.555977,0.0143597,0.207906,-0.0113593
509,168.153,-0.0415347,0.00346462,0.552403,0.0143532,0.208611,-0.0113508
510,171.899,-0.04934,0.00351004,0.565444,0.0143466,0.00164239,-0.0114118
511,173.095,-0.049177,0.0035091,0.569624,0.01434,0.00153283,-0.0113938
512,174.828,-0.0550468,0.00354268,0.575715,0.0143334,0.00142328,-0.0114032
513,173.128,-0.048916,0.00350726,0.569702,0.0143268,0.00131372,-0.011412
514,168.611,-0.0410803,0.00346079,0.553916,0.0143203,0.00120417,-0.0114689
515,169.627,-0.0433996,0.00347447,0.557426,0.0143137,0.00109461,-0.0114625
516,171.941,-0.0485799,0.00350459,0.565481,0.0143071,0.000985055,-0.0114772
517,169.203,-0.0432144,0.00347288,0.55592,0.0143005,0.000875499,-0.0115127
518,169.27,-0.0430812,0.00347209,0.556136,0.014294,0.000765944,-0.0114961
519,169.147,-0.0429484,0.0034713,0.555693,0.0142874,0.000656388,-0.0114809
520,170.058,-0.0428152,0.00347051,0.55884,0.0142808,0.000546832,-0.0114669
521,172.718,-0.0479558,0.00350027,0.568105,0.0142742,0.000437276,-0.0115005
522,173.378,-0.0506357,0.00351572,0.570399,0.0142677,0.000327721,-0.0114865
523,174.002,-0.0504826,0.00351483,0.572569,0.0142611,0.000218165,-0.0114638
524,177.951,-0.0597698,0.00356701,0.586522,0.0142545,0.000108609,-0.0115383
525,177.757,-0.0595934,0.00356601,0.585806,0.0142479,-9.46379e-07,-0.0115174
526,174.321,-0.0502119,0.00351217,0.573627,0.0142414,-0.000110502,-0.0115936
527,173.735,-0.0500606,0.00351129,0.571545,0.0142348,-0.000220058,-0.0115718
528,175.267,-0.0528561,0.00352723,0.576912,0.0142282,-0.000329613,-0.0115615
529,175.09,-0.0526984,0.00352631,0.576266,0.0142216,-0.000439169,-0.0115428
530,176.929,-0.0556317,0.00354287,0.582738,0.0142151,-0.000548725,-0.0115335
531,175.907,-0.0523989,0.00352447,0.579101,0.0142085,-0.000658281,-0.0115203
532,175.615,-0.0522409,0.00352356,0.578045,0.0142019,-0.000767836,-0.0114971
533,172.461,-0.0464597,0.00349001,0.566956,0.0141953,-0.000877392,-0.011525
534,174.376,-0.0490895,0.00350507,0.57364,0.0141888,-0.000986948,-0.0115284
535,172.194,-0.0462031,0.00348829,0.565983,0.0141822,-0.0010965,-0.0115234
536,171.635,-0.0434584,0.00347228,0.564016,0.0141756,-0.00120606,-0.0115105
537,169.362,-0.0408796,0.00345703,0.556111,0.014169,-0.00131561,-0.0115017
538,168.067,-0.0384476,0.00344253,0.551625,0.0141625,-0.00142517,-0.0114963
539,166.705,-0.0361598,0.00342879,0.546926,0.0141559,-0.00153473,-0.01149
540,163.367,-0.0321419,0.0034042,0.535508,0.0141493,0.00146979,-0.0115166
541,158.696,-0.0271263,0.0033726,0.519682,0.0141427,0.00137177,-0.0115904
542,160.13,-0.0285876,0.00338173,0.524513,0.0141362,0.00127375,-0.0115846
543,158.578,-0.0269666,0.00337151,0.519269,0.0141296,0.00117572,-0.0115877
544,159.147,-0.0268795,0.00337097,0.521177,0.014123,0.0010777,-0.0115773
545,157.216,-0.0253801,0.00336143,0.514671,0.0141164,0.000979679,-0.0115798
546,155.989,-0.0239914,0.00335253,0.510545,0.0141099,0.000881657,-0.0115783
547,154.342,-0.0227121,0.00334424,0.505025,0.0141033,0.000783635,-0.01158
548,151.001,-0.020534,0.00332982,0.493878,0.0146978,0.000685613,-0.0116057
549,148.052,-0.0187062,0.00331747,0.484079,0.0146934,0.000587591,-0.0116264
550,148.335,-0.0186549,0.00331713,0.485013,0.014689,0.000489569,-0.0116214
551,148.944,-0.0186035,0.00331678,0.487028,0.0146847,0.000391546,-0.0116171
552,150.032,-0.0194008,0.00332209,0.490635,0.0146803,0.000293524,-0.0116152
553,148.475,-0.0185097,0.00331609,0.485463,0.0146759,0.000195502,-0.0116163
554,148.001,-0.018459,0.00331574,0.483888,0.0146715,9.74801e-05,-0.0116135
555,145.75,-0.0169733,0.00330554,0.476433,0.0146671,-5.42045e-07,-0.0116231
556,142.614,-0.0157605,0.00329703,0.466076,0.0146627,-9.85642e-05,-0.0116337
557,144.186,-0.0162871,0.00330068,0.471258,0.0146584,-0.000196586,-0.0116336
558,146.792,-0.0175529,0.00330929,0.479866,0.014654,-0.000294608,-0.0116404
559,145.228,-0.0168369,0.00330436,0.474691,0.0146496,-0.000392631,-0.0116429
560,146.522,-0.0174676,0.00330865,0.478963,0.0146452,-0.000490653,-0.0116404
561,144.788,-0.0161566,0.00329959,0.473229,0.0146408,-0.000588675,-0.0116453
562,147.577,-0.0174011,0.00330801,0.482443,0.0146364,-0.000686697,-0.0116577
563,145.875,-0.0166968,0.00330317,0.476809,0.0146321,-0.000784719,-0.0116563
564,147.667,-0.0173185,0.00330737,0.482729,0.0146277,-0.000882741,-0.011659
565,147.349,-0.0172731,0.00330705,0.481671,0.0146233,-0.000980763,-0.0116546
566,145.215,-0.0165831,0.00330228,0.474615,0.0146189,-0.00107879,-0.0116573
567,144.037,-0.0159614,0.00329795,0.470723,0.0146145,-0.00117681,-0.0116576
568,144.162,-0.0159243,0.00329767,0.47113,0.0146101,-0.00127483,-0.0116547
569,143.396,-0.0153674,0.00329377,0.4686,0.0146058,-0.00137285,-0.0116536
570,141.236,-0.0148761,0.00329053,0.461518,0.0146014,0.0268322,-0.0116528
571,140.993,-0.0148496,0.00329058,0.460751,0.014597,0.0268335,-0.0116511
572,143.866,-0.0158015,0.00329744,0.470244,0.0145926,0.0268347,-0.0116565
573,142.48,-0.0152636,0.0032939,0.465709,0.0145882,0.026836,-0.0116574
574,141.613,-0.0147817,0.00329073,0.462886,0.0145838,0.0268373,-0.0116569
575,143.657,-0.0157164,0.00329748,0.46965,0.0145795,0.0268386,-0.0116608
576,146.498,-0.0168661,0.00330557,0.479057,0.0145751,0.0268399,-0.0116646
577,148.376,-0.0175097,0.00331014,0.485298,0.0145707,0.0268412,-0.0116623
578,146.435,-0.0167974,0.00330552,0.478913,0.0145663,0.0268425,-0.0116668
579,147.074,-0.0167588,0.00330549,0.481055,0.0145619,0.0268437,-0.0116621
580,144.464,-0.015579,0.00329756,0.47247,0.0145575,0.026845,-0.0116699
581,145.666,-0.0160927,0.00330133,0.476468,0.0145532,0.0268463,-0.0116693
582,146.726,-0.0166588,0.00330543,0.480001,0.0145488,0.0268476,-0.0116683
583,145.059,-0.01603,0.00330133,0.474529,0.0145444,0.0268489,-0.0116714
584,143.046,-0.014991,0.0032943,0.467923,0.01454,0.0268502,-0.011677
585,143.241,-0.0149628,0.00329435,0.468598,0.0145356,0.0268515,-0.011675
586,145.547,-0.0159453,0.00330133,0.476235,0.0145312,0.0268527,-0.0116808
587,144.954,-0.0159112,0.00330134,0.47431,0.0145268,0.026854,-0.0116794
588,142.596,-0.0148984,0.00329447,0.466568,0.0145225,0.0268553,-0.0116874
589,143.565,-0.0153362,0.00329776,0.469793,0.0145181,0.0268566,-0.0116864
590,144.324,-0.0153055,0.00329779,0.472328,0.0145137,0.0268579,-0.0116833
591,142.529,-0.0148184,0.00329461,0.466443,0.0145093,0.0268592,-0.0116842
592,143.513,-0.0152481,0.00329784,0.469718,0.0145049,0.0268605,-0.0116831
593,143.54,-0.0152179,0.00329787,0.469839,0.0145005,0.0268618,-0.0116809
594,141.118,-0.0143437,0.00329191,0.461892,0.0144962,0.026863,-0.0116881
595,140.37,-0.0139646,0.00328945,0.459463,0.0144918,0.0268643,-0.0116875
596,141.163,-0.0142975,0.00329205,0.462104,0.0144874,0.0268656,-0.0116869
597,138.809,-0.0136177,0.00328739,0.454392,0.014483,0.0268669,-0.0116908
598,140.623,-0.0142586,0.00329218,0.460391,0.0144786,0.0268682,-0.0116934
599,139.83,-0.0138907,0.00328979,0.457814,0.0144742,0.0268695,-0.0116931
600,137.959,-0.0135685,0.00328769,0.451693,0.0144699,0.0268708,-0.0116943
601,139.23,-0.0138495,0.00328972,0.455872,0.0144655,0.00117624,-0.0116939
602,135.604,-0.0130468,0.0032838,0.443955,0.0144611,0.00109216,-0.0117047
603,134.815,-0.0130312,0.00328369,0.441364,0.0144567,0.00100808,-0.0117041
604,133.741,-0.0128195,0.00328211,0.437838,0.0144523,0.000923993,-0.0117044
605,133.272,-0.0128061,0.00328202,0.436299,0.0144479,0.000839912,-0.0117043
606,135.912,-0.0129884,0.00328336,0.444966,0.0144436,0.00075583,-0.0117057
607,137.748,-0.0134483,0.0032867,0.450996,0.0144392,0.000671748,-0.0117079
608,136.476,-0.0131812,0.00328475,0.446817,0.0144348,0.000587666,-0.0117088
609,135.776,-0.0129482,0.00328303,0.444517,0.0144304,0.000503584,-0.0117087
610,134.776,-0.0129333,0.00328292,0.441234,0.014426,0.000419503,-0.0117081
611,135.856,-0.0129185,0.00328281,0.444779,0.0144216,0.000335421,-0.0117075
612,135.982,-0.0131141,0.00328425,0.445192,0.0144173,0.000251339,-0.0117069
613,135.468,-0.0128899,0.00328259,0.443503,0.0144129,0.000167257,-0.0117067
614,136.381,-0.0130823,0.003284,0.446499,0.0144085,8.31752e-05,-0.0117067
615,137.973,-0.013301,0.00328558,0.451727,0.0144041,-9.06593e-07,-0.0117065
616,137.29,-0.0130504,0.00328375,0.449482,0.0143997,-8.49884e-05,-0.0117063
617,140.076,-0.0135332,0.00328719,0.458635,0.0143953,-0.00016907,-0.0117115
618,139.719,-0.0135122,0.00328704,0.457459,0.014391,-0.000253152,-0.01171
619,140.751,-0.0137859,0.00328897,0.46085,0.0143866,-0.000337234,-0.0117098
620,140.582,-0.0137625,0.0032888,0.460292,0.0143822,-0.000421316,-0.0117088
621,140.393,-0.0134504,0.00328657,0.459669,0.0143778,-0.000505398,-0.0117079
622,140.642,-0.0137167,0.00328845,0.460485,0.0143734,-0.000589479,-0.0117069
623,140.639,-0.0136937,0.00328828,0.460472,0.014369,-0.000673561,-0.0117057
624,140.797,-0.0136708,0.00328811,0.460989,0.0143647,-0.000757643,-0.0117044
625,143.846,-0.0143293,0.00329267,0.471016,0.0143603,-0.000841725,-0.0117079
626,142.937,-0.0139456,0.00328998,0.468021,0.0143559,-0.000925807,-0.0117077
627,145.63,-0.0146795,0.003295,0.476884,0.0143515,-0.00100989,-0.0117127
628,146.708,-0.015094,0.00329781,0.480434,0.0143471,-0.00109397,-0.011712
629,146.073,-0.0146172,0.00329453,0.478336,0.0143427,-0.00117805,-0.0117109
630,147.222,-0.0150265,0.0032973,0.482119,0.0143384,-0.00126213,-0.0117106
631,147.104,-0.0149916,0.00329707,0.481728,0.014334,0.00107018,-0.0117082
632,146.922,-0.0149568,0.00329684,0.481127,0.0143296,0.000993745,-0.0117063
633,146.624,-0.0149223,0.00329661,0.480144,0.0143252,0.00091731,-0.0117047
634,145.447,-0.0144657,0.00329347,0.476265,0.0143208,0.000840875,-0.0117052
635,142.463,-0.0137403,0.00328838,0.466445,0.0143164,0.00076444,-0.0117126
636,143.386,-0.0137163,0.00328822,0.46948,0.0143121,0.000688005,-0.0117118
637,143.774,-0.0140175,0.00329031,0.470755,0.0143077,0.00061157,-0.0117107
638,140.087,-0.0131518,0.00328413,0.458634,0.0143033,0.000535135,-0.0117218
639,141.577,-0.0133824,0.00328576,0.463529,0.0142989,0.0004587,-0.0117229
640,141.814,-0.0133638,0.00328563,0.464307,0.0142945,0.000382265,-0.0117221
641,142.68,-0.0136221,0.00328744,0.467152,0.0142901,0.00030583,-0.0117219
642,144.353,-0.0139143,0.00328946,0.472652,0.0142858,0.000229395,-0.0117227
643,143.544,-0.0138909,0.0032893,0.46999,0.0142814,0.00015296,-0.0117221
644,142.762,-0.0135629,0.003287,0.467417,0.014277,7.65248e-05,-0.0117219
645,141.673,-0.0132768,0.00328497,0.463837,0.0142726,8.97964e-08,-0.011722
646,144.881,-0.0138321,0.0032888,0.474382,0.0142682,-7.63452e-05,-0.0117295
647,146.124,-0.0141512,0.00329098,0.478471,0.0142638,-0.00015278,-0.0117305
648,147.088,-0.0145086,0.00329341,0.481642,0.0142595,-0.000229215,-0.01173
649,147.306,-0.0144796,0.0032932,0.482357,0.0142551,-0.00030565,-0.0117285
650,149.294,-0.014879,0.00329587,0.488906,0.0142507,-0.000382085,-0.0117312
651,152.47,-0.0164657,0.00330627,0.499385,0.0142463,-0.00045852,-0.0117444
652,154.035,-0.0170826,0.00331026,0.504556,0.0142419,-0.000534955,-0.0117418
653,152.768,-0.0163826,0.00330567,0.500361,0.0142375,-0.00061139,-0.0117431
654,150.127,-0.0152447,0.00329808,0.491638,0.0142332,-0.000687825,-0.0117516
655,150.855,-0.0157271,0.00330127,0.494036,0.0142288,-0.00076426,-0.0117504
656,152.148,-0.0156878,0.003301,0.4983,0.0142244,-0.000840695,-0.0117474
657,151.331,-0.0156489,0.00330073,0.495598,0.01422,-0.00091713,-0.0117444
658,151.798,-0.01561,0.00330046,0.497135,0.0142156,-0.000993565,-0.0117418
659,151.151,-0.0155714,0.00330019,0.494996,0.0142112,-0.00107,-0.0117399
660,150.341,-0.0150356,0.00329661,0.49232,0.0142068,-0.00114644,-0.0117392
661,149.161,-0.0145661,0.00329378,0.488475,0.0142025,0.0348326,-0.0117383
662,147.453,-0.0141537,0.00329129,0.482895,0.0141981,0.0348651,-0.0117376
663,147.275,-0.0141303,0.00329144,0.482353,0.0141937,0.0348976,-0.0117359
664,146.317,-0.0137708,0.0032893,0.479245,0.0141893,0.0349301,-0.0117354
665,145.432,-0.0137504,0.00328947,0.476377,0.0141849,0.0349626,-0.0117337
666,140.467,-0.0129802,0.0032843,0.460105,0.0141805,0.0349951,-0.0117502
667,141.755,-0.0129665,0.00328451,0.464379,0.0141762,0.0350276,-0.0117495
668,143.168,-0.0131726,0.00328626,0.469066,0.0141718,0.0350601,-0.0117505
669,144.297,-0.0134069,0.0032882,0.472821,0.0141674,0.0350926,-0.0117508
670,146.237,-0.0136741,0.00329034,0.479248,0.014163,0.0351251,-0.0117526
671,144.093,-0.0133759,0.00328858,0.472239,0.0141586,0.0351576,-0.0117528
672,143.551,-0.0133587,0.00328878,0.470501,0.0141542,0.0351901,-0.0117525
673,142.288,-0.0131032,0.00328729,0.466393,0.0141499,0.0352225,-0.0117535
674,139.313,-0.0127078,0.00328477,0.456662,0.0141455,0.035255,-0.0117585
675,139.008,-0.0126967,0.003285,0.455704,0.0141411,0.0352875,-0.0117583
676,140.53,-0.0128614,0.00328649,0.460747,0.0141367,0.03532,-0.011758
677,139.566,-0.0126757,0.00328548,0.457623,0.0141323,0.0353525,-0.0117584
678,138.296,-0.0125173,0.00328464,0.453495,0.0141279,0.035385,-0.0117589
679,138.355,-0.012508,0.00328489,0.453732,0.0141236,0.0354175,-0.0117587
680,137.33,-0.0123745,0.00328424,0.450409,0.0141192,0.03545,-0.0117589
681,138.594,-0.0124907,0.00328539,0.454604,0.0141148,0.0354825,-0.0117596
682,137.016,-0.0123602,0.00328475,0.449463,0.0141104,0.035515,-0.0117598
683,135.945,-0.0122499,0.00328426,0.445989,0.014106,0.0355475,-0.01176
684,135.759,-0.0122435,0.00328453,0.445421,0.0141016,0.03558,-0.0117599
685,138.838,-0.0124588,0.0032864,0.455581,0.0140973,0.0356125,-0.011763
686,137.019,-0.0123335,0.0032858,0.449647,0.0140929,0.035645,-0.0117632
687,137.972,-0.0124422,0.0032869,0.452822,0.0140885,0.0356775,-0.0117634
688,137.649,-0.0124335,0.00328716,0.451804,0.0140841,0.03571,-0.0117634
689,137.909,-0.0124249,0.00328742,0.452702,0.0140797,0.0357425,-0.0117631
690,136.61,-0.0123041,0.00328654,0.448434,0.0140753,0.00102348,-0.0117637
691,134.723,-0.0122033,0.00328579,0.442234,0.014071,0.000955243,-0.0117648
692,137.218,-0.0122898,0.00328643,0.450433,0.0140666,0.000887008,-0.0117656
693,136.189,-0.0122819,0.00328638,0.447052,0.0140622,0.000818774,-0.0117656
694,135.38,-0.0121844,0.00328566,0.444394,0.0140578,0.000750539,-0.0117659
695,135.977,-0.0121778,0.00328561,0.446356,0.0140534,0.000682304,-0.0117661
696,133.837,-0.012098,0.00328502,0.439325,0.014049,0.000614069,-0.0117665
697,133.129,-0.0120927,0.00328498,0.437,0.0140447,0.000545834,-0.0117667
698,134.956,-0.0121595,0.00328548,0.443002,0.0140403,0.0004776,-0.011767
699,135.435,-0.0121533,0.00328543,0.444576,0.0140359,0.000409365,-0.011767
700,134.348,-0.0120774,0.00328486,0.441005,0.0140315,0.00034113,-0.0117673
701,134.471,-0.0120723,0.00328483,0.441409,0.0140271,0.000272895,-0.0117675
702,135.081,-0.0121355,0.00328529,0.443413,0.0140227,0.00020466,-0.0117677
