numMC,PL,,
398,-1.23115,-0.98492,
399,-0.46219,-0.369752,
400,-0.023386,-0.0187088,
401,0.103484,0.0827872,
402,1.76522,1.412176,
403,-0.0507814,-0.04062512,
404,-1.94097,-1.552776,
405,0.340868,0.2726944,
406,0.554422,0.4435376,
407,0.614668,0.4917344,
408,-1.48603,-1.188824,
409,0.0550354,0.04402832,
410,0.933054,0.7464432,
411,-0.177793,-0.1422344,
412,0.467108,0.3736864,
413,-0.606463,-0.4851704,
414,1.19017,0.952136,
415,-0.39216,-0.313728,
416,-0.457397,-0.3659176,
417,-0.174662,-0.1397296,
418,0.221077,0.1768616,
419,-0.387178,-0.3097424,
420,0.213141,0.1705128,
421,-0.339991,-0.2719928,
422,1.43672,1.149376,
423,-0.0217216,-0.01737728,
424,0.775788,0.6206304,
425,0.307706,0.2461648,
426,-1.36979,-1.095832,
427,0.587582,0.4700656,
428,1.31812,1.054496,
429,-0.528232,-0.4225856,
430,1.22353,0.978824,
431,0.492197,0.3937576,
432,0.200103,0.1600824,
433,0.115014,0.0920112,
434,0.756576,0.6052608,
435,0.466732,0.3733856,
436,0.582032,0.4656256,
437,0.977966,0.7823728,
438,0.897173,0.7177384,
439,1.14006,0.912048,
440,0.395118,0.3160944,
441,0.268336,0.2146688,
442,-0.328134,-0.2625072,
443,0.664068,0.5312544,
444,-0.645002,-0.5160016,
445,1.31713,1.053704,
446,-1.39889,-1.119112,
447,0.215292,0.1722336,
448,1.35862,1.086896,
449,0.654234,0.5233872,
450,-0.0804479,-0.06435832,
451,-0.874958,-0.6999664,
452,-0.901293,-0.7210344,
453,0.482143,0.3857144,
454,2.37011,1.896088,
455,-0.951228,-0.7609824,
456,1.95118,1.560944,
457,0.188304,0.1506432,
458,0.147004,0.1176032,
459,1.85894,1.487152,
460,0.384978,0.3079824,
461,0.846102,0.6768816,
462,0.0367122,0.02936976,
463,1.32485,1.05988,
464,0.485851,0.3886808,
465,1.54899,1.239192,
466,-0.632576,-0.5060608,
467,-0.486624,-0.3892992,
468,0.870821,0.6966568,
469,0.849771,0.6798168,
470,-0.196643,-0.1573144,
471,0.716772,0.5734176,
472,0.0864461,0.06915688,
473,2.31135,1.84908,
474,-0.897412,-0.7179296,
475,0.364429,0.2915432,
476,0.461645,0.369316,
477,-0.256114,-0.2048912,
478,-0.135485,-0.108388,
479,1.07629,0.861032,
480,-1.66861,-1.334888,
481,-1.03604,-0.828832,
482,0.0388959,0.03111672,
483,2.22316,1.778528,
484,0.766342,0.6130736,
485,0.288065,0.230452,
486,0.58825,0.4706,
487,-0.0546771,-0.04374168,
488,-0.0990564,-0.07924512,
489,1.0039,0.80312,
490,1.50493,1.203944,
491,0.934636,0.7477088,
492,1.45658,1.165264,
493,-0.19823,-0.158584,
494,-0.578655,-0.462924,
495,1.34682,1.077456,
496,0.0462936,0.03703488,
497,1.50487,1.203896,
498,-0.0325379,-0.02603032,
499,0.338342,0.2706736,
500,0.989498,0.7915984,
501,-1.15881,-0.927048,
502,1.57507,1.260056,
503,0.199138,0.1593104,
504,0.623603,0.4988824,
505,2.35788,1.886304,
506,0.283268,0.2266144,
507,0.262133,0.2097064,
508,-1.53471,-1.227768,
509,2.13738,1.709904,
510,1.32491,1.059928,
511,0.503734,0.4029872,
512,0.816156,0.6529248,
513,1.01928,0.815424,
514,-2.16365,-1.73092,
515,-0.130261,-0.1042088,
516,0.839585,0.671668,
517,0.650493,0.5203944,
518,1.41771,1.134168,
519,0.793976,0.6351808,
520,0.53643,0.429144,
521,1.55902,1.247216,
522,0.636209,0.5089672,
523,-0.178341,-0.1426728,
524,-1.77502,-1.420016,
525,0.24847,0.198776,
526,0.463396,0.3707168,
527,-1.20588,-0.964704,
