PX, uold, uold-volup,조기상환형 베가
353.692,1.01298,1.01176,-0.12%
355.178,1.01306,1.01192,-0.11%
356.664,1.01314,1.01206,-0.11%
358.15,1.01322,1.0122,-0.10%
359.636,1.01328,1.01232,-0.10%
361.122,1.01334,1.01244,-0.09%
362.608,1.0134,1.01254,-0.09%
364.095,1.01345,1.01264,-0.08%
365.581,1.01349,1.01273,-0.08%
367.067,1.01354,1.01282,-0.07%
368.553,1.01358,1.0129,-0.07%
370.039,1.01361,1.01297,-0.06%
371.525,1.01365,1.01304,-0.06%
373.011,1.01368,1.0131,-0.06%
374.497,1.01371,1.01316,-0.06%
375.983,1.01373,1.01322,-0.05%
377.469,1.01376,1.01327,-0.05%
378.956,1.01378,1.01332,-0.05%
380.442,1.0138,1.01337,-0.04%
381.928,1.01382,1.01341,-0.04%
383.414,1.01383,1.01345,-0.04%
384.9,1.01385,1.01349,-0.04%
386.386,1.01387,1.01352,-0.04%
387.872,1.01388,1.01355,-0.03%
389.358,1.01389,1.01359,-0.03%
390.844,1.01391,1.01361,-0.03%
392.33,1.01392,1.01364,-0.03%
393.817,1.01393,1.01367,-0.03%
395.303,1.01394,1.01369,-0.03%
396.789,1.01395,1.01372,-0.02%
398.275,1.01396,1.01374,-0.02%
399.761,1.01396,1.01376,-0.02%
401.247,1.01397,1.01378,-0.02%
402.733,1.01398,1.01379,-0.02%
404.219,1.01398,1.01381,-0.02%
405.705,1.01399,1.01383,-0.02%
407.191,1.014,1.01384,-0.02%
408.678,1.014,1.01385,-0.02%
410.164,1.01401,1.01387,-0.01%
411.65,1.01401,1.01388,-0.01%
413.136,1.01401,1.01389,-0.01%
414.622,1.01402,1.0139,-0.01%
416.108,1.01402,1.01391,-0.01%
417.594,1.01402,1.01392,-0.01%
419.08,1.01403,1.01393,-0.01%
420.566,1.01403,1.01394,-0.01%
422.052,1.01403,1.01395,-0.01%
423.539,1.01404,1.01395,-0.01%
425.025,1.01404,1.01396,-0.01%
426.511,1.01404,1.01397,-0.01%
427.997,1.01404,1.01397,-0.01%
429.483,1.01404,1.01398,-0.01%
430.969,1.01405,1.01398,-0.01%
432.455,1.01405,1.01399,-0.01%
433.941,1.01405,1.01399,-0.01%
435.427,1.01405,1.014,0.00%
436.913,1.01405,1.014,0.00%
438.4,1.01405,1.01401,0.00%
439.886,1.01406,1.01401,0.00%
441.372,1.01406,1.01401,0.00%
442.858,1.01406,1.01402,0.00%
444.344,1.01406,1.01402,0.00%
445.83,1.01406,1.01402,0.00%
447.316,1.01406,1.01403,0.00%
448.802,1.01406,1.01403,0.00%
450.288,1.01406,1.01403,0.00%
451.774,1.01406,1.01403,0.00%
453.261,1.01406,1.01404,0.00%
454.747,1.01406,1.01404,0.00%
456.233,1.01406,1.01404,0.00%
457.719,1.01406,1.01404,0.00%
459.205,1.01407,1.01404,0.00%
460.691,1.01407,1.01405,0.00%
462.177,1.01407,1.01405,0.00%
463.663,1.01407,1.01405,0.00%
465.149,1.01407,1.01405,0.00%
466.635,1.01407,1.01405,0.00%
468.122,1.01407,1.01405,0.00%
469.608,1.01407,1.01405,0.00%
471.094,1.01407,1.01406,0.00%
472.58,1.01407,1.01406,0.00%
474.066,1.01407,1.01406,0.00%
475.552,1.01407,1.01406,0.00%
477.038,1.01407,1.01406,0.00%
478.524,1.01407,1.01406,0.00%
480.01,1.01407,1.01406,0.00%
481.496,1.01407,1.01406,0.00%
482.983,1.01407,1.01406,0.00%
484.469,1.01407,1.01406,0.00%
485.955,1.01407,1.01406,0.00%
487.441,1.01407,1.01406,0.00%
488.927,1.01407,1.01406,0.00%
490.413,1.01407,1.01406,0.00%
491.899,1.01407,1.01406,0.00%
493.385,1.01407,1.01407,0.00%
494.871,1.01407,1.01407,0.00%
496.357,1.01407,1.01407,0.00%
497.844,1.01407,1.01407,0.00%
499.33,1.01407,1.01407,0.00%
500.816,1.01407,1.01407,0.00%
502.302,1.01407,1.01407,0.00%
503.788,1.01407,1.01407,0.00%
505.274,1.01407,1.01407,0.00%
506.76,1.01407,1.01407,0.00%
508.246,1.01407,1.01407,0.00%
509.732,1.01407,1.01407,0.00%
511.218,1.01407,1.01407,0.00%
512.705,1.01407,1.01407,0.00%
514.191,1.01407,1.01407,0.00%
515.677,1.01407,1.01407,0.00%
517.163,1.01407,1.01407,0.00%
518.649,1.01407,1.01407,0.00%
520.135,1.01407,1.01407,0.00%
521.621,1.01407,1.01407,0.00%
523.107,1.01407,1.01407,0.00%
524.593,1.01407,1.01407,0.00%
526.079,1.01407,1.01407,0.00%
527.566,1.01407,1.01407,0.00%
529.052,1.01407,1.01407,0.00%
530.538,1.01407,1.01407,0.00%
532.024,1.01407,1.01407,0.00%
533.51,1.01407,1.01407,0.00%
534.996,1.01407,1.01407,0.00%
536.482,1.01407,1.01407,0.00%
537.968,1.01407,1.01407,0.00%
539.454,1.01407,1.01407,0.00%
540.94,1.01407,1.01407,0.00%
542.427,1.01407,1.01407,0.00%
543.913,1.01407,1.01407,0.00%
545.399,1.01407,1.01407,0.00%
546.885,1.01407,1.01407,0.00%
548.371,1.01407,1.01407,0.00%
549.857,1.01407,1.01407,0.00%
551.343,1.01407,1.01407,0.00%
552.829,1.01407,1.01407,0.00%
554.315,1.01407,1.01407,0.00%
555.801,1.01407,1.01407,0.00%
557.288,1.01407,1.01407,0.00%
558.774,1.01407,1.01407,0.00%
560.26,1.01407,1.01407,0.00%
561.746,1.01407,1.01407,0.00%
563.232,1.01407,1.01407,0.00%
564.718,1.01407,1.01407,0.00%
566.204,1.01407,1.01407,0.00%
567.69,1.01407,1.01407,0.00%
569.176,1.01407,1.01407,0.00%
570.662,1.01407,1.01407,0.00%
572.149,1.01407,1.01407,0.00%
573.635,1.01407,1.01407,0.00%
575.121,1.01407,1.01407,0.00%
576.607,1.01407,1.01407,0.00%
578.093,1.01407,1.01407,0.00%
579.579,1.01407,1.01407,0.00%
581.065,1.01407,1.01407,0.00%
582.551,1.01407,1.01407,0.00%
584.037,1.01407,1.01407,0.00%
585.523,1.01407,1.01407,0.00%
587.01,1.01407,1.01407,0.00%
588.496,1.01407,1.01407,0.00%
589.982,1.01407,1.01407,0.00%
591.468,1.01407,1.01407,0.00%
592.954,1.01407,1.01407,0.00%
594.44,1.01407,1.01407,0.00%
