numMC,PL,,,,
132,-0.00983218,0,,,
133,-7.90E-05,0,,,
134,0.00715347,0,,,
135,-0.00406727,0,,,
136,-0.00635037,0,,,
137,0.00281791,0,,,
138,-0.014377,1,,,
139,0.0105857,0,,,
140,0.000628968,0,,,
141,-0.000361789,0,,,
142,0.000289003,0,,,
143,0.00198508,0,,,
144,-0.00120009,0,,,
145,-0.0234625,1,,,
146,0.00103356,0,,,
147,-0.00594595,0,,,
148,0.00239818,0,,,
149,-0.000938919,0,,,
150,-0.00132765,0,,,
151,0.000118443,0,,,
152,7.04E-05,0,,,
153,0.113949,0,,,
154,0.00171482,0,,,
155,-0.00721567,0,,,
156,0.0102084,0,,,
157,-0.00638344,0,,,
158,-0.0370756,1,,,
159,0.00269732,0,,,
160,0.000485989,0,,,
161,0.00848344,0,,,
162,-0.00034703,0,,,
163,0.00161331,0,,,
164,-0.000702685,0,,,
165,-0.000851403,0,,,
166,-0.00113001,0,,,
167,0.00074793,0,,,
168,-0.00253669,0,,,
169,0.0170706,0,,,
170,0.00016087,0,,,
171,0.00900212,0,,,
172,-0.013748,1,,,
173,0.000296287,0,,,
174,-0.0015926,0,,,
175,-0.00506743,0,,,
176,0.00195145,0,,,
177,-0.000958859,0,,,
178,0.000428112,0,,,
179,-1.97E-05,0,,,
180,0.000113588,0,,,
181,0.00100387,0,,,
182,0.00101433,0,,,
183,-0.0106604,0,,,
184,-0.00206108,0,,,
185,-0.0028543,0,,,
186,0.00267593,0,,,
187,-0.000935913,0,,,
188,0.000288609,0,,,
189,0.000964309,0,,,
190,0.0044952,0,,,
191,0.00899918,0,,,
192,-0.0145768,1,,,
193,0.00442489,0,,,
194,0.00226597,0,,,
195,0.0010852,0,,,
196,0.000355734,0,,,
197,0.00288419,0,,,
198,-0.00508752,0,,,
199,-0.002088,0,,,
200,0.0128755,0,,,
201,-0.00285599,0,,,
202,-0.000641734,0,,,
203,0.00208674,0,,,
204,0.00367831,0,,,
205,-0.00235815,0,,,
206,-0.00819725,0,,,
207,-0.00280109,0,,,
208,-0.0059258,0,,,
209,-0.000155923,0,,,
210,-0.0052302,0,,,
211,0.0027439,0,,,
212,-0.00706537,0,,,
213,0.000626115,0,,,
214,-0.00359864,0,,,
215,-0.00717918,0,,,
216,-0.00176169,0,,,
217,-0.00751354,0,,,
218,0.00306125,0,,,
219,-0.000523817,0,,,
220,-0.00295346,0,,,
