tau,s_tmp,cash,delta,pv,r,q,PL
399,269.166,0.53867,0.00176169,1.01495,0.0132043,0.000216848,-0.00208923
400,263.43,0.444067,0.00212088,1.00411,0.0132025,0.000108324,-0.00134321
401,264.547,0.469856,0.00202346,1.00663,0.0132008,-2e-07,-0.00147166
402,265.224,0.470461,0.00202124,1.00817,0.013199,-0.000108724,-0.0016235
403,262.826,0.445948,0.00211457,1.00344,0.0131973,-0.000217248,-0.00172921
404,264.556,0.47183,0.0020168,1.00724,0.0131956,-0.000325772,-0.00185615
405,262.899,0.44725,0.00211036,1.00401,0.0131938,-0.000434297,-0.00194353
406,265.385,0.497871,0.00191967,1.00927,0.0131921,-0.000542821,-0.00194937
407,261.849,0.423077,0.00220538,1.00215,0.0131903,-0.000651345,-0.0015952
408,265.254,0.475474,0.00200789,1.00941,0.0131886,-0.000759869,-0.00133446
409,267.291,0.524943,0.00182288,1.01348,0.0131869,-0.000868393,-0.00130205
410,267.627,0.525617,0.00182043,1.01429,0.0131851,-0.000976917,-0.00148206
411,266.865,0.526289,0.00181797,1.01308,0.0131834,-0.00108544,-0.00163425
412,266.657,0.502939,0.00190561,1.01288,0.0131816,-0.00119397,-0.0018023
413,267.031,0.527669,0.00181306,1.01377,0.0131799,-0.00130249,-0.00196266
414,262.485,0.454638,0.00209135,1.00495,0.0131782,-0.00141101,-0.00135962
415,264.557,0.480869,0.00199225,1.00944,0.0131764,-0.00151954,-0.00150509
416,262.961,0.455937,0.00208712,1.00637,0.0131747,-0.00162806,-0.00160248
417,258.897,0.375917,0.00239626,0.997485,0.013173,-0.00173659,-0.00118502
418,258.75,0.37637,0.00239455,0.997353,0.0131712,-0.00184511,-0.00139424
419,253.344,0.277155,0.00278621,0.98365,0.0131695,-0.00195363,-0.000625928
420,250.364,0.225487,0.0029926,0.97537,0.0131677,-0.00206216,-0.000642479
421,249.664,0.22572,0.00299168,0.973513,0.013166,-0.00217068,-0.000876617
422,251.297,0.252422,0.00288544,0.978557,0.0131643,-0.00227921,-0.00103201
423,254.386,0.304448,0.00268094,0.987366,0.0131625,-0.00238773,-0.000923502
424,252.242,0.279421,0.00278018,0.981683,0.0131608,-0.00249626,-0.000982561
425,254.562,0.30538,0.00267823,0.988266,0.013159,-0.00260478,-0.00111052
426,258.74,0.382679,0.00237972,0.999077,0.0131573,0.0272845,-0.000668441
427,255.741,0.332879,0.00257468,0.991908,0.0131556,0.0273164,-0.00057759
428,252.471,0.283215,0.00277163,0.983393,0.0131538,0.0273484,-0.000420905
429,254.964,0.309725,0.00266791,0.990419,0.0131521,0.0273804,-0.000473413
430,257.264,0.360603,0.00247038,0.996559,0.0131503,0.0274124,-0.000414992
431,258.847,0.387988,0.00236482,1.00064,0.0131486,0.0274444,-0.00052699
432,262.643,0.47218,0.0020445,1.00929,0.0131469,0.0274764,-0.000139628
433,261.768,0.446262,0.00214373,1.00772,0.0131451,0.0275083,-0.000293589
434,263.322,0.474254,0.00203765,1.01119,0.0131434,0.0275403,-0.000383143
435,262.611,0.475213,0.00203421,1.00998,0.0131416,0.0275723,-0.000564077
436,261.553,0.449214,0.00213384,1.00803,0.0131399,0.0276043,-0.000700825
437,262.744,0.477258,0.00202733,1.01077,0.0131382,0.0276363,-0.000842453
438,257.599,0.369107,0.00244739,0.999521,0.0131364,0.0276682,3.07776e-05
439,258.159,0.396707,0.00234072,1.00113,0.0131347,0.0277002,-0.000149676
440,256.093,0.345988,0.002539,0.996348,0.0131329,0.0277322,-0.000140008
441,259.188,0.399015,0.00233465,1.00408,0.0131312,0.0277642,5.14029e-05
442,260.432,0.428638,0.00222114,1.00715,0.0131295,0.0277962,-5.24729e-05
443,259.703,0.429525,0.00221795,1.00578,0.0131277,0.0278281,-0.000246667
444,259.713,0.430414,0.00221476,1.00607,0.013126,0.0278601,-0.000453066
445,264.352,0.514053,0.00189859,1.01598,0.0131242,0.0278921,-2.57125e-05
446,263.158,0.488453,0.00199609,1.0139,0.0131225,0.0279241,-0.000164173
447,261.914,0.462022,0.00209722,1.01162,0.0131208,0.0279561,-0.000306315
448,262.195,0.462958,0.00209388,1.01245,0.013119,0.027988,-0.000490898
449,262.307,0.463895,0.00209053,1.01294,0.0131173,0.02802,-0.000684303
450,261.689,0.46483,0.00208718,1.01194,0.0131155,0.028052,-0.000919001
451,263.09,0.493401,0.00197881,1.01505,0.0131138,0.028084,-0.00104133
452,256.444,0.358426,0.00250536,1.00053,0.0131121,0.028116,0.000378715
453,259.663,0.441558,0.00218545,1.00836,0.0131103,0.0281479,0.000682506
454,255.926,0.361275,0.00249938,0.999821,0.0131086,0.0281799,0.00110953
455,253.957,0.335858,0.0025997,0.995068,0.0131068,0.0282119,0.00100271
456,258.951,0.417102,0.00228602,1.00753,0.0131051,0.0010479,0.00154155
457,262.592,0.501913,0.0019631,1.01549,0.0131034,0.0009606,0.00191442
458,264.895,0.529401,0.00185941,1.02012,0.0131016,0.0008733,0.00182458
459,266.99,0.582429,0.00166087,1.02402,0.0130999,0.000786,0.00183984
460,269.426,0.608391,0.00156459,1.02816,0.0130981,0.0006987,0.00176887
461,273.146,0.682735,0.00129249,1.03365,0.0130964,0.0006114,0.00212071
462,274.266,0.708553,0.00119845,1.03526,0.0130947,0.0005241,0.00198678
463,274.985,0.709413,0.00119542,1.03633,0.0130929,0.0004368,0.00180513
464,278.278,0.758039,0.00102077,1.04009,0.0130912,0.0003495,0.0020073
465,276.084,0.73585,0.00110124,1.03796,0.0130894,0.0002622,0.00192545
466,278.702,0.782589,0.000933631,1.04085,0.0130877,0.0001749,0.00194145
467,279.529,0.783677,0.00092984,1.04181,0.013086,8.76e-05,0.00178537
468,278.783,0.784771,0.000926018,1.04128,0.0130842,3e-07,0.00164877
469,280.383,0.807289,0.000845805,1.04291,0.0130825,-8.7e-05,0.00153188
470,284.208,0.848218,0.000701897,1.04601,0.0130807,-0.0001743,0.00169502
471,283.518,0.849499,0.000697486,1.04569,0.013079,-0.0002616,0.00155804
472,281.182,0.811298,0.000833449,1.04408,0.0130773,-0.0003489,0.00157138
473,282.043,0.832999,0.000756609,1.04493,0.0130755,-0.0004362,0.00146941
474,285.435,0.871924,0.000620345,1.0474,0.0130738,-0.0005235,0.00158959
475,280.145,0.815817,0.000820731,1.04372,0.013072,-0.0006108,0.00201985
476,279.214,0.795318,0.000894251,1.04309,0.0130703,-0.0006981,0.00191302
477,281.808,0.839195,0.000738653,1.0454,0.0130686,-0.0007854,0.0019542
478,282.649,0.840529,0.000734037,1.04618,0.0130668,-0.0008727,0.00182263
479,280.821,0.821152,0.000803143,1.04498,0.0130651,-0.00096,0.00171635
480,281.865,0.843308,0.000724639,1.04594,0.0130633,-0.0010473,0.00161888
481,280.679,0.823857,0.000794046,1.0452,0.0130616,-0.0011346,0.00152445
482,281.128,0.825188,0.000789415,1.04572,0.0130599,-0.0012219,0.00139465
483,281.067,0.826534,0.000784726,1.04584,0.0130581,-0.0013092,0.00125008
484,278.184,0.782047,0.000944748,1.04359,0.0130564,-0.0013965,0.00127124
485,277.37,0.783232,0.000940573,1.04301,0.0130547,-0.0014838,0.00111265
486,278.335,0.784434,0.000936352,1.0441,0.0130529,-0.0015711,0.000958099
487,275.972,0.760602,0.00102282,1.04199,0.0130512,0.00145457,0.000881501
488,274.767,0.735345,0.00111484,1.04089,0.0130494,0.00138003,0.000772992
489,277.838,0.788678,0.000922981,1.04422,0.0130477,0.00130548,0.000892289
490,277.501,0.789975,0.000918411,1.04409,0.013046,0.00123094,0.000740173
491,275.13,0.738944,0.00110399,1.0419,0.0130442,0.0011564,0.000785757
492,272.453,0.684353,0.00130447,1.03895,0.0130425,0.00108186,0.000805874
493,272.23,0.685065,0.00130194,1.03889,0.0130407,0.00100732,0.000604704
494,272.557,0.685774,0.00129943,1.03951,0.013039,0.000932774,0.000430374
495,272.666,0.68648,0.00129694,1.03987,0.0130373,0.000858232,0.000244507
496,267.466,0.603114,0.00160872,1.03269,0.0130355,0.00078369,0.000704486
497,265.282,0.544368,0.00183025,1.0292,0.0130338,0.000709148,0.000702751
498,267.299,0.603906,0.00160759,1.03287,0.013032,0.000634606,0.000746697
499,264.312,0.54478,0.00183137,1.0279,0.0130303,0.000560065,0.000928779
500,266.423,0.57481,0.00171873,1.03187,0.0130286,0.000485523,0.000849034
501,265.004,0.544544,0.00183302,1.02962,0.0130268,0.000410981,0.000677275
502,269.028,0.63546,0.00149515,1.03649,0.0130251,0.000336439,0.00120474
503,271.854,0.694637,0.00127756,1.04064,0.0130233,0.000261897,0.00130435
504,271.381,0.695295,0.00127522,1.04024,0.0130216,0.000187355,0.00112247
505,273.173,0.726327,0.00116172,1.04272,0.0130199,0.000112813,0.000955152
506,270.607,0.66718,0.00138038,1.03969,0.0130181,3.8271e-05,0.00103433
507,266.795,0.60649,0.00160795,1.03413,0.0130164,-3.6271e-05,0.00134882
508,262.998,0.513372,0.0019621,1.02748,0.0130146,-0.000110813,0.00191581
509,264.112,0.5439,0.00184658,1.02985,0.0130129,-0.000185355,0.00175005
510,260.512,0.451011,0.00220321,1.02278,0.0130112,-0.000259897,0.00219777
511,259.825,0.450061,0.00220693,1.02148,0.0130094,-0.000334439,0.0019916
512,264.291,0.542947,0.00185554,1.03091,0.0130077,-0.000408981,0.00243906
513,265.987,0.57434,0.00173758,1.03423,0.0130059,-0.000483523,0.00227903
514,268.963,0.639706,0.00149462,1.03931,0.0130042,-0.000558065,0.00239471
515,272.242,0.705965,0.00125132,1.04402,0.0130025,-0.000632606,0.00261233
516,273.292,0.740923,0.0011235,1.04552,0.0130007,-0.000707148,0.00244562
517,273.106,0.742627,0.00111747,1.04559,0.012999,0.0357759,0.00222512
518,271.528,0.70917,0.00124089,1.04397,0.0129972,0.0358428,0.0021355
519,271.653,0.710396,0.00123659,1.04444,0.0129955,0.0359096,0.00188289
520,273.797,0.748348,0.00109819,1.04723,0.0129938,0.0359765,0.00180118
521,273.837,0.750298,0.00109128,1.04757,0.012992,0.0360434,0.0015615
